,ri
0,0.0
1,0.0
2,1.8477323387327726e-05
3,2.474162053043608e-05
4,1.9873252258282697e-05
5,6.268141470252747e-06
6,4.5977214705184276e-06
7,9.831116935436e-06
8,1.0326306998053212e-05
9,2.961574603730169e-06
10,1.4622197571179203e-05
11,4.2182012261265635e-05
12,6.996064506510387e-05
13,9.568122998206309e-05
14,0.0001228304483187177
15,0.00015894126837051335
16,0.00020492250635225964
17,0.00025436067684256574
18,0.0003003887502063762
19,0.0003403048370641651
20,0.00039266623885160447
21,0.00046114789783329184
22,0.0005421816243282541
23,0.0006173977052558587
24,0.0006811080174030995
25,0.000749060047815279
26,0.0008326380647888557
27,0.0009399429233401397
28,0.0010455206114777544
29,0.0011490354447768923
30,0.0012493927464551845
31,0.0013420539890411992
32,0.0014263317599444295
33,0.0015025611265227262
34,0.0015698387027505039
35,0.0016219105150148511
36,0.0016718639364145583
37,0.0017194903983180358
38,0.0017630596449768271
39,0.0018144539177219858
40,0.0018865711500963907
41,0.001962916525262672
42,0.002021120131882372
43,0.002058802559767885
44,0.002079728534426105
45,0.0020808923227076987
46,0.002049638498384032
47,0.0020272420531664073
48,0.002008343143463137
49,0.0020006458502369448
50,0.0020193213817016483
51,0.0020790355682329823
52,0.002156869308900432
53,0.0022430680092419453
54,0.0023319416948436433
55,0.0024351060341109964
56,0.002560854406951014
57,0.0027041891880759832
58,0.002850046538922667
59,0.0030078904154161997
60,0.0031586664069800535
61,0.0032915702882576957
62,0.0034057937015349754
63,0.003499748316463631
64,0.0035820798581833267
65,0.003649888729061397
66,0.0036740043228222453
67,0.0036281482260194535
68,0.0035379003323036994
69,0.003428896071351828
70,0.003293571436400436
71,0.0031535663485774174
72,0.0030126048069704816
73,0.0028705516739159632
74,0.0027492776535838113
75,0.002653160836036543
76,0.00258705383582689
77,0.00255704278435536
78,0.0025775386633442956
79,0.0026270644573425476
80,0.0026956255328416476
81,0.0027851724384938326
82,0.0028751216718022206
83,0.002961029733606814
84,0.003036347075222123
85,0.0030894530917070164
86,0.0031004862489047336
87,0.003091620230861288
88,0.0030827394032108667
89,0.003073314939571005
90,0.00307412453141907
91,0.003092915454404801
92,0.0031298962771597882
93,0.003185097853031899
94,0.0032635610019958634
95,0.003358950297600396
96,0.003462012820819784
97,0.0035704216121577974
98,0.0036867449042909963
99,0.003814644372544394
100,0.003950990870377185
101,0.00409598556161747
102,0.004244036585497593
103,0.0043967014190179465
104,0.004552352856611955
105,0.004711854792019932
106,0.004865323663785733
107,0.004991563221923816
108,0.0050918878190533675
109,0.005179101594539748
110,0.005274837064707365
111,0.005368089457438536
112,0.005423631037204156
113,0.005435634223658854
114,0.005404273029684606
115,0.005321675532106285
116,0.005185771471281926
117,0.005019027638062294
118,0.004841360485563355
119,0.004651852435219508
120,0.0044379332160422325
121,0.004181097607047061
122,0.0038970913057851174
123,0.003624676607317308
124,0.0033635560853701816
125,0.003123631196341644
126,0.002916743455143563
127,0.002743516716469836
128,0.0025869945973989827
129,0.002436920828032612
130,0.0022953996066953438
131,0.002183941270454024
132,0.0021057619722904494
133,0.0020496829272049627
134,0.002000719281204871
135,0.0019585291791957946
136,0.0019284477820911252
137,0.001918102654550872
138,0.0019268742613498399
139,0.0019274117266697064
140,0.0019136461969847698
141,0.0018998195776710539
142,0.0019156498133953393
143,0.001964425871040391
144,0.0020210818737310156
145,0.0020663338619825457
146,0.002097146483431695
147,0.002158008414503731
148,0.0022575394635261092
149,0.002382933022865641
150,0.0025013765570643517
151,0.0026089936514960632
152,0.002724131558004161
153,0.002862244101468935
154,0.0030261315317429167
155,0.0031852527368381985
156,0.0033393824873153405
157,0.0034859142923464267
158,0.0036177271992434445
159,0.0037366742600793658
160,0.003836019571947577
161,0.003921832605440736
162,0.0040047225927568484
163,0.004016685669859317
164,0.003945255850075419
165,0.0037965482669526577
166,0.0035943422127601176
167,0.003326881944893006
168,0.003028206727920541
169,0.002720921575691939
170,0.0023936033446924263
171,0.0020868161654984192
172,0.0017999701220986742
173,0.001536938543784583
174,0.0013107872063114281
175,0.0011270641586928931
176,0.0009706901356918082
177,0.0008317427006337166
178,0.0007097251146179381
179,0.0006028929293559968
180,0.0005118543260410737
181,0.0004359946442769356
182,0.0003731460661356575
183,0.00032878160528890764
184,0.0002910825783022416
185,0.00024750938241492316
186,0.00019242548121158184
187,0.00014574529148722625
188,0.00011393314498053433
189,9.685044845288153e-05
190,8.065595810366237e-05
191,6.650445303689292e-05
192,5.178948561934322e-05
193,3.242464099790453e-05
194,3.6095251452461257e-06
195,2.005776144920492e-05
196,3.370683208727767e-05
197,3.6602196640616306e-05
198,4.233529786414509e-05
199,5.4018967048317865e-05
200,6.566036714591101e-05
201,6.91612348218353e-05
202,5.814590468851685e-05
203,5.1243294972699644e-05
204,5.467053421927094e-05
205,7.037963352915586e-05
206,8.098115239019464e-05
207,8.47078048658194e-05
208,8.463196733675903e-05
209,8.465739049540255e-05
210,8.492822118299081e-05
211,8.503861446166371e-05
212,8.494907804614979e-05
213,8.473156194367803e-05
214,8.407568147469294e-05
215,8.381065121650395e-05
216,8.25273370652684e-05
217,7.806415346933073e-05
218,6.962230725237971e-05
219,5.9364068910393616e-05
220,4.746632685737119e-05
221,3.353636734030511e-05
222,2.0496533079910087e-05
223,8.601950409709382e-06
224,2.4590025691019798e-06
225,1.251564205078158e-05
226,1.8252063094541006e-05
227,2.86217498996971e-05
228,4.774171149910481e-05
229,7.899555433478004e-05
230,0.00010597038954928284
231,0.00012693196897094276
232,0.00014508799176423922
233,0.00016576535014533605
234,0.0001882879855557423
235,0.00021449796627658903
236,0.0002455340276710008
237,0.000282993077317947
238,0.0003202022148471596
239,0.00035594038816340144
240,0.00039205052944154395
241,0.00043098029647467795
242,0.0004707391546717298
243,0.0005168508406082635
244,0.0005737306534843249
245,0.000647949307382042
246,0.0007107185924192985
247,0.000759043574118515
248,0.0007972455723821307
249,0.0008335007243952544
250,0.0008741827147605268
251,0.0009020988239117968
252,0.0009112844826391576
253,0.0009008856702736139
254,0.000873170107883488
255,0.0008241891840085907
256,0.0007605627929675519
257,0.000692732941812931
258,0.0006156959580008328
259,0.0005453478565931985
260,0.00048642869912973583
261,0.00043841311480294294
262,0.0004066018321899913
263,0.00039549783570556885
264,0.00039783732166103326
265,0.000399893882416545
266,0.000399120574105573
267,0.0004033769168574014
268,0.0004160833128167138
269,0.0004383718330234951
270,0.0004637882656371682
271,0.0004920473406033426
272,0.0005236214843845782
273,0.0005616533572880478
274,0.0006084449893049039
275,0.0006554102639635629
276,0.0006979743085488038
277,0.0007348206107070848
278,0.00077488800238282
279,0.0008179247202574038
280,0.0008649334981365572
281,0.0009205596160753366
282,0.0009894829098784114
283,0.0010550191231525003
284,0.0011114832180193837
285,0.0011576620408408787
286,0.0012001822736721467
287,0.0012406976559589302
