,ri
0,0.0
1,0.0
2,2.6211041851759296e-06
3,5.360190109492429e-07
4,2.814419011798387e-06
5,1.694253497128264e-05
6,3.970149406401867e-05
7,4.275039721919311e-05
8,2.2840870092416358e-05
9,4.5345178456307505e-06
10,3.4317110483854537e-06
11,3.288687958902248e-06
12,1.0097151720939636e-05
13,1.3003027875345863e-05
14,1.339941922678061e-05
15,1.3975329868049552e-05
16,1.5481956850709516e-05
17,1.7722584268535446e-05
18,2.0796528339465296e-05
19,2.6420060922250857e-05
20,3.02642891155459e-05
21,2.8270237795972423e-05
22,2.181742587537916e-05
23,1.7324710974672272e-05
24,1.8421152807458116e-05
25,2.321667504712542e-05
26,2.9716387620761455e-05
27,3.7966539300575364e-05
28,4.743602104205671e-05
29,5.953653728674613e-05
30,7.400503238891725e-05
31,8.590928904396516e-05
32,8.98407388927984e-05
33,8.815032497378016e-05
34,8.556892033137161e-05
35,7.996491809836127e-05
36,7.586749938928865e-05
37,8.153008397988022e-05
38,9.898041239119083e-05
39,0.00012052898522729667
40,0.00013711139949672713
41,0.00014978404981972273
42,0.0001637663721961809
43,0.00018510573474341728
44,0.00021087262845387092
45,0.0002317457658289031
46,0.000244552486310013
47,0.00025284614886253486
48,0.00026551219345974977
49,0.00028322101435095137
50,0.00030270590630270883
51,0.0003253604601611324
52,0.0003511568623439879
53,0.0003696357283345824
54,0.0003769347945698908
55,0.00037632432989856787
56,0.00036555195566429356
57,0.00033737019113505985
58,0.0002993966549802037
59,0.0002625456576208392
60,0.0002275883306244153
61,0.00020125651698354755
62,0.00018622870812613142
63,0.00018378902237695165
64,0.00018315561150028528
65,0.00018150530998189572
66,0.00017865885059253775
67,0.0001702677970434732
68,0.00015294306433943984
69,0.00013560033972439856
70,0.00012274438051098935
71,0.0001158964158125452
72,0.00010968720741360309
73,0.00010392684069796869
74,9.883804161712848e-05
75,9.549245880282964e-05
76,9.620652906797577e-05
77,9.5949340349752e-05
78,9.156696279894345e-05
79,7.650834170745826e-05
80,6.765258404146796e-05
81,6.9693318720473e-05
82,8.144034171845202e-05
83,8.654735000391132e-05
84,8.102783152693799e-05
85,7.143762145507042e-05
86,6.238534344710514e-05
87,5.263216316683284e-05
88,4.4665092911954043e-05
89,3.861884602967221e-05
90,3.44450703456217e-05
91,3.267298010402323e-05
92,3.6126336203608166e-05
93,4.089766931847598e-05
94,4.315951763037232e-05
95,3.965757033344944e-05
96,3.60592793951899e-05
97,3.4341938451870964e-05
98,3.558713514501641e-05
99,3.5260134335384286e-05
100,3.187362209647863e-05
101,2.651088095999064e-05
102,2.088076872665775e-05
103,1.3700318727834638e-05
104,7.586602179273245e-06
105,4.344386804999688e-06
106,6.73970902134116e-06
107,6.917320473268962e-06
108,2.523065653671874e-07
109,1.1792632926971216e-05
110,2.0214459597254768e-05
111,2.124745169556837e-05
112,1.9013190980550787e-05
113,1.6035803498696568e-05
114,1.0284311054143841e-05
115,7.127825832061171e-06
116,1.0694496204017965e-05
117,1.973170272710997e-05
118,2.8266417774287414e-05
119,3.3265231224854883e-05
120,3.622288844681157e-05
121,3.752728461139406e-05
122,3.812335575391072e-05
123,3.8748074886128815e-05
124,4.110860057274616e-05
125,4.492567141051264e-05
126,4.611439783997779e-05
127,3.93188965110233e-05
128,2.8575383214189426e-05
129,1.9771810781866427e-05
130,1.7045666865033372e-05
131,1.6240789599764137e-05
132,1.4820954031292192e-05
133,1.2746899549944781e-05
134,9.599327711793792e-06
135,4.326561775485213e-06
136,2.2917687729850002e-06
137,8.488879132829591e-06
138,1.2783187583016231e-05
139,1.6378505944674463e-05
140,2.021870551441774e-05
141,2.3956620635493992e-05
142,3.008009801307077e-05
143,4.212525219149705e-05
144,5.923541180033644e-05
145,7.773127015132728e-05
146,9.499294424938861e-05
147,0.00011250289802761425
148,0.0001335012399814235
149,0.00015927686889504765
150,0.00018648289819252054
151,0.00020905574965313062
152,0.0002278987562773846
153,0.00024785752213646073
154,0.0002717810272256069
155,0.00029940960567943157
156,0.000331080149512749
157,0.00036703841779983355
158,0.0004065088027248454
159,0.00044783431012616995
160,0.0004914147167897044
161,0.0005375183368665664
162,0.0005877201144507791
163,0.0006411517442719621
164,0.0006960840037721357
165,0.0007514786640769566
166,0.0008079415397744674
167,0.000867073215604814
168,0.0009286364069445589
169,0.0009926554506781574
170,0.001057842664865601
171,0.0011240472477407125
172,0.0011943108752731576
173,0.0012718351515304497
174,0.0013541464060426165
175,0.0014291218282404588
176,0.0014984115458074774
177,0.0015583711102965198
178,0.0016063773532331042
179,0.001642341618823858
180,0.0016635568632603732
181,0.0016618706648374125
182,0.0016401660751884605
183,0.0016327980834196774
184,0.0016420100287731572
185,0.0016597342340520323
186,0.0016758156996301875
187,0.0016902374766059494
188,0.0017032081668460755
189,0.0017162192736978861
190,0.0017295167735292666
191,0.0017357491888858854
192,0.0017350773170400357
193,0.0017270995993982077
194,0.001710273251320837
195,0.0016837417013925485
196,0.0016522958391532183
197,0.001619832173638998
198,0.001587731388455492
199,0.0015425373594351397
200,0.001482117567077562
201,0.0014106770773468238
202,0.0013364087285598467
203,0.0012580013710666122
204,0.0011808764804667172
205,0.0011095559368093648
206,0.0010472469937959597
207,0.000976209366420398
208,0.0008908699081424601
209,0.0007984436360286403
210,0.0007191258183044513
211,0.0006567682015221361
212,0.000598638683826673
213,0.0005347926058075946
214,0.00046112137986421245
215,0.0003998839116476657
216,0.00035622275867820696
217,0.00032635740324934694
218,0.00029142554306415647
219,0.0002477431387795217
220,0.00020653227548746966
221,0.00017663276150292802
222,0.0001623429252078907
223,0.0001468259884316492
224,0.0001271920765213265
225,0.00010444460791475105
226,8.460765685411721e-05
227,6.702743032202746e-05
228,5.24103933072357e-05
229,4.218997526653095e-05
230,3.90572532737698e-05
231,3.4147777918513694e-05
232,2.3810838351735686e-05
233,8.971636002974393e-06
234,6.472124976757281e-06
235,2.178411041890901e-05
236,4.148291923915456e-05
237,5.3162881082843095e-05
238,5.053071665285677e-05
239,5.401910482844038e-05
240,6.801607279429385e-05
241,9.293417420065346e-05
242,0.00011840402754458808
243,0.00014000944438938547
244,0.00016743450564695434
245,0.00021190859747465806
246,0.00028021962461680333
247,0.0003522891793519839
248,0.0004243283564403178
249,0.0004958379455394198
250,0.0005684922373823564
251,0.0006417536475750035
252,0.0007145635216435638
253,0.0007849801238782983
254,0.0008457727920727057
255,0.0009166952538343283
256,0.0010033041413889331
257,0.0011060175276444814
258,0.00121602459125378
259,0.001333618678591958
260,0.0014582643782010023
261,0.0015880455950172962
262,0.0017159346190672058
263,0.0018608051388328873
264,0.002025499789336141
265,0.002209623965379018
266,0.0024178433953813377
267,0.0026525139766757997
268,0.0029059795861651615
269,0.003169699715754571
270,0.003435344197564823
271,0.0037227028299429204
272,0.004039885879633527
273,0.004391881973362715
