,ri
0,0.0
1,0.0
2,2.0284430355962806e-06
3,1.8474437230498587e-06
4,6.396857481071686e-07
5,1.557874162327948e-07
6,2.453087995220479e-07
7,1.324571520674059e-06
8,4.781685734991108e-06
9,9.853078637821498e-06
10,1.4253254320927059e-05
11,1.6017311918201455e-05
12,1.592848336781141e-05
13,1.6269892938263952e-05
14,1.7021169726385573e-05
15,1.7200228147351744e-05
16,1.8324859556366052e-05
17,2.058147488679443e-05
18,2.1876024574299937e-05
19,1.9559955394463233e-05
20,1.4089176138995142e-05
21,8.748310626832216e-06
22,4.48991319794063e-06
23,1.2732074548264512e-06
24,1.0621875715620973e-06
25,2.5332990576914426e-06
26,3.1101253696029232e-06
27,2.6255488492565114e-06
28,1.0339705377971689e-06
29,1.102640781697801e-06
30,3.3775805828477522e-06
31,5.76483177833484e-06
32,9.348391279128914e-06
33,1.4852395709963895e-05
34,2.101585889546682e-05
35,2.4061581609238505e-05
36,2.3214204555166637e-05
37,2.1436280200303135e-05
38,2.0358725574837402e-05
39,1.9874659084540697e-05
40,2.0593786305222042e-05
41,2.3148494000495054e-05
42,2.72803711533429e-05
43,2.973654457787399e-05
44,2.97420236135565e-05
45,2.9045681101630445e-05
46,2.9125265988594834e-05
47,3.005483362770683e-05
48,3.1512509609378214e-05
49,3.4004284141339447e-05
50,3.805685162145764e-05
51,3.9535635777463486e-05
52,3.6854165415628064e-05
53,3.227644372739681e-05
54,2.8979351946155997e-05
55,2.7410832800216314e-05
56,2.663349145663361e-05
57,2.629684637481374e-05
58,2.5808202238575842e-05
59,2.6946579209919914e-05
60,3.139063262670781e-05
61,3.754454916063674e-05
62,4.1496751816616785e-05
63,3.976204367131174e-05
64,3.841157499612856e-05
65,3.9916239389805256e-05
66,4.869426052948359e-05
67,5.5438145486258315e-05
68,5.806856234509818e-05
69,5.7357423911928116e-05
70,5.811610623537545e-05
71,5.999940481842968e-05
72,6.423611334570249e-05
73,7.162564079758078e-05
74,8.280517125002691e-05
75,9.670298512433197e-05
76,0.0001128854811312068
77,0.0001311082993290139
78,0.00015271087457453431
79,0.00017740256548647138
80,0.0002057415772301198
81,0.00023858238688182753
82,0.000276393363620906
83,0.0003179459157548423
84,0.00036405768205094875
85,0.0004139560427309542
86,0.00046673077089921577
87,0.0005228623552609785
88,0.0005817130057639835
89,0.0006416713304393004
90,0.0006981528661123978
91,0.0007570585594623515
92,0.0008232655097169666
93,0.0008984949420489468
94,0.0009795829027192354
95,0.0010644864941376391
96,0.0011541906802763917
97,0.0012513402951803915
98,0.001365813762446069
99,0.001485104488780254
100,0.0016006406869762395
101,0.0017257773171425522
102,0.0018235366956950894
103,0.0018716590408455658
104,0.0018697933913221524
105,0.0018155289714245446
106,0.001681734707409495
107,0.0014993436693016907
108,0.0013113173041248562
109,0.001118268152918889
110,0.0009335915742120948
111,0.0007767676860218481
112,0.0006459679548729079
113,0.0005360746584496607
114,0.00044720293224847677
115,0.00037689629985667637
116,0.00032077330015911664
117,0.00028206580673810776
118,0.0002550718351319848
119,0.0002308977742224769
120,0.00020952966130574814
121,0.00019055172089523675
122,0.00017477866287282084
123,0.00016196014328093326
124,0.0001505463777408067
125,0.00013999357827320513
126,0.00013035277313211177
127,0.00012181338040826479
128,0.00011441362710637997
129,0.00010819047778055498
130,0.00010382285312418625
131,0.00010107101376489849
132,9.811198101016981e-05
133,9.353587525872972e-05
134,8.774026745922707e-05
135,8.225019795831457e-05
136,7.713694471788954e-05
137,7.250463466493208e-05
138,6.834844523808105e-05
139,6.469705931537948e-05
140,6.155848083374605e-05
141,5.9254306463632993e-05
142,5.76626592223699e-05
143,5.576067637016794e-05
144,5.326463475511757e-05
145,5.04004372908198e-05
146,4.764645176548129e-05
147,4.501977176047097e-05
148,4.269650913701239e-05
149,4.1358639718997745e-05
150,4.094814127601962e-05
151,3.900841115033676e-05
152,3.4371581524166535e-05
153,2.7769974752050544e-05
154,2.2714834638477448e-05
155,1.9470525917578975e-05
156,1.678936106879313e-05
157,1.3047222620959545e-05
158,8.120923167666232e-06
159,4.1229364775705335e-06
160,1.8564434810160985e-06
161,1.2307045298672166e-06
162,1.1488424344779154e-06
163,1.9330967051551607e-06
164,2.53433174229704e-06
165,1.1492431363040972e-06
166,2.636660939596939e-06
167,6.000430312682787e-06
168,7.839646645054554e-06
169,8.081287268060679e-06
170,8.21727087393762e-06
171,8.225469228251498e-06
172,8.199950051457427e-06
173,8.441560375648719e-06
174,9.152612962176758e-06
175,9.421777533558482e-06
176,8.834904639628241e-06
177,7.318638324771302e-06
178,5.236428022330817e-06
179,2.325978912208463e-06
180,9.159856903823359e-07
181,3.1185231911144577e-06
182,3.7913285737168455e-06
183,4.784273758758192e-06
184,7.065933584548236e-06
185,1.0781222232636287e-05
186,1.5152798359439637e-05
187,2.0167555202641276e-05
188,2.5778812388186706e-05
189,3.170303865666035e-05
190,3.770957670543346e-05
191,4.489274397927877e-05
192,5.347584274352402e-05
193,6.314338658870854e-05
194,7.510684837696382e-05
195,8.987350601565075e-05
196,0.0001069994313694242
197,0.00012489179049344007
198,0.0001429049156435824
199,0.00016199046734477978
200,0.0001823661173326033
201,0.00020260368047182012
202,0.0002270297265246987
203,0.0002572899608679688
204,0.0002924921339027891
205,0.00032790841856243744
206,0.0003611744973293549
207,0.0003973472423993627
208,0.0004398438551055068
209,0.0004888973838318865
210,0.0005441611596387741
211,0.0006054821735112575
212,0.0006737050049128386
213,0.0007458288087243177
214,0.0008245663388338464
215,0.0009054611445595672
216,0.0009854671850501528
217,0.0010632187412269532
218,0.0011415520346485695
219,0.0012224387606903345
220,0.0013058632649645841
221,0.0013874365116524664
222,0.0014653483990577645
223,0.0015426477454231649
224,0.0016231107930374988
225,0.001703301656298573
226,0.001791813836563725
227,0.0018922097169870812
228,0.002007093480703638
229,0.002119459917887723
230,0.002241459358268082
231,0.0023536929856471443
232,0.0024337422019488682
233,0.0024906807447457146
234,0.0025011863538092114
235,0.0024560012262667833
236,0.0023499419923706756
237,0.002212770420462112
238,0.0020342351590320776
239,0.0018332792796050131
240,0.0016374317803589877
241,0.0014401950804528165
242,0.0012593098934422697
243,0.001099014771032523
244,0.0009623090434020342
245,0.0008386883639379243
246,0.0007293033301335202
247,0.0006333540532772003
248,0.0005510644921086136
249,0.00048606722203625236
250,0.0004289877897504277
251,0.00037659406917870563
252,0.00032806420496870974
253,0.00028685756430413
254,0.0002544666163056724
255,0.0002288528567112948
256,0.00020545638963549327
257,0.00018474270587017
258,0.0001654913186557803
259,0.00014694026329726984
260,0.0001278860203714011
261,0.0001128610905852653
262,0.00010311287614558483
263,9.698612754895719e-05
264,9.044749181367153e-05
265,8.271869338268775e-05
266,7.595928028331051e-05
267,7.080244724754903e-05
268,6.638748069300194e-05
269,6.580107238089916e-05
270,7.000235654382835e-05
