,ri
0,0.0
1,0.0
2,0.00014064909840005583
3,0.00015101610077653693
4,5.186429831447942e-06
5,1.717929829704696e-06
6,0.0002503193333828807
7,0.0005030085002976811
8,0.0005586400070684682
9,0.0004748128562926463
10,0.0004418309850578105
11,0.0006455816909798133
12,0.0009418310497732899
13,0.0011499054502029685
14,0.00115258945525022
15,0.001098801064653664
16,0.0011492508896777242
17,0.001300494705616225
18,0.0014783396333224437
19,0.0015948478994588094
20,0.0016828816866979403
21,0.001826653516680821
22,0.002150597844248369
23,0.002543553369215912
24,0.0027417370225260237
25,0.0026826477000401645
26,0.002604164446278545
27,0.0028078208919775556
28,0.00328677549862652
29,0.0037350442377048856
30,0.003725638821128819
31,0.0034027331096927542
32,0.003152208727443392
33,0.0030826118014019186
34,0.0031073145561205354
35,0.0029622270287925382
36,0.002639501507829263
37,0.0022766583975408127
38,0.00196052363905309
39,0.0016897262941461084
40,0.0015230619441457048
41,0.0015067575560858836
42,0.0016301393653667783
43,0.0017250791388039326
44,0.001820476622347152
45,0.0018375605205301377
46,0.0016201464664706662
47,0.0010872180177166535
48,0.0005814097695862795
49,0.00022176155475369871
50,2.0001291542366143e-05
51,7.631561936850969e-05
52,2.34269798660852e-05
53,0.00011869602399103564
54,0.00017373557656143098
55,9.069644124982495e-05
56,2.526051218694625e-06
57,0.00015272063250198746
58,2.5474372849808734e-07
59,9.394876967877365e-05
60,0.00013144667011815385
61,5.584229893457649e-05
62,4.7224853980761324e-05
63,3.390741455649563e-05
64,1.620739648246055e-05
65,0.00016092333247463638
66,7.099701916764084e-06
67,0.0001491921873826175
68,0.00017307728946923108
69,0.00025101129110357277
70,0.0002117451127228207
71,0.000208544210917858
72,0.0003223861403185382
73,0.0003712748406819887
74,0.0003181309269589153
75,0.000398901942095505
76,0.00024010862760871012
77,0.00029132963278274005
78,0.00030226070587039295
79,0.0004182460250579902
80,0.0006009532019599024
81,0.0006747681633753719
82,0.00045519313890134594
83,0.00021346411229645145
84,0.0001054428174284937
85,0.00027736088152277593
86,0.00047046285660646094
87,0.0006442528410454424
88,0.0007965721003653393
89,0.0008875073487940662
90,0.0008370803215913808
91,0.0007463414851621914
92,0.0007139041311225021
93,0.0008551226051113957
94,0.000993221723348706
95,0.0010303804185112064
96,0.0009471775773053431
97,0.0008735559589519182
98,0.0008938346210648812
99,0.0009593406534284878
100,0.0009916947077362303
101,0.0008940455009125989
102,0.0007876419306810104
103,0.0007814786273562378
104,0.0009293448583741205
105,0.001083876821626307
106,0.0011504184011839036
107,0.001162168924424091
108,0.0011769642720767517
109,0.0012667206100886118
110,0.0014151392498551938
111,0.0014935006229563862
112,0.001488116829754778
113,0.0014545619440480772
114,0.0014114994899887645
115,0.0013521194952803755
116,0.001323530150436982
117,0.0014027004077773412
118,0.0015146008834781288
119,0.0015893268809093102
120,0.0015180907038270539
121,0.0014095800887968554
122,0.00141107553819512
123,0.0015294861071573633
124,0.0016484205875915874
125,0.0016644781453930618
126,0.0016042673454634148
127,0.0015338786335488059
128,0.0014411107910172513
129,0.0013598716313871209
130,0.0013677864211809837
131,0.0014913028252919185
132,0.0016395930081034458
133,0.001685621809459345
134,0.0016490979459382069
135,0.0016348791201145458
136,0.0017271177901384178
137,0.0018863522424688167
138,0.00200806630343221
139,0.0020649196857447628
140,0.0020943170379880394
141,0.0021651349627319944
142,0.002275882833194425
143,0.0023696678092950127
144,0.0024094465002370575
145,0.002397688962282601
146,0.002335417151616736
147,0.002178642233476974
148,0.0019986122222759002
149,0.0020122882845829827
150,0.002237851244525051
151,0.0024742151107631154
152,0.0024957901797569536
153,0.002320287728197005
154,0.002153491852304054
155,0.002034262315450882
156,0.001973818714691426
157,0.002073535946965545
158,0.0023741572264272984
159,0.0026943999769589197
160,0.0027524997863131798
161,0.002538801338718173
162,0.0023717524946918894
163,0.002453293287035595
164,0.0027634944740908616
165,0.0028701062936523167
166,0.0027210786890032404
167,0.0024491940633845333
168,0.002290836450337784
169,0.0022601234007493913
170,0.0022409833144462475
171,0.0021609270110097604
172,0.0020250717244993093
173,0.0019198295278989145
174,0.0018506587457492948
175,0.0018084805841075426
176,0.0017827019475878877
177,0.0017783567705177625
178,0.001756265243185854
179,0.001642499291909102
180,0.0014103503921075416
181,0.0012488602707199543
182,0.0012093573457326167
183,0.0012647801647538953
184,0.0013175641359510306
185,0.0013793756059929797
186,0.0014160178428174106
187,0.0014123180194600513
188,0.001369064414436903
189,0.0012637275191938742
190,0.0010602061067445457
191,0.0007673680911841075
192,0.0005838745648126184
193,0.0005371995329046695
194,0.0005560173807710723
195,0.000576970332293162
196,0.0006206912926544955
197,0.0005988132756881556
198,0.0004403399198559645
199,0.0001185820348841612
200,8.243915803176883e-06
201,0.00019914646668552313
202,0.0005084124608028132
203,0.0006490228467484958
204,0.0005662505336309044
205,0.0004399229827765891
206,0.00032596702042707033
207,0.00022476337019930874
208,0.00013655070774631366
209,6.318604714496233e-05
210,1.964111226982142e-06
211,5.777270445949515e-05
212,0.0001284384537457732
213,0.00017471119179038365
214,0.00016692376290247115
215,5.798411041078305e-05
216,3.3964141673951334e-05
217,0.00015307921592703594
218,0.00035013792827818954
219,0.00040074882867865606
220,0.00023036777616468316
221,2.879162728193491e-05
222,9.915390687633826e-05
223,0.0001387101436921216
224,0.00013594007686918013
225,7.237992624384872e-05
226,3.613215749214976e-05
227,9.272106315577175e-05
228,6.767463127992853e-05
229,2.8319063518404825e-05
230,2.769985715307719e-05
231,9.758313698360847e-05
232,0.0001343666326166352
233,0.0001076370638938625
234,2.261350537326859e-05
235,7.0258457439022825e-06
236,6.0076117415678314e-05
237,0.00013739199119701121
238,0.00013972486595312502
239,9.745630218122857e-06
240,8.270299897221899e-05
241,0.00010229062404573777
242,4.608864563700824e-05
243,3.121652632086772e-05
244,0.0001627514985390815
245,0.0002875640903210713
246,0.0003362633495572893
247,0.00028185534048094256
248,0.00019717805017765828
249,7.739079969812077e-05
250,9.577798795035915e-05
251,0.00017256403159454683
252,9.747774090171379e-05
253,3.40315749990604e-05
254,9.358909020462062e-05
255,6.523793875263063e-05
256,1.0038376165558512e-05
257,0.0001350371954588062
258,0.00033621788544043206
259,0.00048641694737246437
260,0.000588887016577601
261,0.0006386757047817894
262,0.0006109960806951825
263,0.00041910607286935783
264,0.000285549683592779
265,0.0003085715374046396
266,0.0005727058244371323
267,0.0007466260195097356
268,0.000787517857922374
269,0.0007538555594034261
270,0.000780622393795754
271,0.0009138997728122756
272,0.0010389011042500709
273,0.0011014328977635383
274,0.001071736981744179
275,0.0010526008412178114
276,0.0010424777316880773
277,0.0010438719061490803
278,0.0010604033955833668
279,0.0010761737885194456
280,0.0011315860854693206
281,0.0012643820797191183
282,0.0015505828603219714
283,0.0017255596467313724
284,0.0017344880627371338
285,0.0016264583940540174
