,ri
0,0.0
1,0.0
2,6.311425418027665e-05
3,9.22741790026147e-05
4,1.907455094148739e-05
5,2.2733973526458338e-05
6,1.65131906714781e-05
7,3.668918894287744e-05
8,0.00012254542942007938
9,0.00025086921498232315
10,0.00040192001306317576
11,0.0005459002262365403
12,0.0006720206798271352
13,0.0007839237938468814
14,0.000878498011626021
15,0.0009384299365835719
16,0.0010175498865978452
17,0.0011656059566933642
18,0.0013658502110858316
19,0.0015628730272929832
20,0.001714787959075904
21,0.0018465538869053407
22,0.00198893403700204
23,0.0021466054316579045
24,0.0023182226450615406
25,0.002440380721380808
26,0.002531498791843165
27,0.0026230002021016092
28,0.0026820968061172165
29,0.002724076527093519
30,0.0027846107245393637
31,0.002886900174676581
32,0.003013557303981698
33,0.003138517774117129
34,0.0032648842848042735
35,0.003367242929850532
36,0.0034005284488956436
37,0.003371826400625412
38,0.003344148437008988
39,0.003364173443685471
40,0.0034190920590931786
41,0.0034323913206108707
42,0.0033931550393882285
43,0.003317242688577462
44,0.0032311725251194688
45,0.0031331011966373944
46,0.003041700257386878
47,0.0029730976567672097
48,0.0029283091760431124
49,0.002883913722402369
50,0.0028353665742191616
51,0.0027844031398122403
52,0.002749894254775283
53,0.0027468790174189094
54,0.0027279417547125527
55,0.00263388151671777
56,0.0024385337708686845
57,0.002264692633088469
58,0.0021447296960636197
59,0.002083276867005346
60,0.002022444854670989
61,0.0019617232774114613
62,0.0019013227645298843
63,0.0018353778019766648
64,0.0017392552789128228
65,0.0016789211931439252
66,0.001688324781282605
67,0.0018320412234627051
68,0.001900346839532769
69,0.0018613419460859599
70,0.0017481562352322285
71,0.0016626047568124068
72,0.0016131777261658333
73,0.0015827826168611852
74,0.0015637656416196129
75,0.0015760654518711154
76,0.001573916534775936
77,0.0015540991128265766
78,0.0015168180029537983
79,0.0014673494553618003
80,0.0013780135689767051
81,0.0012918315865457013
82,0.0012376337053105649
83,0.0012553882886315922
84,0.0012668931877680312
85,0.0012578881623054278
86,0.0012261121993959562
87,0.0011878006389377384
88,0.0011403968674315254
89,0.001089252972701825
90,0.0010409474531409889
91,0.0009677990237769594
92,0.0009222516132904999
93,0.0009323953101762831
94,0.0010206107925941853
95,0.0010991722013026792
96,0.001149713823544086
97,0.0011750316872029373
98,0.0011797765205057008
99,0.0011368360974122725
100,0.0010928690986483109
101,0.0010748568334860147
102,0.0010947730657654847
103,0.0011292996646991565
104,0.0011849445498721596
105,0.0012517710555665618
106,0.0012967200684796342
107,0.0012862351023024605
108,0.0012562346807589826
109,0.0012367275287817631
110,0.0012343760089929118
111,0.001246093751669561
112,0.0012812414441067854
113,0.0013361351493472388
114,0.0013780456754145
115,0.0013687018716772314
116,0.001339253071948629
117,0.0013294824740123952
118,0.0013912483408391703
119,0.0014562345387327167
120,0.0014554562343958228
121,0.0013750431699213904
122,0.0012936453235014858
123,0.0012623418234309466
124,0.0012684273772912895
125,0.0012860183838473438
126,0.001322040423155211
127,0.0013566320653033814
128,0.00135915048321284
129,0.0013214212671091119
130,0.001281247810038417
131,0.001274253588632547
132,0.0012953037870813819
133,0.0013267476144274563
134,0.001379786342546337
135,0.0014337052299082198
136,0.0014415104156480516
137,0.001381896233712817
138,0.001310036213555132
139,0.0013073259873578119
140,0.0013646600586503252
141,0.0014212722886517224
142,0.0014333138635026837
143,0.0014125194094376646
144,0.0013897398918220753
145,0.0013680907422405808
146,0.0013507408107476257
147,0.0013486965163549166
148,0.0013615653855383728
149,0.0013686813899841555
150,0.0013496508525404109
151,0.0013083993387868567
152,0.001262275396318267
153,0.0012070766799187607
154,0.0011534135369406933
155,0.001134184271718183
156,0.001152529779562421
157,0.0011771723009090316
158,0.0011717366256344022
159,0.0011391211900884444
160,0.001112520729595608
161,0.0011092068470118135
162,0.0011226807564799247
163,0.0011215501116661939
164,0.001105432679893078
165,0.001076610232481115
166,0.0010297769038050365
167,0.0009639952412371543
168,0.000910751972967148
169,0.0008918207994127866
170,0.0009043835503186453
171,0.000900053886470128
172,0.0008794412766260686
173,0.0008467732529492398
174,0.0008053387878561809
175,0.0007557719834933444
176,0.0006941445064846513
177,0.0006030081685663078
178,0.00047900009715891843
179,0.0004139062319869043
180,0.00042995945088443016
181,0.0004872863259064034
182,0.0004913408707965734
183,0.0004302639084842108
184,0.00036403884493919344
185,0.0003336489944476324
186,0.00034407583690121153
187,0.00033639188064202
188,0.00030410083082964674
189,0.00025536840635799094
190,0.00020264985692222502
191,0.00013766576255391365
192,9.473552495109603e-05
193,0.00010921544536277348
194,0.00019598613807989844
195,0.00025873894573330824
196,0.00027529573750087124
197,0.0002569888127379145
198,0.00026465735237137173
199,0.00031002170080647216
200,0.00035346032724499623
201,0.0003526964154491829
202,0.00029025243851380525
203,0.00025106838560850695
204,0.00025746249340724596
205,0.000305439337150137
206,0.00034484057903593336
207,0.0003765775160167058
208,0.00039415745138731355
209,0.00038825983089992597
210,0.00035422036412590324
211,0.00032095920168877435
212,0.00029352120601690485
213,0.00027248706078696744
214,0.00026864046043744767
215,0.0002851837730367295
216,0.00030895056361451655
217,0.0003266345681283221
218,0.00034270107244838377
219,0.00034912042254994096
220,0.00034228950112940757
221,0.0003202514761591024
222,0.000296947461132982
223,0.00026885565660456534
224,0.00024291332273060023
225,0.0002298193486690516
226,0.00022487263229966983
227,0.00023605093146543494
228,0.0002768607325976347
229,0.0003689752097501826
230,0.00040957241644384466
231,0.0003754327554415305
232,0.0003033421778469206
233,0.00026489316862138366
234,0.00027501596864463643
235,0.0002927525889672768
236,0.00030182902357601065
237,0.0002948043564101623
238,0.00030177449798768634
239,0.00034052945942303917
240,0.00038643945123287374
241,0.0003762254523195048
242,0.00026631155354487094
243,0.00016673304923202752
244,0.00012889478195165062
245,0.0001938227730877115
246,0.0002292138932149423
247,0.00022276570267529679
248,0.00018861795970760662
249,0.0001690163428405644
250,0.00016786961712997236
251,0.0001758266995341308
252,0.0001909617296666454
253,0.0002247165562628368
254,0.0002411655423621139
255,0.00023397237175376873
256,0.00020861589733567242
257,0.0001851920090491293
258,0.00016092884187184536
259,0.00014231076144191273
260,0.00013283496149615748
261,0.00013438238108602453
262,0.00014142755762291265
263,0.00015413570087164836
264,0.0001719304172399196
265,0.00019368695732024572
266,0.0002268717839337205
267,0.000254188909938477
268,0.00026347007844408166
269,0.000244603339189019
270,0.00022745291045781095
271,0.0002133909549747051
272,0.0002028339984141651
273,0.0002001804013304041
274,0.00021826670504537435
275,0.00022876011300145105
276,0.0002064430664799287
277,0.00011812362563068312
278,6.775424335686117e-05
279,8.494148377967913e-05
280,0.00015905875258213805
281,0.00018904334233042745
282,0.00015167706736360142
283,9.843280268690515e-05
284,6.721264096481499e-05
285,6.356438090257054e-05
286,7.125589324582942e-05
287,0.00010110530381981619
288,0.00014785817265566175
289,0.00014093394881977737
