,ri
0,0.0
1,0.0
2,1.1259115276175624e-05
3,4.21977008408174e-06
4,4.227262783503516e-07
5,1.1795250777485993e-05
6,2.7571670342185465e-05
7,5.237771387309555e-05
8,9.091040570203282e-05
9,0.00014170624457349678
10,0.0002027069334414271
11,0.0002761679584904392
12,0.000360000962917122
13,0.000442020625036405
14,0.0005209287076907198
15,0.000597142173433105
16,0.0006702599863600013
17,0.0007409390131499398
18,0.0008091132514717443
19,0.0008757008511454062
20,0.0009416170923243442
21,0.0010004720884507373
22,0.0010487812034051436
23,0.001088687504184186
24,0.0011313729335557293
25,0.0011759651128816192
26,0.0012239351767304404
27,0.0012775757017272624
28,0.0013376774244962411
29,0.0014000794719900363
30,0.0014634409925024722
31,0.0015282394985512754
32,0.0015955661808507813
33,0.00166559034972879
34,0.0017380824318594707
35,0.0018143036457016026
36,0.001890322548050347
37,0.0019748313589549415
38,0.0020676679422540196
39,0.0021682612342995788
40,0.002282354872737228
41,0.002410847063204277
42,0.002553772241699601
43,0.0027087571939674324
44,0.002867492800446011
45,0.0030488485536852767
46,0.003260906869587731
47,0.0035083137383348593
48,0.0037690344251468414
49,0.004061350140926177
50,0.004366681229446787
51,0.0046528142485948625
52,0.0049752227228906515
53,0.005230811011037046
54,0.005393146614231297
55,0.005479004168425143
56,0.005433466864413476
57,0.005215294723877511
58,0.004863608476371966
59,0.004457950974797075
60,0.003960269005563229
61,0.00346077197222204
62,0.002999421416634078
63,0.002572911482907391
64,0.0021959979965597014
65,0.0018782312079455381
66,0.0016141874472421671
67,0.0013886439941804582
68,0.0012062327775756894
69,0.001053515148867087
70,0.0009233888267701138
71,0.0008191543582935625
72,0.0007278161713955111
73,0.0006490575983696432
74,0.0005793488058479937
75,0.000514679004344984
76,0.0004558397913847417
77,0.0004030548574766224
78,0.0003565309620972016
79,0.0003168024371623487
80,0.00028313809162929524
81,0.0002570331652658376
82,0.00023760136155094344
83,0.00021940035782915535
84,0.00019860761474207523
85,0.00017764871796042565
86,0.00015869241799665686
87,0.00014307199063719227
88,0.00012925064334226024
89,0.00011637650124136987
90,0.0001044001917211349
91,9.269129208049329e-05
92,8.053900025767676e-05
93,6.853570152332391e-05
94,5.7448672977357167e-05
95,4.745125682911105e-05
96,3.85899129804004e-05
97,3.072521868078208e-05
98,2.3849153212184925e-05
99,1.8086489677197526e-05
100,1.29772549601869e-05
101,9.049371576731851e-06
102,7.594878204603602e-06
103,1.2734583041285016e-05
104,1.934839685595356e-05
105,1.8477725669410432e-05
106,9.748616056377861e-06
107,3.2577889768563024e-08
108,3.0811609992958486e-06
109,1.3841277129280677e-06
110,6.765195900554133e-07
111,4.410334597353361e-06
112,1.0673762123473875e-05
113,1.579206211718821e-05
114,1.9729617711827137e-05
115,2.232018051382428e-05
116,2.1852051805791187e-05
117,1.913681633953549e-05
118,1.8403501743503024e-05
119,2.340046649518306e-05
120,3.194597484088309e-05
121,3.696040151365908e-05
122,3.8269830370861924e-05
123,3.738151073489561e-05
124,3.56530388163887e-05
125,3.335874039137517e-05
126,3.1475607792923154e-05
127,3.066382216445542e-05
128,3.075249486155726e-05
129,3.0857108556471415e-05
130,3.1029446382505426e-05
131,3.1038084078889775e-05
132,3.050847276453284e-05
133,2.9445390434278444e-05
134,2.8044978798382597e-05
135,2.6137540124058334e-05
136,2.3816395968255557e-05
137,2.229115383643965e-05
138,2.1929159746604338e-05
139,2.165232301231909e-05
140,1.8955969952112912e-05
141,1.3560811701614028e-05
142,9.350017934572242e-06
143,9.517899168418573e-06
144,1.4122388231926223e-05
145,1.4727530605314514e-05
146,1.0234485043164468e-05
147,3.1427268259503077e-06
148,2.0666893859526694e-06
149,5.234243132258205e-06
150,7.657844428545625e-06
151,9.787894617594087e-06
152,1.1585726377167387e-05
153,1.3659114999734434e-05
154,1.6172479466421383e-05
155,1.8800534462193137e-05
156,2.0786343730622613e-05
157,2.198498910977962e-05
158,2.3168999189414966e-05
159,2.4708187900775046e-05
160,2.6641927069239702e-05
161,2.871815953138047e-05
162,3.093131813404596e-05
163,3.329537815344609e-05
164,3.573430777373252e-05
165,3.808793655514025e-05
166,4.100323082652392e-05
167,4.527813007513716e-05
168,5.162855871758081e-05
169,5.582297816715777e-05
170,5.71355923542565e-05
171,5.66975951452386e-05
172,5.680517894505568e-05
173,5.7101142007049146e-05
174,5.8818092214265966e-05
175,6.338846668155528e-05
176,7.239904754038829e-05
177,7.784758302397593e-05
178,7.850304356588631e-05
179,7.607361254195608e-05
180,7.426382862110677e-05
181,7.234085070229038e-05
182,7.252227102302754e-05
183,7.658956424342615e-05
184,8.64485333278639e-05
185,9.392049940865142e-05
186,9.816566891156967e-05
187,0.00010024842986516372
188,0.00010285632545326103
189,0.00010596275386673104
190,0.00010967362015044572
191,0.0001143842065264857
192,0.0001209757875993809
193,0.0001258627006379912
194,0.00012836695821780912
195,0.00012939907684574218
196,0.00013126223656484697
197,0.00013408313315431595
198,0.0001374802157466196
199,0.0001412550182015779
200,0.00014542652336357046
201,0.0001499864235478688
202,0.00015490861913699256
203,0.00016022797657980225
204,0.00016639230734499496
205,0.00017380853015260437
206,0.00018130969509077085
207,0.00018856220342039774
208,0.0001956190004897546
209,0.0002020131915474346
210,0.0002069411264697041
211,0.0002114868218044667
212,0.00021813713060377576
213,0.00022749740903117935
214,0.0002379563393060081
215,0.0002492008408051614
216,0.00026173941844535257
217,0.0002734314444465457
218,0.00028422225166052737
219,0.0002942527407160259
220,0.0003033986550504357
221,0.0003095823560649953
222,0.0003183011205300327
223,0.0003325026699492049
224,0.00035488779101757335
225,0.00037410594805611697
226,0.0003884720728532436
227,0.00040002893755885436
228,0.00041375785289347406
229,0.00043028340178668915
230,0.00044846187862588016
231,0.00046822283309668313
232,0.0004907660727932169
233,0.0005097687178721377
234,0.0005230905710033951
235,0.0005344343629659699
236,0.0005505848464381102
237,0.0005731741442831386
238,0.000597826445427407
239,0.0006230993119680595
240,0.0006490293321539004
241,0.0006743043509444826
242,0.0006975959996832222
243,0.0007216075042817675
244,0.0007507615948622334
245,0.0007868433475162768
246,0.0008243283671244561
247,0.0008610778911900073
248,0.0008956394379770701
249,0.0009350482820557047
250,0.0009803663435412034
251,0.0010296591801967913
252,0.001080228444543994
253,0.0011313043485246376
254,0.001185285933393646
255,0.001242900803110571
256,0.0013033164674026224
257,0.0013699547166912953
258,0.0014430706643349194
259,0.0015220209310878555
260,0.001606214078669434
261,0.0016938321733057388
262,0.0017893088498518617
263,0.0018938838042672846
264,0.002006252773094636
265,0.002128879365086729
266,0.002261358957256788
267,0.0024060274581951336
268,0.002562735645239976
269,0.002731021502073083
270,0.00291530861971654
271,0.003112566630269392
272,0.0033252706211507436
273,0.0035530159693738196
274,0.0037970466753979608
275,0.004057582268715992
276,0.004334476396332697
277,0.004637985246579531
