,ri
0,0.0
1,0.0
2,5.2626806775298966e-05
3,1.565043630956596e-06
4,3.2304862872953135e-06
5,0.00010598003002836269
6,0.00022032270828855382
7,0.0002854285233363482
8,0.00020889493687005947
9,0.0001362828182186959
10,6.615705190179543e-05
11,4.128171690711926e-06
12,1.8485232320355265e-05
13,2.469816024400183e-05
14,7.789192622145865e-05
15,0.00010631075622962145
16,9.39203353324632e-05
17,8.948506074058242e-05
18,0.00010462169027319281
19,0.00014292687136898332
20,0.00016744195103728833
21,0.00017832638655371476
22,0.00017595815071970122
23,0.00015956948628232553
24,8.121690570911361e-05
25,3.681100736510363e-05
26,5.992640650308143e-05
27,0.000200396454662714
28,0.00029287576868969263
29,0.0003018644343739037
30,0.00026445103285650736
31,0.0002509503168551233
32,0.00028001288179073613
33,0.00032223362487642936
34,0.0003696810231070154
35,0.00045563440048415615
36,0.000500063922128256
37,0.0004508683996910166
38,0.0003391183786156932
39,0.0002871116834677544
40,0.0003690786289547227
41,0.0004886893031349639
42,0.0005829994229189106
43,0.0006314921521784752
44,0.0006586884764069851
45,0.0006565741910489381
46,0.0006279014105648088
47,0.0006212927923646562
48,0.0006751539165696529
49,0.0007504886205563787
50,0.0008070664242717154
51,0.0008127891687184963
52,0.0008119623532153495
53,0.0008285577215285117
54,0.0008685460627557085
55,0.0009010458178544033
56,0.0008966814131627924
57,0.000875662581907794
58,0.0008721604276694648
59,0.0009362622524634381
60,0.001001078682085131
61,0.0010149691825379985
62,0.000944040224018041
63,0.0008553642613055381
64,0.0008127537337683614
65,0.0008053183000650621
66,0.0008085369747023124
67,0.0007840278008590298
68,0.0007445532664087887
69,0.0006955172012471562
70,0.0006385082723051787
71,0.0005897970275197825
72,0.0005647149886493197
73,0.0005717606379011356
74,0.0005849660626513958
75,0.000603291837696144
76,0.0006136270314854801
77,0.0005985376485530495
78,0.0005610592829604059
79,0.0005277031832334518
80,0.000534914195585897
81,0.0005789775560786034
82,0.0006030733221703124
83,0.0005742292727605312
84,0.0005187381408493305
85,0.0004702690348898559
86,0.00045103376279164597
87,0.00044619098627321426
88,0.00042772347142792645
89,0.0003930917134961171
90,0.00035758589346098103
91,0.0003365965913310952
92,0.00032913753432770585
93,0.0003315766400619891
94,0.0003466660229944197
95,0.0003704664978350049
96,0.0003957020881560522
97,0.00042598715887131797
98,0.0004462382328733941
99,0.0004236130172122819
100,0.00036183808747716496
101,0.0003049118400855022
102,0.0002856588505122249
103,0.0002970984335807642
104,0.00030912269332652884
105,0.0003206449579453829
106,0.0003266925227684001
107,0.0003091049758514614
108,0.0002664826366642397
109,0.00023058112635259762
110,0.0002406328405408547
111,0.0002904957212056341
112,0.0003082072904480448
113,0.0002661932512381383
114,0.00018671265808563312
115,0.0001452655780778845
116,0.00014693102073422322
117,0.00015728983782364913
118,0.00013979087828204766
119,9.395577028259806e-05
120,5.375481935459221e-05
121,3.1153226993569975e-05
122,2.0569988553289902e-05
123,3.829336944574554e-05
124,9.236119752652906e-05
125,0.0001532443476832519
126,0.00018677171633585792
127,0.00019227594525680715
128,0.0001754266264676782
129,0.00011966973243046606
130,2.4231600067226085e-05
131,4.777812443184476e-06
132,4.963255348890276e-05
133,0.00014149175588852123
134,0.0001971069101251939
135,0.00021494840751809912
136,0.00020248711672067113
137,0.00014965360606958544
138,4.736471668027132e-05
139,1.8632877945917206e-05
140,3.6728325814788944e-05
141,2.955865423750099e-05
142,4.847501178449713e-05
143,0.00010214714958877465
144,0.00015479167383914105
145,0.00018592718335764359
146,0.00019007307252342294
147,0.00019876644695651015
148,0.00022025774421330658
149,0.0002450031510574882
150,0.0002388906221592238
151,0.0001892403511952536
152,0.00013784195602463
153,0.00011215752300187438
154,0.00011884882275234164
155,0.00012813277968767663
156,0.00013777699194938273
157,0.00014759247313674072
158,0.00015887259892967317
159,0.00017861577197981617
160,0.00018779932988976903
161,0.00016813293256491823
162,0.0001074387688089147
163,5.11857854698144e-05
164,5.138067769555617e-06
165,3.099376971796308e-05
166,5.083143596846574e-05
167,4.4896081820875635e-05
168,3.5204622958989695e-05
169,4.6012282750123925e-05
170,9.231985675137172e-05
171,0.00012253405756636776
172,0.00012004179940688215
173,8.346702504267761e-05
174,6.341084326634329e-05
175,6.26608034884886e-05
176,7.57067709631419e-05
177,9.894028660156926e-05
178,0.0001421295849909488
179,0.0001756923885936897
180,0.00018755719106384745
181,0.0001722020460054054
182,0.0001774168895002532
183,0.0002103418640005665
184,0.0002582676340579732
185,0.0003044157507836141
186,0.0003525836596669424
187,0.0003915739164653403
188,0.0004150259476295993
189,0.00041771900383984916
190,0.0004286743092565453
191,0.0004526106180726476
192,0.00048195075678431683
193,0.000505367352998441
194,0.0005307328714699828
195,0.0005366032615423256
196,0.0005027924132886408
197,0.00038999706118433874
198,0.0003600486224953543
199,0.0004569691169392361
200,0.0006190722021562046
201,0.0007102108939030808
202,0.0006864576656626753
203,0.0006587416288321874
204,0.0006736124962387863
205,0.0007548057786478101
206,0.000824902015839598
207,0.0008856434261957816
208,0.000934927536008358
209,0.0009629506757400147
210,0.0009462490025764479
211,0.0009414357551831284
212,0.0009791385421266262
213,0.0010888392419191497
214,0.0011768065056289554
215,0.00122661032804351
216,0.001252530994067165
217,0.0013079158211279608
218,0.0014207170790572854
219,0.0015254214508807929
220,0.0015797963818627453
221,0.0015337959107626664
222,0.0015453772336317451
223,0.0016502469685558822
224,0.0018223131805857704
225,0.0019352561783156342
226,0.0019447645566018233
227,0.0019533220970593935
228,0.002027806362242883
229,0.002214282787327617
230,0.0023673381486101494
231,0.0024665560089877753
232,0.002519678905064962
233,0.0025768709145826364
234,0.002629078407781339
235,0.0026969835838897885
236,0.002796892425795044
237,0.00294435497078129
238,0.003091841139067626
239,0.003242327466465381
240,0.0033905223337544143
241,0.0034999454597708815
242,0.00355607442078451
243,0.003597249832841224
244,0.0036484651474361514
245,0.00370578708510432
246,0.00377862953093156
247,0.0038729691798406194
248,0.003985049927117202
249,0.0040989142335505725
250,0.00422545244048218
251,0.00433400150439532
252,0.004400164462122138
253,0.00440150508440224
254,0.004409076352081057
255,0.004435930138458263
256,0.004480389189227475
257,0.004520649198405706
258,0.0045562376999911565
259,0.004583853337796263
260,0.0046061655447311835
261,0.004628211989540092
262,0.00463483241939029
263,0.004616488926870475
264,0.004575307608988738
265,0.004547384868282462
266,0.004544278404320639
267,0.004539169865676196
268,0.004502223024335576
269,0.004421821122479564
270,0.0043495810708046164
271,0.004300350113417242
272,0.004272421466885945
273,0.004240878455440891
274,0.004201947256892718
275,0.0041612088758876675
276,0.0041146355397604075
277,0.004050515997491367
278,0.0040343399427548
279,0.0040906756076442155
280,0.00421286712735928
281,0.0043232765261545
282,0.0044072691696241785
283,0.004516243452938938
284,0.00469914094806005
285,0.004959859499502351
286,0.0052669919297963054
