,ri
0,0.0
1,0.0
2,8.226620474026654e-05
3,6.362142145947576e-05
4,7.895101045362139e-05
5,8.492044136093052e-05
6,8.186270479705489e-05
7,3.7557968480231924e-05
8,4.619897926943687e-05
9,3.930054760359064e-05
10,2.4596990535566198e-05
11,4.9659856950429685e-05
12,9.282771259132948e-06
13,2.5074528262933184e-05
14,1.7945251809655953e-05
15,2.1064048613937535e-05
16,2.8977000659455187e-06
17,8.362561739909924e-06
18,2.164379316996135e-06
19,9.507097372514737e-07
20,1.8846563154571155e-05
21,2.015867057328521e-05
22,2.9040393867518596e-05
23,9.560921286682588e-06
24,4.662646015858426e-06
25,2.199962844891643e-06
26,9.648534658078034e-06
27,2.668643488356217e-05
28,5.224998330888482e-05
29,7.68210187569523e-05
30,9.694123513378204e-05
31,0.0001127608609642514
32,0.00012484815717327477
33,0.0001316756010767685
34,0.00013575031059667112
35,0.00013744612271905288
36,0.0001060346658237423
37,0.00010359781801196737
38,0.00019321792434063835
39,0.0003604929612697688
40,0.000512590132838358
41,0.0005843430918372654
42,0.0006116884510389402
43,0.0006381853659402825
44,0.0006808671318318974
45,0.0007268512938794555
46,0.0007614714335157081
47,0.0007862890422950134
48,0.0008190438842836044
49,0.0008741529939130855
50,0.0009463212941163215
51,0.001026295856004368
52,0.0011125193743273024
53,0.0012043621092893602
54,0.0012999318512857962
55,0.0013992220218382125
56,0.0015026404866073028
57,0.0016051642783142253
58,0.001711011995742758
59,0.001833322056341273
60,0.001996195014743662
61,0.0021717064262361534
62,0.002309832943034637
63,0.002405287262637358
64,0.002499129256989006
65,0.0026306946386504284
66,0.0027946835462065644
67,0.0029777021976384894
68,0.0031921898975538847
69,0.003418725183590517
70,0.0036049068870450396
71,0.0037458705221636596
72,0.003875580772916763
73,0.004044267910136262
74,0.004244028191048352
75,0.0044361215544089765
76,0.004586079165585045
77,0.004710735350797787
78,0.004864382292268316
79,0.00505495961537988
80,0.005262000477748407
81,0.005465059566555496
82,0.005662972491124646
83,0.0058514763974537665
84,0.00602082676490451
85,0.006176186502932559
86,0.006356137789300408
87,0.006573191693834628
88,0.006797960359399573
89,0.006983347861098374
90,0.007130538325042723
91,0.007258136884229976
92,0.007365700986476972
93,0.007447800396887668
94,0.007553229483872673
95,0.007706071458804646
96,0.007882273012485466
97,0.00800736576944646
98,0.008073957912141907
99,0.008118787252208819
100,0.008161475596578833
101,0.008205605225761563
102,0.008242588235229784
103,0.008279409772955501
104,0.008298158436390637
105,0.008251349572369329
106,0.008134473932971295
107,0.007955204416182905
108,0.007709037754518786
109,0.007392415589208948
110,0.0071050198092922545
111,0.006869229202192715
112,0.006666390791433715
113,0.006450933663019807
114,0.006224562240899642
115,0.005980390652320677
116,0.005700858546263905
117,0.005372797603106419
118,0.005093619538796175
119,0.004888304629941963
120,0.004730534178602686
121,0.004523089038834408
122,0.004245567554993552
123,0.003968592682903245
124,0.0037324444457962343
125,0.003542584176830085
126,0.0033717955147840773
127,0.003226071453479056
128,0.003096160260113059
129,0.002935979693506044
130,0.0027310565031382753
131,0.002531018730046476
132,0.0023710725964878362
133,0.0022624314179139926
134,0.0021515116936403757
135,0.0020273799925690245
136,0.0018959270430838635
137,0.001787415041904022
138,0.0017110801727007038
139,0.0016411700847185544
140,0.0015608169613008606
141,0.0014647831375555994
142,0.0013791307507663353
143,0.0013128591593819328
144,0.0012590519904318227
145,0.001179570814423648
146,0.0010533100785252126
147,0.0009347832410492065
148,0.0008605690340641014
149,0.0008503867455905256
150,0.0008348860563536753
151,0.0008075931455661396
152,0.0007699319547794035
153,0.0007321176648590344
154,0.0006960089949742955
155,0.0006558527667441342
156,0.0006069340052874466
157,0.0005436316998346372
158,0.00048518335457018276
159,0.000433463357402804
160,0.0003878420881454354
161,0.00034802991433550474
162,0.00031534486402228466
163,0.0002865609112036014
164,0.00025889972523445944
165,0.0002276344301682891
166,0.00020810531997772052
167,0.00020551920051065345
168,0.00021611844490598294
169,0.0002216625472826679
170,0.000222934226961407
171,0.00021826440436385517
172,0.00020632560235358597
173,0.00018540544300352384
174,0.00016091867188330357
175,0.00013115901110945528
176,9.795796887241274e-05
177,7.072085554256438e-05
178,5.3796045341181796e-05
179,3.6526223849983304e-05
180,1.0715085419488538e-05
181,3.415342649606813e-05
182,4.186914439637864e-05
183,2.6950411280380942e-05
184,2.7155181371615077e-05
185,4.200789048623354e-05
186,2.103970824386385e-05
187,1.7371967319419267e-05
188,2.9476606789674486e-05
189,4.375405607640631e-06
190,2.4272073507039605e-05
191,4.818866996317509e-05
192,9.138044734370504e-06
193,6.819609533764864e-06
194,1.596943572490322e-05
195,4.033719619046345e-05
196,4.668399254043828e-05
197,2.664391399136957e-05
198,7.259291108167131e-06
199,1.3180938340565016e-05
200,3.19098065361558e-05
201,4.048670706315192e-05
202,3.621876969138672e-05
203,2.580922469132435e-05
204,1.0540516524537474e-05
205,1.7198295489704334e-05
206,3.0266741849658538e-05
207,1.818399077116491e-05
208,6.376698524512526e-06
209,7.055298473470976e-06
210,2.760048455483043e-05
211,5.0558955534429094e-05
212,1.7787487936795075e-05
213,1.2389068954457778e-05
214,2.4223153549495935e-05
215,6.966309602046796e-06
216,2.4036444371682566e-05
217,3.255072974519676e-05
218,9.885778510860105e-06
219,2.0168299073486348e-05
220,5.125400167938328e-05
221,8.91940003415088e-05
222,0.00010591021297331641
223,8.725598060537171e-05
224,5.6564269051183455e-05
225,6.41185152089904e-05
226,0.0001285534552289387
227,0.00019310214312082838
228,0.00023670818522740356
229,0.0002567550216679178
230,0.00026670640554971357
231,0.00026277432940235583
232,0.00025218931844210623
233,0.00024690847481005114
234,0.00024774980239284375
235,0.00025168074225756916
236,0.00025697384578118464
237,0.00026277923335897997
238,0.000275963341330046
239,0.0002971251102503727
240,0.00032482158078546913
241,0.00036035379654947037
242,0.0004104135651821672
243,0.00044672610809290414
244,0.0004523755259283108
245,0.00042410989740306396
246,0.0004301047451587301
247,0.0004837560041708004
248,0.0005507473408963253
249,0.0005873425191607925
250,0.0005871853533314223
251,0.0005820567117677642
252,0.0005785525357380407
253,0.0005767726985052081
254,0.0005825993166269251
255,0.0005989178303373815
256,0.0006164405046164707
257,0.0006235327023733212
258,0.0006174099331149827
259,0.0006166193196202062
260,0.0006285466989998018
261,0.0006505857977210645
262,0.0006377733139751531
263,0.0006676826650347371
264,0.0006852765064892261
265,0.0006912073037870324
266,0.000650543336633221
267,0.0006700867998675678
268,0.0006655195417286802
269,0.0006599667079170302
270,0.0006880119574159343
271,0.0006541782449700233
272,0.0006817049907624438
273,0.000684739463434529
274,0.0006989926339496667
275,0.0006889748074360481
276,0.0006864719954272432
277,0.0007082629060998429
278,0.0006926527749041846
279,0.0007179571910849636
280,0.0007301979452537144
281,0.0007300526206854612
282,0.0006825661733891293
283,0.0006945485727698745
