,ri
0,0.0
1,0.0
2,0.00023809949701223304
3,0.00032028062149943475
4,0.0003712256668198481
5,0.00022781715409796914
6,5.0818496350051474e-05
7,1.4893411731878664e-05
8,0.00016062682300668163
9,0.0004607026422734035
10,0.00055670709012138
11,0.0003296194254911014
12,7.762854918566973e-05
13,3.5730480193531834e-05
14,0.00015130746356713611
15,0.00029003669263554644
16,0.00042120740990239354
17,0.0005292939374068584
18,0.0005498683455114467
19,0.00042210233744468807
20,0.00030707027967519874
21,0.00029102900232002123
22,0.00035158507536179646
23,0.0004495837054732083
24,0.0006018152634108206
25,0.0007764987444037301
26,0.0008287277676904348
27,0.0007103200081674637
28,0.000547990830560738
29,0.00043584788259697847
30,0.0003761089588890135
31,0.000395477167235795
32,0.0003913039200821991
33,0.00041493303544869626
34,0.0004567240000225933
35,0.0005451794989634924
36,0.0006092084965193547
37,0.0006350554064986797
38,0.0006259889856182831
39,0.000570841685697667
40,0.00045446699754237373
41,0.00030512470879206604
42,0.0002638882327167697
43,0.00044558545928870225
44,0.0005891689729796711
45,0.0006363687106747273
46,0.0006260863677604634
47,0.0006210472005111798
48,0.0006597252835483795
49,0.0007103783418238271
50,0.0006372344713888403
51,0.00021598817238220453
52,5.256946233039842e-05
53,1.400804676530673e-06
54,0.00020046233503981077
55,0.0003650969671254842
56,0.0004030455606949935
57,0.0003381799692532
58,0.00024226318127134317
59,8.696655786327827e-06
60,0.00011873847629060427
61,4.411586360496583e-05
62,0.00011140373622000837
63,0.0002051805077975216
64,0.00017716409582252174
65,9.003146395215613e-05
66,8.417530675063708e-05
67,0.0002885581097664696
68,0.0004253806570559894
69,0.0004728138887580736
70,0.0004601384314987423
71,0.0004006621686259868
72,0.0003009611839145307
73,0.0001943824061073244
74,0.00014229937634310284
75,0.0001787692276619605
76,0.00022190266324008685
77,0.00027861620589589954
78,0.0003368861096292735
79,0.0003986582640864908
80,0.00046370857877343484
81,0.0004965693937133578
82,0.0004286492543912302
83,0.0001712009935843367
84,4.9009037331766474e-05
85,0.00016131742337012996
86,0.00036064161458455776
87,0.0005301694203970319
88,0.0006410770017748028
89,0.000694327342192589
90,0.0006766810923795475
91,0.0005624951913904753
92,0.0005027562676825102
93,0.0005799372734062452
94,0.0006654647734371721
95,0.0006233917034759443
96,0.00044507974155197914
97,0.00025801247158155474
98,0.0001829813639197986
99,0.0002324087778853181
100,0.0002713689663098485
101,0.00029768286430322937
102,0.0003132279868161695
103,0.00030003693016247975
104,0.00026293481213653704
105,0.0002560571784223616
106,0.00032836461435299186
107,0.0004736213158158232
108,0.0006014845466431873
109,0.000762685143319016
110,0.0008837778448504453
111,0.0008364711621187232
112,0.0006413007735057701
113,0.0004835923865145749
114,0.00047141308409748105
115,0.0005908713275797153
116,0.0007430834409652065
117,0.0010342778813598318
118,0.0012403338721475269
119,0.0011548452612208423
120,0.0008325605758003368
121,0.0005592946499876582
122,0.00046762888736788175
123,0.0004964720115711776
124,0.0005036025838445021
125,0.000492522536148549
126,0.0004569963831338634
127,0.0003561570952154496
128,0.00022237937353020317
129,0.0001608309908039531
130,0.00022623162619222627
131,0.0003531317141632972
132,0.00045111089972258795
133,0.0005203929546010659
134,0.0005696063191116787
135,0.000608148130902456
136,0.0006289074216337695
137,0.0006029436849601432
138,0.0005025519405036639
139,0.00039798694889358883
140,0.000381089633100359
141,0.00044185975559704106
142,0.000491890269441464
143,0.00045972005486498934
144,0.0003804670886693345
145,0.0003517503540548258
146,0.0004038333838190473
147,0.0004921334857245524
148,0.0006121364954293268
149,0.0007450192895722787
150,0.0008265973141805769
151,0.0008127253794394995
152,0.0007447177396328269
153,0.0006815643844487128
154,0.0006264462513562784
155,0.0005669116548271595
156,0.0004846527521314735
157,0.00039413469623156576
158,0.00032073788723743
159,0.0002593354980336629
160,0.00022795342534439158
161,0.0002681975917352132
162,0.0003870140056158766
163,0.0004778140075215402
164,0.0004705862124876103
165,0.00041588629664735406
166,0.00038160523249471746
167,0.00038333675392294335
168,0.0003884925884849535
169,0.00036309306258598835
170,0.0003097064509217797
171,0.0002649777651618499
172,0.00022173722516548278
173,0.00021287513146393247
174,0.0002748417314423608
175,0.00041462160385160923
176,0.0005394985021126379
177,0.000569032226679382
178,0.000523194563922251
179,0.0005044294554543728
180,0.0005487788130663665
181,0.0005981090042712806
182,0.0005798594951977609
183,0.0005001492632641109
184,0.00042183983599105337
185,0.00033159416320241566
186,0.00026704972563376965
187,0.0003710796732973652
188,0.0007513424347878534
189,0.0010631696169434305
190,0.0009496258643190785
191,0.0005773203873302106
192,0.00030102923984695455
193,0.0002981108038314682
194,0.0004417040397984975
195,0.0005504033894579263
196,0.000626621411706943
197,0.0006587623000736613
198,0.0006137610718208866
199,0.0005288755607731053
200,0.0004381826632856825
201,0.000306243408065328
202,0.00023268116099658815
203,0.00040039950779077727
204,0.0008137176891239743
205,0.0010859230899381792
206,0.0009761246449391844
207,0.0007071779598025849
208,0.0005569794732326501
209,0.0005528256706311753
210,0.0005916009764289806
211,0.0006284598781718349
212,0.0006551240968665449
213,0.0006182261466378738
214,0.0004796621962624926
215,0.00030790687356113005
216,0.0001591286362039089
217,3.3687686549793725e-05
218,4.7851448954262384e-05
219,6.182060645594536e-05
220,2.4951982437030524e-05
221,3.0837306466731193e-05
222,0.00011062547599044036
223,0.00018525781095213938
224,0.00023496717092341468
225,0.00026219560039278595
226,0.00026528903737736215
227,0.00020570567008636585
228,0.00014496487379944022
229,0.00018706711058884956
230,0.0003400088728236061
231,0.0004577064280494328
232,0.00041959255578689425
233,0.00029816929686940627
234,0.00023021999071909702
235,0.0002419323051221351
236,0.00029184615165383143
237,0.00038596336227503854
238,0.0005135153208868904
239,0.000557679795872159
240,0.0004273553947673037
241,0.00022992816305570588
242,0.0001405289658106348
243,0.00017552007487884079
244,0.00022199016372463176
245,0.00021206770440618283
246,0.00016875926785896663
247,0.0001483793052755892
248,0.00015976090291099394
249,0.00020468435295528417
250,0.0003258451104191374
251,0.000508135714593913
252,0.0006203079887674287
253,0.0005958033904107581
254,0.0004986024650810353
255,0.0003986582640864908
256,0.0003009222948102885
257,0.00020753457365677196
258,0.00011779493736800699
259,3.393090283288215e-05
260,3.7938711911874004e-05
261,0.0001576792201630136
262,0.00021332267492586718
263,6.005019592347731e-05
264,0.000251329442770165
265,0.0004691756855509572
266,0.00044844556164782537
267,0.00028055205450297163
268,0.00019330275531987946
269,0.0002038088699651107
270,0.000239636572919248
271,0.0003073232182343477
272,0.00037750976354960597
273,0.00038255865307495015
274,0.000294239106617324
275,0.0001871157219691523
276,0.00016912887373084218
277,0.00025555146068563837
278,0.0003317304344488381
279,0.0004127636928345963
280,0.0004616364589199403
281,0.0004203222046361595
282,0.000291602935370743
283,0.0001646151875335524
284,0.0001112577426975254
285,0.00013387510382742665
