,ri
0,0.0
1,0.0
2,1.2506385982327885e-05
3,1.6211642232189152e-06
4,4.5333574095883945e-06
5,2.974901038591553e-06
6,1.247871811493278e-05
7,2.2207552385453082e-05
8,3.0962572153247245e-05
9,3.81241021752883e-05
10,4.295992603325413e-05
11,4.6939981808393536e-05
12,4.97876285985881e-05
13,5.1495472567602204e-05
14,5.0167556577009486e-05
15,4.104551735459227e-05
16,4.0248767760236644e-05
17,8.161887735846008e-05
18,0.00016834282564076882
19,0.00024744790255165774
20,0.00028591879736520037
21,0.0002856475956069794
22,0.00029815772100073683
23,0.0003245002692187419
24,0.00036431376382280883
25,0.0004267940407533386
26,0.0005177728821078976
27,0.000592757713086873
28,0.0006149560302592502
29,0.0005785563538874968
30,0.0005733332648726228
31,0.0006153193952890671
32,0.0006811619319003823
33,0.0007114936577911048
34,0.0006996825945895862
35,0.0006769697306273254
36,0.0006615566510374577
37,0.0006546257086106115
38,0.000645959244904398
39,0.0006355793564409006
40,0.0006224495841329906
41,0.0006024477934571239
42,0.0005742241135449963
43,0.0005426436508678135
44,0.0005092576001617507
45,0.0004724890818444503
46,0.00044097509759268087
47,0.00041277162561100574
48,0.00039069134541557015
49,0.0003911468737169831
50,0.00042013968257086196
51,0.0004596894353536506
52,0.0004929537663290911
53,0.0005132764287230759
54,0.0005519851916525513
55,0.0006178535075396304
56,0.0007068663250062504
57,0.000791644542317696
58,0.0008643737338821089
59,0.0009458595694031186
60,0.0010519360955451573
61,0.001185476521186146
62,0.0013400926851340068
63,0.0015172860177354365
64,0.0017170489646239108
65,0.0019234861943365693
66,0.0021397875381382815
67,0.0023549519497780926
68,0.00255334661202986
69,0.002715266904110865
70,0.002903885271784424
71,0.003130518156103878
72,0.0033990239497714942
73,0.0036747016701580803
74,0.003956961132378929
75,0.0042498864158362175
76,0.004563082897565546
77,0.00490366584653695
78,0.005254628495112688
79,0.005605963196239745
80,0.005961551950015778
81,0.006330293800206364
82,0.006711259559729019
83,0.007109361455416144
84,0.007545101093718767
85,0.008047093470734974
86,0.00852621311450735
87,0.008957663761215822
88,0.00933448217351666
89,0.009710599918322372
90,0.010113021023069742
91,0.01048815197874822
92,0.010774160295356734
93,0.010972566289158289
94,0.011074635223859207
95,0.011082114046718225
96,0.011009044436512311
97,0.010812205973764543
98,0.01045811392885613
99,0.010001801861916312
100,0.009515848349326929
101,0.009005410190536597
102,0.008476080449660722
103,0.007912937364222257
104,0.007313561648341805
105,0.006733711137039122
106,0.006157592482799422
107,0.005601885726908275
108,0.005085154780803237
109,0.00460852524509642
110,0.004175508011629978
111,0.0037830482834406596
112,0.00343206486035698
113,0.0030963903610347144
114,0.0027701031064146587
115,0.0024576110693637185
116,0.0021599661954203975
117,0.001857033264910094
118,0.0016025880359357581
119,0.0014224749406727016
120,0.0013405383927589383
121,0.0012491758840145284
122,0.0011458472586956896
123,0.0010371248156785286
124,0.0009337075209826112
125,0.0008310356534034752
126,0.0007412869462078106
127,0.0006697675864422582
128,0.0006200832732488476
129,0.0005764631333532057
130,0.0005387354937760687
131,0.0005072675911600974
132,0.0004847889125600886
133,0.00047931124139334705
134,0.0004683320083757311
135,0.00043910680832164967
136,0.00037835648132517557
137,0.00034562699949965267
138,0.00035142006546878205
139,0.0003785999207864199
140,0.0003958296366662092
141,0.00040169276938485107
142,0.00039936706322077586
143,0.0003870542956524648
144,0.0003586203210622181
145,0.0003428679559858295
146,0.0003427037429435084
147,0.0003530559635396107
148,0.00036492236247591956
149,0.0003771871598168016
150,0.0003936422698391095
151,0.0004213550857150339
152,0.00046936478470917915
153,0.0004860633341927314
154,0.00045787648181740956
155,0.0004085702646685381
156,0.00037951466014292634
157,0.0003706821892323422
158,0.00038268881609725754
159,0.00042478741214533184
160,0.000511657055829019
161,0.0005595875284042411
162,0.0005608508073462606
163,0.0005310336282454218
164,0.0004954435911059059
165,0.00045134393779513657
166,0.00040896309172779965
167,0.0003714900343025303
168,0.00033887490670026844
169,0.0003124862768464653
170,0.00029367042728532594
171,0.0002795945649998339
172,0.0002651147329644571
173,0.00024927379294057154
174,0.00023630445649172068
175,0.00022809540967855116
176,0.00022479773983154823
177,0.0002258194679039545
178,0.0002344694064333962
179,0.00024264162570975995
180,0.00023324474919023195
181,0.00020243530404643147
182,0.00017431851842062218
183,0.0001610780746431319
184,0.00016546017380469246
185,0.00016179923335745412
186,0.00014856058374201333
187,0.00012534601541295997
188,8.051228542111191e-05
189,1.018991503132856e-05
190,4.622070224274421e-05
191,6.996641808211834e-05
192,6.229585595775627e-05
193,5.4817108642403356e-05
194,4.755599318365623e-05
195,4.040368893173292e-05
196,3.07541660667592e-05
197,1.8485695415154755e-05
198,1.3727332142937066e-05
199,2.3598169618197163e-05
200,4.578174633289387e-05
201,6.453302494616716e-05
202,8.110247030581977e-05
203,8.962510831636951e-05
204,7.35776130257944e-05
205,3.473238046505832e-05
206,1.1827673364913831e-05
207,2.8251413880229762e-05
208,7.267389360145523e-05
209,9.478926382939602e-05
210,9.245615438612703e-05
211,8.091434769344938e-05
212,8.515077033954772e-05
213,0.00010049186625939738
214,8.779369379693484e-05
215,4.881935711229913e-06
216,0.00010849071282402936
217,0.0001282028879732723
218,4.763161239256407e-05
219,4.389500552162713e-05
220,4.55973159171622e-05
221,2.2836462841555948e-05
222,7.58147820142053e-05
223,7.986124067109296e-05
224,5.619850954798783e-05
225,4.264639149362284e-05
226,3.934688971273777e-05
227,4.63534891203244e-05
228,7.581662339104559e-05
229,0.00011771232804019447
230,0.00013960082175549542
231,0.000116292201563215
232,8.326402008532283e-05
233,0.00010527056966348164
234,0.0001778245943541132
235,0.0002422745779262624
236,0.0002421584295409519
237,0.00020405826526458733
238,0.00017738927398315264
239,0.0001718599498353015
240,0.00018693364950906683
241,0.00023508905334754867
242,0.00031045566312474403
243,0.00037489469286543307
244,0.0004028491540405523
245,0.00040512131863188687
246,0.00039518968739202275
247,0.000368815788552942
248,0.00034232564689896917
249,0.0003254371995269133
250,0.0003189525313024879
251,0.00032634646196768967
252,0.00036996849045496265
253,0.0004185535488895118
254,0.0004414952157278763
255,0.0004271001814567342
256,0.00039609706124116805
257,0.0003477129489561642
258,0.0002912802257170498
259,0.00025062016991435793
260,0.000242553050762263
261,0.00025139477577183934
262,0.00026867982738641884
263,0.0002972742378357245
264,0.00032037265777946737
265,0.000329275195439564
266,0.00032748433842540647
267,0.00032194028326283305
268,0.0002881522458280981
269,0.00027177277390061437
270,0.0003106309244281069
271,0.00042936875772396974
272,0.0005187448457908252
273,0.0005127673588489223
274,0.0004626403597771899
275,0.00043994779817496297
276,0.0005007552550682768
277,0.0005598014114064592
278,0.0005837149474981698
279,0.0005651444259899057
280,0.0005417657390481128
281,0.000517654845130956
282,0.0004936527340917485
283,0.0004706244753270996
284,0.0004516629209216235
