,ri
0,0.0
1,0.0
2,9.907124596839576e-08
3,1.0525304778735007e-05
4,3.540978939577025e-05
5,6.248981878881147e-05
6,8.243363041093895e-05
7,9.716234700478048e-05
8,0.0001057652978936415
9,0.00010876284912655356
10,0.00010703728277541487
11,0.00011837865935249956
12,0.00013166411372212306
13,0.00012467862551489466
14,0.000124741592850306
15,0.00012955769987998877
16,0.00012633030583646959
17,0.00010680240189018305
18,6.537589617260508e-05
19,3.2175070370032246e-05
20,6.477118965929374e-06
21,1.0838471841300063e-05
22,1.6491007585879057e-05
23,3.028293804998868e-06
24,1.0840045164945649e-05
25,1.5377082408448045e-05
26,1.8987316819580573e-06
27,4.2709925137321995e-06
28,2.153862876014004e-06
29,1.8294658935261865e-05
30,2.6253234921190053e-05
31,1.9144425651817997e-05
32,9.110386452849047e-06
33,3.884570470540997e-06
34,3.4181788796897545e-06
35,7.801991594905963e-06
36,1.912133304355545e-05
37,3.8474193987524264e-05
38,5.429741080008185e-05
39,6.33182811556749e-05
40,7.006415990933774e-05
41,7.8827177134994e-05
42,9.41551322976737e-05
43,0.00010743922827857586
44,0.0001157405652869207
45,0.00011657690286940903
46,0.00012020644875361651
47,0.00013203531493371782
48,0.0001468985807901464
49,0.00015660653791682133
50,0.00015600791836056506
51,0.00015261407871169854
52,0.00014934010397139362
53,0.000146154390108387
54,0.00014392905707135792
55,0.00014493866659238806
56,0.0001474765322040858
57,0.00014654868392824434
58,0.00012805502964270517
59,0.00011270965615376341
60,0.0001151856033124802
61,0.00016064360041742663
62,0.0002008370846563012
63,0.0002108917404132052
64,0.00019507304583145404
65,0.00018271566326999325
66,0.00018701333006756587
67,0.00020185398476996224
68,0.00022119589263019072
69,0.00025309051591104796
70,0.00028096430857678
71,0.0002892071488961381
72,0.0002769651434020203
73,0.00027066428311034023
74,0.0002945978887445297
75,0.00033411032158499554
76,0.00036683339003792226
77,0.00037512575136382996
78,0.00037658696495292224
79,0.00038638851334301717
80,0.00040614447184134095
81,0.00043163523801481254
82,0.0004608344053975043
83,0.0004931399842535474
84,0.0005269454649850497
85,0.0005593261850906143
86,0.0005930591037916865
87,0.0006327668694913202
88,0.0006817183844656082
89,0.0007310726015139906
90,0.0007673402047898813
91,0.0007942419757541378
92,0.0008266866604931624
93,0.000877814520536542
94,0.0009415220918270375
95,0.0010049483562886608
96,0.0010641789190807807
97,0.0011242840090927315
98,0.0011896321356731222
99,0.0012601710266483726
100,0.0013404058899789209
101,0.0014347327466836817
102,0.001541714971728898
103,0.0016535739842316144
104,0.0017677554975519193
105,0.0018862654563509512
106,0.002016626067134007
107,0.0021585226651719704
108,0.00230905792768581
109,0.002466550203828111
110,0.002631646017851051
111,0.002799090640726309
112,0.002972015244430511
113,0.0031464306367693837
114,0.003310326254175253
115,0.0034592022190738014
116,0.0036130062119157937
117,0.003799648822225995
118,0.004021633612002192
119,0.004257191972115284
120,0.004493917858736959
121,0.004729257844967002
122,0.00495524730225202
123,0.005166750145641883
124,0.005378610640745714
125,0.005613990175001822
126,0.005876396486374136
127,0.006143337064908649
128,0.0063997613074689465
129,0.006645447401213192
130,0.006907621582867305
131,0.007196076287580592
132,0.007492959880283676
133,0.007749807114774918
134,0.007967730494222289
135,0.00816287421065684
136,0.008350768601965935
137,0.008533281022771547
138,0.00868070574706149
139,0.008789168787760891
140,0.008859576310510433
141,0.008895264105334639
142,0.008896634530411724
143,0.008867172970473495
144,0.008815414921232181
145,0.008746128499047582
146,0.008614201442536516
147,0.008403472364873993
148,0.008121813042726123
149,0.007809264992742937
150,0.0074570588700146045
151,0.007101957143986636
152,0.006787469521246923
153,0.006526010643020748
154,0.006249188216408437
155,0.005934733263777212
156,0.00558675018244075
157,0.005248556097294805
158,0.004916388787425125
159,0.004599287556006404
160,0.004300552083995891
161,0.004016653999676926
162,0.0037633832823253774
163,0.0035527848850968025
164,0.003391461608864483
165,0.0032125463389512934
166,0.0030033596343052612
167,0.0027904485372916444
168,0.0026100115281146906
169,0.0024714042941576097
170,0.0023461488176955876
171,0.0022269802982886216
172,0.002117121040321225
173,0.002000581604907813
174,0.0018688677638416132
175,0.0017363681206923169
176,0.0016313959670587843
177,0.0015634340598514472
178,0.0015016512737946889
179,0.0014352542647839072
180,0.0013633358354907838
181,0.001286555750158828
182,0.001198705656487762
183,0.0011074539167313803
184,0.001036364620402084
185,0.000992664739393206
186,0.0009544508573911523
187,0.0009112229734759504
188,0.0008611806207740559
189,0.0008111747210353157
190,0.0007597194721153026
191,0.0007085168147182803
192,0.0006668049957848421
193,0.0006375767692003904
194,0.0006122660325194793
195,0.0005858782139461144
196,0.0005574156715358481
197,0.0005311428861339473
198,0.0005107412631231451
199,0.0004934589476811499
200,0.000462729099741845
201,0.00040690138667061657
202,0.0003540451059403041
203,0.00032377023224867366
204,0.0003316784618779431
205,0.0003291355238020328
206,0.0003056856077213991
207,0.0002654881342903303
208,0.00024272085152914782
209,0.00024952964603384015
210,0.00025931451547381247
211,0.000251463544508366
212,0.0002135789428102791
213,0.00018320382346997358
214,0.0001678851706908159
215,0.00016658632754090695
216,0.0001602484640526662
217,0.00014771822222771819
218,0.0001315829886843102
219,0.00011263367235933885
220,8.56232302973762e-05
221,6.604547864345517e-05
222,5.729611408418793e-05
223,5.932245177093972e-05
224,6.491768930366967e-05
225,8.012811804976373e-05
226,9.282396293515596e-05
227,9.032786347794052e-05
228,6.144095355321441e-05
229,3.9068824351586266e-05
230,3.340790270600232e-05
231,4.581011209526689e-05
232,4.110988078195141e-05
233,8.66750186479432e-06
234,3.07117590160792e-05
235,5.709606985148025e-05
236,6.958896458398879e-05
237,7.014182879356849e-05
238,5.370224739740769e-05
239,1.7418756131915667e-05
240,2.9490619139988885e-07
241,8.572839365711835e-06
242,2.8843682212758864e-05
243,4.387086603982544e-05
244,5.389766623054529e-05
245,5.815396235389626e-05
246,5.5670243148318226e-05
247,4.586551372134427e-05
248,3.363606042680328e-05
249,1.4864512478989289e-05
250,2.4704929700787453e-06
251,6.476804301200258e-06
252,1.1530713611605401e-05
253,2.5040554883718635e-05
254,2.499626109452704e-05
255,8.481743066892678e-06
256,1.0862192059541447e-06
257,8.12197983222735e-06
258,1.9510176113733526e-05
259,2.096853536703161e-05
260,8.622164351610517e-06
261,5.036697321670368e-06
262,1.633925149299542e-05
263,2.4980940533125755e-05
264,3.4458642174138946e-05
265,4.5831296081402e-05
266,5.6897091695996886e-05
267,6.310124846655366e-05
268,6.076550765763048e-05
269,6.260504110300902e-05
270,7.364081460738321e-05
271,9.550604128363549e-05
272,0.00011517552716323085
273,0.00013229370110226678
274,0.00014787165137405227
275,0.0001647411198135279
276,0.00018556380893835337
277,0.00019988552475961528
278,0.00020116378574117706
279,0.0001866709817202038
280,0.00018440573956643802
281,0.0001981356105802564
282,0.00021947245843350073
