,ri
0,0.0
1,0.0
2,7.564916783560878e-05
3,0.00017594835165008082
4,0.0002688139599147032
5,0.00033952034551127107
6,0.0003865608582783448
7,0.0003933147410635266
8,0.0003542443284415221
9,0.00028333672011881015
10,0.00020461806961507436
11,0.000142201580281428
12,9.394260990145196e-05
13,5.297043849434289e-05
14,1.6033058777599026e-05
15,9.624134952166966e-06
16,2.3756195030505662e-05
17,2.7356993705593048e-05
18,1.4614146525300505e-05
19,1.725663696882068e-05
20,6.479599007504496e-05
21,0.00012274978339070621
22,0.0001997307976453769
23,0.0002783974422755565
24,0.00035233235250248967
25,0.0004144405670195025
26,0.0004868807484313958
27,0.0005739897865475708
28,0.0006719470098604481
29,0.000772743513842382
30,0.000878790450809508
31,0.0009859937583774137
32,0.0010957245514001477
33,0.001226302498905633
34,0.0013317864122847367
35,0.0014209612837166338
36,0.0014828002678266984
37,0.001482067385054738
38,0.0013732342934186191
39,0.0012188096526617367
40,0.0010585427520785936
41,0.0008767358187588592
42,0.0007151116448849371
43,0.0005814934340113596
44,0.0004760556858461668
45,0.0004093931169592521
46,0.00041458586342931473
47,0.0004496238206248122
48,0.00047361092973481075
49,0.00046105679186739435
50,0.0004439368583378937
51,0.00043995360846867446
52,0.000449767996908117
53,0.00045991994347145714
54,0.000460683309686225
55,0.0004574500645227216
56,0.0004579602821468255
57,0.000470058528525745
58,0.000484319179127129
59,0.0004906468537762591
60,0.0004863190049879533
61,0.00048785669865545396
62,0.000517614699531387
63,0.0005624182396542205
64,0.0005956227097752371
65,0.0005972400924428331
66,0.000582580676804828
67,0.0005653552913655627
68,0.0005451912540342305
69,0.0005294417952864885
70,0.0005265715511204069
71,0.0005345033269371172
72,0.000545779960522886
73,0.0005619240238373647
74,0.0005772624761659406
75,0.0005799182161058623
76,0.000560426974760274
77,0.0005404880028478854
78,0.0005513939545687533
79,0.0005890317253878405
80,0.0006283225629046867
81,0.0006534218776274606
82,0.0006662182028475761
83,0.0006677214926294935
84,0.0006501781512802097
85,0.0006295422206531326
86,0.0006338301449323547
87,0.0006626505999216247
88,0.0006990086262060496
89,0.000731514617440689
90,0.0007605038914964261
91,0.0007875256633419798
92,0.0008094746222627951
93,0.000831379496204642
94,0.0008643528202199606
95,0.0009091890840386164
96,0.0009607853113292081
97,0.0010185006297114517
98,0.0010809340809607812
99,0.0011394558904283263
100,0.0011866452200028066
101,0.0012271073898102098
102,0.001281624747013932
103,0.0013520334989956862
104,0.0014266019207715692
105,0.0014873743844285518
106,0.0015347189315333383
107,0.0015939648227788572
108,0.001680691417701804
109,0.0017914895312679826
110,0.0019054592030307235
111,0.002031346220741445
112,0.0021372581824644337
113,0.0021690041678638274
114,0.0021241343002499505
115,0.002042041028615675
116,0.0019319581958334839
117,0.0017932673320532405
118,0.0016570895521013022
119,0.001522227120705153
120,0.0013932901585329545
121,0.0012713195831461918
122,0.0011566050272560546
123,0.001068567884319493
124,0.0010259246681841817
125,0.0010319597497877814
126,0.0010373787618123311
127,0.001038886132055097
128,0.0010387197132597171
129,0.00104250094031243
130,0.0010508634847802576
131,0.0010613406680759143
132,0.001076127138063469
133,0.0010976183652879536
134,0.0011045607493625174
135,0.001093562707240937
136,0.0010669397004320045
137,0.0010345320403029044
138,0.0010004105866175386
139,0.0009512626358358974
140,0.0008702902907993472
141,0.0007492393392751295
142,0.0006421358029754154
143,0.0005548228218258642
144,0.0004866487222262992
145,0.0004363125572474546
146,0.0004077452508488486
147,0.0003880656682319509
148,0.0003683048764432693
149,0.0003480463484401374
150,0.0003301856912531248
151,0.0003145675273338531
152,0.000301101206444262
153,0.00029199233768638567
154,0.00028984369501815454
155,0.0002888209395078959
156,0.0002830350860521845
157,0.00026932569771049566
158,0.00025914958841821104
159,0.00025497647710599373
160,0.0002567016319454053
161,0.00026038644810944857
162,0.0002669184658371362
163,0.000273988784360648
164,0.0002785939444685625
165,0.0002777423282868216
166,0.0002817427800988325
167,0.00029557090185030184
168,0.0003200150225753045
169,0.0003293355952430725
170,0.00031136564571255577
171,0.000292036102629209
172,0.00030308735075988913
173,0.0003656217734129536
174,0.000414841412291066
175,0.0004280944290900406
176,0.00040050691334923225
177,0.00040397298480819474
178,0.00045132441269009804
179,0.0005181757228935034
180,0.0005766331250868751
181,0.0006205020796573866
182,0.0006663369362573565
183,0.0007164746788263254
184,0.0007689150014492515
185,0.0008307842289750148
186,0.000908840244640609
187,0.0009929321420001655
188,0.001069652006760548
189,0.0011292947428258185
190,0.0011924474753109474
191,0.0012673047297076577
192,0.0013584150197262059
193,0.0014406275048244794
194,0.0015096513003889157
195,0.0015720943527225938
196,0.0016388834959048405
197,0.0017121045655104385
198,0.0017875530866849638
199,0.0018622639245453546
200,0.0019312725183929054
201,0.0020035574822744925
202,0.00206825518924942
203,0.002147608151392468
204,0.002276613921335833
205,0.002473780989432965
206,0.0026839927307987016
207,0.0028861179588716393
208,0.0030709732364721264
209,0.0032879217386892895
210,0.003559678831002089
211,0.0038539288636731013
212,0.004125562742070091
213,0.0044071817481898595
214,0.0046127529654536635
215,0.0047163390644931495
216,0.004716441476059537
217,0.004613545855002804
218,0.004386420203375886
219,0.004070132481762868
220,0.0037214643030930718
221,0.003323892201202166
222,0.002921555561203157
223,0.002521210346116166
224,0.002105347378450385
225,0.001754036501313574
226,0.001479568702852956
227,0.00126039434924759
228,0.001068092630644226
229,0.0009076537106331667
230,0.0007675046821674452
231,0.0006411919363748896
232,0.0005225566976818729
233,0.0004355913557947853
234,0.0003948601956075426
235,0.0003794654969264898
236,0.0003460874872058681
237,0.00027979255984047715
238,0.00021714636456378518
239,0.0001731492355172168
240,0.000153118893285442
241,0.0001399002003630144
242,0.00013498396512219793
243,0.00013448390864569657
244,0.00013287988748715267
245,0.00013092646686734777
246,0.00012682056314557226
247,0.0001195158181458766
248,0.00010808252686714944
249,9.73226716464562e-05
250,8.7922409978593e-05
251,7.864950669461697e-05
252,6.682551529012158e-05
253,5.1103427633677406e-05
254,3.60517276909864e-05
255,2.25533311787666e-05
256,9.509666024018087e-06
257,4.114527095701478e-06
258,9.651089996476295e-06
259,1.984442523426342e-05
260,2.399177363681136e-05
261,2.0981273630200676e-05
262,1.5428302476273716e-05
263,7.685243173252905e-06
264,3.573059542222903e-06
265,7.97824506495857e-06
266,3.255836514976237e-06
267,5.756900585767116e-06
268,9.431537200129514e-06
269,5.055258142097075e-06
270,5.108389742793116e-06
271,1.8480215160042336e-05
272,4.7877279271688466e-05
273,6.0339630772730054e-05
274,5.017988332835657e-05
275,3.1437142518602826e-05
276,2.73132447645769e-05
277,4.0168600651630436e-05
278,5.549689183260388e-05
279,6.813191083475548e-05
280,7.785020042076994e-05
281,9.045941650873406e-05
282,0.00010913576582021568
283,0.0001247265666490933
284,0.00011858995357850479
285,8.744659624007241e-05
