,ri
0,0.0
1,0.0
2,1.3148415293719461e-05
3,2.4092340686993325e-05
4,2.9810158066722347e-05
5,2.1056854393664287e-05
6,1.0819279598169428e-05
7,3.6518249082972866e-06
8,1.0433778698677811e-06
9,1.964644604535749e-05
10,5.7575096385356995e-05
11,0.0001082551283342867
12,0.0001973901325278533
13,0.0002854263901360753
14,0.00034605990837855365
15,0.0003539106646419299
16,0.00035577590769959714
17,0.0003594068795167086
18,0.0003647324309156749
19,0.00037315545348783486
20,0.0004032588832643085
21,0.0004315984752893803
22,0.0004440361079352217
23,0.00037069714303291924
24,0.00028708834982920143
25,0.00023388989700721325
26,0.00019038193853529887
27,0.00023576428781628484
28,0.0004908794500296445
29,0.0008537029083266753
30,0.001105249525625918
31,0.0011354174860518332
32,0.0010453544460239355
33,0.0008959896301673088
34,0.000624027926420018
35,0.000386659378293496
36,0.00028342026697926096
37,0.00029430656390244745
38,0.00030801353569664437
39,0.0002686283293208272
40,0.0001984704417847861
41,0.00012702900890247215
42,3.978919660644183e-05
43,2.295201792607991e-05
44,2.3106678746334848e-05
45,4.222450767604368e-05
46,0.0001164151826005723
47,0.000178258449600475
48,0.00020869646961242303
49,0.00021941879250074656
50,0.00020269935034485475
51,0.00016958132282263863
52,0.00012912500221649409
53,7.805256246119846e-05
54,4.209294079150464e-05
55,5.237666800203049e-05
56,9.515751024410199e-05
57,0.00013693881291024503
58,0.00017114639199120038
59,0.00017984658906715207
60,0.00017435500716207687
61,0.00014156015291428008
62,0.00011973461084272426
63,0.00017030843905248153
64,0.0002826771008186595
65,0.0003882499524330275
66,0.00044748696123630955
67,0.0004598550993365986
68,0.0004234985787164385
69,0.00030992723583539406
70,0.0001884960125771696
71,0.00010354377634744089
72,8.608565917504799e-05
73,9.642018358910858e-05
74,0.00010793427154471917
75,8.403583009485732e-05
76,7.24432416678931e-05
77,7.82326100644205e-05
78,0.00010626070578973375
79,0.00019144147034136748
80,0.00035303583704638736
81,0.0005064379550732024
82,0.0005201541455316052
83,0.0004068922188414728
84,0.000289458964786158
85,0.00023006956437227172
86,0.0002219072172587349
87,0.00023274496255043682
88,0.0002708767378830539
89,0.0003062891727381242
90,0.000252642929211733
91,0.00010524733821749637
92,3.974995818956528e-06
93,7.055731570976384e-05
94,0.0003076095691036203
95,0.0004427386400422378
96,0.0004009873098535644
97,0.0002458426279158226
98,0.00017007069206637052
99,0.0001860653108396707
100,0.00023388760415996205
101,0.0002600159695684377
102,0.00026998347295909946
103,0.00026502974101643914
104,0.00024081727404356236
105,0.0002015428571014201
106,0.00016362805130404985
107,0.0001191505966464781
108,0.00010126541894534519
109,0.0001885260323298402
110,0.00040701229785215527
111,0.0005378478350308606
112,0.00045836167573523736
113,0.00016447061357487166
114,4.321248846531396e-06
115,2.128768974538086e-05
116,4.680660926320221e-05
117,9.340083468566002e-05
118,0.0001173362217051472
119,0.0001313294921169397
120,0.0001386839296820288
121,0.0001407568290603348
122,0.0001421049050560492
123,0.0001377744257265116
124,0.00013549377547716465
125,0.0001631663853281368
126,0.00023488248712858652
127,0.00029662872177832163
128,0.0003123463078734332
129,0.0002694894471080635
130,0.00023218401865230604
131,0.00020640426057641788
132,0.00019018572281331563
133,0.00017958113881322226
134,0.00018566827006360128
135,0.00017692420160106954
136,0.00011236863812857746
137,4.679275762929278e-05
138,0.00013017531535835678
139,8.89410813188346e-05
140,6.693780812890848e-05
141,0.00018201876636767588
142,0.0002642655373913678
143,0.0002982769716631415
144,0.000248153203367438
145,5.6727924782432226e-05
146,7.090819225200199e-05
147,7.002870804915539e-05
148,6.912844639544465e-05
149,0.00015912445018824494
150,0.00017689881481810243
151,0.0001664765712684823
152,0.00018656853171731202
153,0.0002509117113490597
154,0.000315467416647155
155,0.00037001614376170656
156,0.00041987209804342733
157,0.00043142308429346224
158,0.00038023987874209226
159,0.00030544672865530505
160,0.000285638655788817
161,0.00036320638742558497
162,0.00042238595685958387
163,0.00040712528558267924
164,0.00027216947825593215
165,0.0001998993110991053
166,0.00020442139681852312
167,0.0002659461707889111
168,0.00034216585006756513
169,0.00045905189367065596
170,0.0005562891818348177
171,0.0005911638612778751
172,0.0005263289959175438
173,0.0004898131578698248
174,0.0004971514509537533
175,0.0005376029494893901
176,0.0005689575174618127
177,0.0005976320542863666
178,0.000607479478666346
179,0.0005846658848927183
180,0.0005063686969036552
181,0.00044222404947874257
182,0.0003991499591645202
183,0.0003761633381550273
184,0.00036659507383728405
185,0.00038229209521993627
186,0.000398676734401949
187,0.0003961813129142043
188,0.00036310734587937244
189,0.000333661750525594
190,0.0003074296869636019
191,0.00028483994126697474
192,0.00029632876062762084
193,0.00038726875563510876
194,0.0004673850933608094
195,0.00043875452247323755
196,0.00019944457094014695
197,3.126904713371214e-05
198,1.613542795964566e-06
199,0.00011132293431881774
200,0.0002370201298947388
201,0.0003983767732512482
202,0.0005525589320954884
203,0.0006454518656586026
204,0.0006410361255039603
205,0.0006396048687919878
206,0.0006813261792279906
207,0.000789228043622386
208,0.0008019401088103578
209,0.0006686602073610484
210,0.0004777865830971659
211,0.0003597531703644443
212,0.00033689584702983975
213,0.00034404953045364425
214,0.0003612236654932934
215,0.000384494174085128
216,0.0003964491269281869
217,0.00039298432744278754
218,0.0003822436381388538
219,0.00037949883996553834
220,0.0003867655111198668
221,0.00039828198647313083
222,0.00041040783916800744
223,0.00041723816021658843
224,0.00044783797960415086
225,0.0005357703263204515
226,0.000631952668373047
227,0.0006132825095959785
228,0.0003891155613643641
229,0.0001891146558581893
230,0.00013480358117934655
231,0.0003001121949681381
232,0.0004063473721493016
233,0.000428625337894964
234,0.0003890555218590229
235,0.00037810469428639485
236,0.00041915871525949127
237,0.00045664416768087025
238,0.00045980900601556894
239,0.0004145467830204664
240,0.00037683275500198125
241,0.00034322765108328455
242,0.000326443536452348
243,0.000357521071746582
244,0.000445457909606983
245,0.0005263866716628322
246,0.0005772814984877602
247,0.0005968378309086247
248,0.0005935139115223724
249,0.0005474274453968573
250,0.0004798040523022337
251,0.0004855172603498597
252,0.0005969832021518721
253,0.0007078837325492538
254,0.0007321978412044011
255,0.000643422814029276
256,0.0005920502712976765
257,0.0006079527034289173
258,0.0006676028974894293
259,0.0006715964700986409
260,0.000605242652528378
261,0.0005314236079593512
262,0.0005058285777315896
263,0.0005390181326330036
264,0.0005634821036754987
265,0.0005689414438934536
266,0.0005527875076925945
267,0.00053087876126718
268,0.0005118857128668987
269,0.00048066729747351755
270,0.0004137457047385713
271,0.00030299976424864286
272,0.00023513642587105917
273,0.00023736618436646923
274,0.0002938702137966999
275,0.0003283917474878686
276,0.000333557981459276
277,0.0003455774649517765
278,0.0004222611503287959
279,0.0005695761134676314
280,0.0006396994191941
281,0.000567203134750622
282,0.0004006849849428108
283,0.00036350422119223814
284,0.0004813551516488834
