,ri
0,0.0
1,0.0
2,3.948924768644095e-06
3,3.5776164937148296e-06
4,3.917925106916585e-05
5,9.561793694196411e-05
6,0.00017279642800916833
7,0.00026460520434932154
8,0.00034407878002690385
9,0.0004052121525078053
10,0.00046648200320702557
11,0.0005399278364927648
12,0.0006287461261814179
13,0.0007257077855414194
14,0.0008181816441123838
15,0.0009066338299059188
16,0.001001750903898948
17,0.0011151848942240379
18,0.0012448376387501484
19,0.0013805375444125923
20,0.0015120571453003618
21,0.0016459327829944955
22,0.001800159030482899
23,0.0019749687564117736
24,0.002171468868288985
25,0.0023851379634738635
26,0.0026169247081962344
27,0.0028799811016167955
28,0.0031892177700381086
29,0.003537629508833094
30,0.003885478221253623
31,0.004257589033430032
32,0.00459582292765305
33,0.004817040327160007
34,0.004935783800762324
35,0.004910961409666423
36,0.004701074867105493
37,0.004279434144183563
38,0.0038321239509292154
39,0.003337176100039334
40,0.00282989988607297
41,0.0023763522514294367
42,0.0019769891654210117
43,0.0016278690527072976
44,0.0013226282695958816
45,0.0010620330164478387
46,0.0008476082703204219
47,0.0006913412964241184
48,0.0005799019276407342
49,0.00048444531865852927
50,0.00040972769436039967
51,0.00035178704479152476
52,0.00030200230698047977
53,0.0002551644124857326
54,0.00020672894530543643
55,0.00016027524500500053
56,0.00011807452325137522
57,8.59222007970895e-05
58,7.328345038412654e-05
59,6.388751308527563e-05
60,4.9108676370572145e-05
61,1.649300391822696e-05
62,7.34482557448105e-06
63,1.6387122920854408e-05
64,1.1967682363930499e-05
65,1.1608060500423842e-05
66,1.897745059132547e-05
67,2.8309255239861876e-05
68,3.583222142149473e-05
69,4.179578036952659e-05
70,4.6701259988746364e-05
71,5.221243251961206e-05
72,5.827377676308814e-05
73,5.7895091709567804e-05
74,4.5033826709337184e-05
75,2.7280472037043347e-05
76,1.1348599505128019e-05
77,5.565076152392381e-06
78,4.326195418642203e-06
79,2.3736476930921816e-05
80,5.389608064603021e-05
81,8.977766162469708e-05
82,0.00013050795072209207
83,0.00017510202296616185
84,0.0002226369605226923
85,0.00028699786899678885
86,0.0003464261037949952
87,0.00038917008153130177
88,0.000416635219186221
89,0.0004245886993239221
90,0.0004059732735192143
91,0.0003677141271059864
92,0.00032032129412432725
93,0.0002563033589684108
94,0.00019217930447640674
95,0.00013960389381531676
96,0.00010057155316724425
97,6.874524681764008e-05
98,3.9969324373667984e-05
99,1.523075036163156e-05
100,3.277376134989457e-06
101,1.3932249784385026e-05
102,1.815303697589277e-05
103,1.7440947317523656e-05
104,1.2246937194153418e-05
105,1.1692467570287647e-06
106,2.030600138263128e-05
107,4.924507644505001e-05
108,7.753857788656486e-05
109,9.844436059926987e-05
110,0.00011639611076230455
111,0.00013590464252588236
112,0.00015628100071576437
113,0.00018197848561518284
114,0.0002178865182840306
115,0.0002635804650902751
116,0.0003156717355844057
117,0.0003778448509418269
118,0.00044482951702157734
119,0.000509114547826056
120,0.0005760592042592108
121,0.0006302261705300921
122,0.0006480976669684125
123,0.0006311474864155656
124,0.0005874185837072058
125,0.000508232694580291
126,0.00040498162817683434
127,0.0003083986929422738
128,0.00021960068158036203
129,0.00014510576722910262
130,9.762779653266633e-05
131,7.682219422413241e-05
132,6.77605953490303e-05
133,6.077180092856163e-05
134,5.6241958753062915e-05
135,5.6287985475416086e-05
136,6.195919659266429e-05
137,7.189553762399971e-05
138,8.191150722932134e-05
139,9.191821678948366e-05
140,0.00010682321673549308
141,0.00013033884745015272
142,0.0001623099152652225
143,0.00020227208947743835
144,0.00025379627011738054
145,0.00031168893936787706
146,0.00036270112156154083
147,0.00040748848259634164
148,0.00044404729717309645
149,0.00047571782377565296
150,0.000501836230474656
151,0.0005010934732658837
152,0.0004620895379040173
153,0.0003936781215751595
154,0.0003274815361319655
155,0.0002628557200368549
156,0.00020382027525547072
157,0.00015670430590249975
158,0.0001215727104378984
159,9.095310128112564e-05
160,6.265791974702915e-05
161,3.750656261644894e-05
162,1.990607683312522e-05
163,1.079605221975102e-05
164,6.783690280977371e-06
165,6.0229521743892965e-06
166,9.184667610304166e-06
167,9.796358061747377e-06
168,4.44352448872229e-06
169,5.444887017731434e-06
170,7.3820259499924725e-06
171,8.94278077413163e-08
172,1.1939781105498921e-05
173,2.38013441333418e-05
174,3.594311534626788e-05
175,4.860929815461637e-05
176,6.0665916023997035e-05
177,7.178488594513368e-05
178,8.713866597004679e-05
179,0.00010932768776784965
180,0.00013221113480876197
181,0.00014678679753684704
182,0.00014823554527719789
183,0.00015669641337455803
184,0.00018039044647823684
185,0.0002181545907306054
186,0.00024494163520518564
187,0.000257419643737197
188,0.0002647602026579591
189,0.0002768165860958167
190,0.00029553863917157876
191,0.0003147905856332098
192,0.0003323924858200558
193,0.0003479208391857787
194,0.0003657462307579049
195,0.00038642688106466853
196,0.0004108138937503982
197,0.0004384834556933919
198,0.0004700523953026393
199,0.0005018577200309331
200,0.0005309487184418457
201,0.0005572757691963377
202,0.0005918845042207606
203,0.0006365155775735474
204,0.0006883562016976477
205,0.0007431967678780101
206,0.0008017245511962917
207,0.000860677046290447
208,0.0009187031461494631
209,0.0009768421638587344
210,0.0010351116817824877
211,0.0010869898149502713
212,0.0011455672196075926
213,0.0012279781050528698
214,0.0013420407625788617
215,0.001462823399712258
216,0.00158521423709358
217,0.0017111864067082569
218,0.0018310922699455536
219,0.0019545493800374176
220,0.002060915650662622
221,0.002129457176486756
222,0.0021642694762170024
223,0.0021555540936294823
224,0.0020978288475583438
225,0.0019905916638251154
226,0.00185741033415833
227,0.001683746587657824
228,0.001498159653896457
229,0.0013301828254252417
230,0.0011810148287652268
231,0.0010475494462363806
232,0.0009304094842515295
233,0.0008305533770206256
234,0.0007436234332499087
235,0.0006700971118079322
236,0.000607936030602026
237,0.0005558344060489621
238,0.0005179467554558818
239,0.00048209983127070157
240,0.0004457930305811947
241,0.0004089118726602857
242,0.0003771244037996621
243,0.0003498942446746511
244,0.00032804600816748017
245,0.00031300128703375005
246,0.0003083102341142537
247,0.00030324545827514104
248,0.0002941559620487994
249,0.000281396752904924
250,0.00027857392386430456
251,0.0002929804833204503
252,0.00030919685413432016
253,0.000313309642630364
254,0.000296335862637533
255,0.00028532492657658867
256,0.00028499609729363087
257,0.0002947056258264432
258,0.00030572488420645486
259,0.00031743169117156726
260,0.0003308939213810629
261,0.0003464926432756127
262,0.0003636872186912092
263,0.00038431183986397077
264,0.00040916076079389326
265,0.0004378676822262561
266,0.0004679604846788796
267,0.0005005249768225572
268,0.0005326971868843792
269,0.0005626180728867871
270,0.0005922830378098968
271,0.0006165752229445645
272,0.0006395069238072985
273,0.0006577066243778488
274,0.0006502036434835535
275,0.0006102842530242889
276,0.0005554632228041784
277,0.0004947485840953135
278,0.00042245576318363377
279,0.00035788460870530756
280,0.0003026158924200675
281,0.0002559890644398803
