,ri
0,0.0
1,0.0
2,6.181973738098179e-06
3,5.642940895158398e-06
4,4.451918289447216e-06
5,1.8475371647078004e-06
6,5.601744449416482e-07
7,2.5602430181651118e-06
8,2.627082718150676e-06
9,1.8209393569688865e-07
10,5.804995346586471e-06
11,1.1621531639977233e-05
12,1.634874846613926e-05
13,2.0758763882824972e-05
14,2.5640530052439452e-05
15,3.479365729128933e-05
16,4.193607529709694e-05
17,4.125965318695506e-05
18,3.14209766332277e-05
19,2.4526576445898805e-05
20,3.09160621508472e-05
21,4.502962337155653e-05
22,5.737702390855534e-05
23,6.346254109864835e-05
24,6.562626295189677e-05
25,6.53849663573135e-05
26,6.230856283664723e-05
27,5.9233664994313196e-05
28,5.903101155651442e-05
29,6.10694283753612e-05
30,6.336709351035033e-05
31,6.226098650584003e-05
32,6.1017948146610136e-05
33,6.697487730263894e-05
34,8.392550127901746e-05
35,0.00010266227110253692
36,0.00010844733561429258
37,0.00010252792423691335
38,9.662519950084498e-05
39,9.918562878849448e-05
40,0.00010883997616495093
41,0.00012054608191207431
42,0.0001340325358686367
43,0.00014801066365173013
44,0.00015834799913765353
45,0.00016380903235883821
46,0.0001670298645809712
47,0.00017290635636465327
48,0.00018321978726674535
49,0.00019325784978106595
50,0.00020253888206587058
51,0.0002106888705189408
52,0.00021507171387458968
53,0.00021383108149619992
54,0.00021467224344283664
55,0.00022844221507711297
56,0.000258582092286465
57,0.0002827130711536406
58,0.00029448157717803803
59,0.00029390763432923025
60,0.0002927153544044994
61,0.0002899469241926031
62,0.0002876460303865511
63,0.0002882184986019407
64,0.00029133307960568046
65,0.00029792461337260333
66,0.0003085249768929567
67,0.0003234415924282859
68,0.0003404526530911237
69,0.00036005619691538486
70,0.0003813577423145232
71,0.0004021438645278694
72,0.0004203870978300138
73,0.00044103957168830304
74,0.0004662020954376293
75,0.0004975628915049387
76,0.0005291330079053427
77,0.0005593161927698178
78,0.0005896809903815829
79,0.0006244722494532605
80,0.0006612444844915332
81,0.0007042566696449235
82,0.0007542447246013822
83,0.0008050737862799072
84,0.0008714579021515428
85,0.0009596192491181034
86,0.0010643073560880616
87,0.0011694720024889433
88,0.0012736191518312897
89,0.0013794039203906532
90,0.001488032403078525
91,0.0016110696065075947
92,0.0017253715472411524
93,0.0018186879021884856
94,0.0018974674761240951
95,0.001985979630619609
96,0.0021049747862371972
97,0.0022267787304549682
98,0.0023344898359321698
99,0.002408798942242177
100,0.0024847844739117855
101,0.002570095121644173
102,0.0026641053304208963
103,0.0027644735375984756
104,0.0028733076928420392
105,0.0029859658053757662
106,0.0030986231417866415
107,0.003195107630214479
108,0.003304716356064006
109,0.0034462974627879565
110,0.0036160169034990947
111,0.0037900034676486977
112,0.00394310378973709
113,0.00409673420373317
114,0.004275084130554846
115,0.0044944133439445404
116,0.004735807730007128
117,0.004982028047961381
118,0.005229549147815029
119,0.005505378552560379
120,0.005838402778613627
121,0.006207969973014766
122,0.006584615407823107
123,0.006974224422622843
124,0.007354754352303779
125,0.007720336931984459
126,0.008070536756745099
127,0.008367815092619118
128,0.008623640706985602
129,0.008807977645485037
130,0.008862787441269762
131,0.008761301617185783
132,0.008518250984957737
133,0.008124019382453471
134,0.007562654380579824
135,0.006942570252117604
136,0.0063226786021225966
137,0.005707335032038359
138,0.005118250026394571
139,0.0045407028630636646
140,0.003994142404585566
141,0.003523450283226472
142,0.0031302874018889525
143,0.0027908267890268293
144,0.002480560037230162
145,0.002198198782565182
146,0.0019523773917566854
147,0.0017522696369113766
148,0.001588639656094418
149,0.001444013819423378
150,0.0013165519396169543
151,0.0012049361600730162
152,0.001107252561839353
153,0.00102425786469634
154,0.0009487411112291384
155,0.0008788776366134796
156,0.0008139797960027864
157,0.0007538476601504693
158,0.0006974091705615209
159,0.0006467701037570839
160,0.0006067151795054004
161,0.0005768682886725527
162,0.0005496848962420559
163,0.000521672759830549
164,0.0004928362257260013
165,0.0004614918058508621
166,0.0004256130434394286
167,0.0003901293275594936
168,0.0003655471884786439
169,0.000352224341219213
170,0.0003399356000473431
171,0.0003219591977816019
172,0.00029886923249536725
173,0.00027725172748331524
174,0.0002572523610047039
175,0.00023982708357593138
176,0.00022848102121969635
177,0.00022396794444953775
178,0.00021914697974412286
179,0.000208913722332608
180,0.0001931595926280449
181,0.00017913520792299214
182,0.00016792931335376813
183,0.00015836290069640556
184,0.00014648208969537192
185,0.00013131315662096577
186,0.00011841872917565501
187,0.00011227284515015934
188,0.00011364627214846932
189,0.00011315358936223109
190,0.00011002465008573548
191,0.0001045174375548766
192,9.666012502917e-05
193,8.56656463247401e-05
194,7.50007947566417e-05
195,6.729836530721375e-05
196,6.308017641454607e-05
197,5.819482455735689e-05
198,5.237982498721243e-05
199,4.563428516283327e-05
200,3.73051365106842e-05
201,2.6260760868120637e-05
202,1.657716918261338e-05
203,1.1271461427732821e-05
204,1.1273122330635388e-05
205,1.1265011846835468e-05
206,1.0686846889714636e-05
207,9.853415126680519e-06
208,9.811908076573366e-06
209,1.059773246388623e-05
210,1.2103177959264755e-05
211,1.525996452367817e-05
212,2.2053228142206333e-05
213,2.268427034921124e-05
214,1.3146341400504852e-05
215,2.361788404993854e-06
216,7.731145994939626e-06
217,2.3048287489100107e-06
218,1.253614585329572e-05
219,1.2813912460678832e-05
220,1.4253884232290728e-06
221,1.1491321509153057e-05
222,1.5123591977411761e-05
223,1.3825813673453782e-05
224,1.2946668274456476e-05
225,1.2932403136442835e-05
226,1.2582511432454308e-05
227,1.0648715974012234e-05
228,5.231153393749425e-06
229,3.637664522077791e-06
230,7.834121974898806e-06
231,1.600664903558147e-05
232,2.1638080028849645e-05
233,2.5190596112871045e-05
234,2.5565773899366883e-05
235,2.1166624202604508e-05
236,8.086610261003123e-06
237,1.3601552975464593e-07
238,1.8097399818316164e-06
239,1.6601655858583476e-06
240,5.789713487637148e-06
241,1.1189805542508934e-05
242,1.631781220927181e-05
243,2.0431014963794504e-05
244,2.3767574864339556e-05
245,2.5695037160312026e-05
246,2.64353807485172e-05
247,2.5744064840851834e-05
248,2.2050682459252868e-05
249,1.1407119940975701e-05
250,3.5974535971329223e-06
251,5.130078914776828e-06
252,2.5333006894923427e-05
253,3.337229694566041e-05
254,2.3288008554294505e-05
255,1.6345845766674024e-06
256,1.3235455826333259e-05
257,1.9879439975571784e-05
258,2.2069456871034692e-05
259,2.091307262819341e-05
260,1.4061483377362473e-05
261,8.826006979329263e-06
262,4.027285954843154e-06
263,1.2340663790646348e-06
264,5.185975282553887e-06
265,2.0470333347459955e-05
266,3.5647221681095694e-05
267,4.586083542323488e-05
268,4.932091527562274e-05
269,5.232386652960723e-05
270,5.56051199157425e-05
271,5.81105608993514e-05
272,5.6561008342312636e-05
273,4.5662590363233564e-05
274,3.892113294505418e-05
275,4.246068001622423e-05
