,ri
0,0.0
1,0.0
2,4.375230101319425e-06
3,5.896760414968236e-06
4,6.950781994823811e-06
5,3.4410010642441088e-06
6,5.8991990488748344e-05
7,0.00013035554055346667
8,0.00019561541608895382
9,0.0002406971392931097
10,0.00029177062878882803
11,0.000366074703787275
12,0.0004612295570769677
13,0.0005665563863334554
14,0.0006809183847732111
15,0.0008000623059410931
16,0.000917809513290666
17,0.0010245648380604862
18,0.001133368706989815
19,0.0012599706307254322
20,0.0014033033249416739
21,0.0015570051027524998
22,0.0017120004566694195
23,0.00183953214778108
24,0.0019285117260497725
25,0.00200415521613752
26,0.0020560296654664706
27,0.002056698914621289
28,0.0020042193907140095
29,0.0019133237429472755
30,0.0017915524840585945
31,0.0016410997733774615
32,0.001484794188523883
33,0.0013233515816189363
34,0.0011600641084365297
35,0.0010284418992601114
36,0.0009329490598675744
37,0.0008657983109951486
38,0.0008141944644637282
39,0.0007791429219716479
40,0.0007496403411933531
41,0.000713882419970057
42,0.0006701737271095534
43,0.0006448394378708572
44,0.0006388126811554469
45,0.0006412931813333738
46,0.000661997274878358
47,0.0007106581058912955
48,0.0007693477424468123
49,0.0008083102669860908
50,0.0008223622072881143
51,0.000831401043590039
52,0.0008447233800760218
53,0.0008551441089250187
54,0.0008500219081448879
55,0.0008276613465434231
56,0.0007976166433904033
57,0.0007735401758508999
58,0.0007587378513937823
59,0.0007448264839735928
60,0.0007292348122256554
61,0.0007143376010732999
62,0.0006933198160865709
63,0.0006672814400658193
64,0.000635637720381938
65,0.0005938585431212165
66,0.0005302289921421211
67,0.0004667555992991498
68,0.00041640988006014365
69,0.0003924851395550545
70,0.0003647557634438066
71,0.0003291992281533988
72,0.00028571422953094407
73,0.0002457647916832245
74,0.0002103084909694287
75,0.00017814663797870067
76,0.000147939878740384
77,0.00011446250805026706
78,8.82025463846942e-05
79,7.471991097443732e-05
80,7.845785086003022e-05
81,7.365688967421216e-05
82,4.863192189419506e-05
83,1.5404725094759385e-05
84,1.0455525221149093e-05
85,2.6837975964148664e-05
86,3.4647120422908437e-05
87,3.259234216168351e-05
88,1.6093532215745867e-05
89,9.987642135659668e-07
90,1.1118601392895526e-05
91,1.897824054758973e-05
92,1.9784150991008334e-05
93,4.959548788052268e-06
94,1.2229092016163473e-05
95,2.3656750529601526e-05
96,2.4643449922787484e-05
97,2.3790860114803356e-05
98,2.2807950077562488e-05
99,2.223748393155472e-05
100,2.436552816760507e-05
101,3.623337843677737e-05
102,4.8702620885960906e-05
103,5.3598972995832157e-05
104,4.252210494121415e-05
105,2.8071991951396002e-05
106,1.8053347383427516e-05
107,1.2037210032460096e-05
108,4.088409471530482e-06
109,1.3605184403893967e-05
110,3.458739222779007e-05
111,5.0119549695864164e-05
112,5.20134178463724e-05
113,4.975416716072332e-05
114,5.253763245832458e-05
115,6.118532471654615e-05
116,6.796180856162469e-05
117,6.466227271142098e-05
118,5.4912030669788966e-05
119,4.648051505637034e-05
120,4.4492126922489825e-05
121,4.383259563211138e-05
122,4.016506442472403e-05
123,3.129010248776349e-05
124,2.5358324145557523e-05
125,3.4081085378610656e-05
126,5.397323301405405e-05
127,7.321414621507941e-05
128,8.443662943968415e-05
129,9.067262583377211e-05
130,9.739333891594913e-05
131,0.00010623477727652449
132,0.00011456980183029294
133,0.00011508287756932589
134,0.0001094312976518016
135,0.00010972729524602854
136,0.00012774957907850295
137,0.00015885071799782722
138,0.0001897949347979738
139,0.00021863575345537416
140,0.0002452142654949117
141,0.00027166931787301235
142,0.0002977605615210623
143,0.0003196512735446581
144,0.00032790565204730485
145,0.00032645744577119355
146,0.00033425542079771193
147,0.00035969254215540184
148,0.00039741328863961015
149,0.0004351028646152379
150,0.00047338941694882795
151,0.0005088726098661049
152,0.0005386696297131978
153,0.0005627745174222894
154,0.0005826969035069881
155,0.0005983160786448496
156,0.0006103547708044334
157,0.0006245312403441685
158,0.0006426255677785829
159,0.0006575079576597015
160,0.0006592865102081227
161,0.0006479276101694948
162,0.0006301863957023829
163,0.0006090543188508585
164,0.0005844583428350122
165,0.0005514703185702881
166,0.0005064468108748048
167,0.00045981725800436826
168,0.00043044348476888435
169,0.00041960852430830936
170,0.00041593330743140434
171,0.0004167467965867131
172,0.00042252036931821155
173,0.0004202447693952187
174,0.00040689172079048724
175,0.00038769389623367624
176,0.0003757095996674978
177,0.0003720510376211579
178,0.00036841065837149
179,0.0003588816505424748
180,0.0003428176844708972
181,0.00033028393129268073
182,0.00032357799364275734
183,0.0003206427707514197
184,0.00031464030869710893
185,0.00030526730620760725
186,0.0002937082426089766
187,0.0002797936664599627
188,0.00026242252538393986
189,0.00024807889635211096
190,0.00023860275615039417
191,0.00023312835918262492
192,0.00022703819187377866
193,0.0002198802818494369
194,0.00021305501004656536
195,0.00020799820621580944
196,0.00020528056569809304
197,0.00020210545212797352
198,0.0001968584165169097
199,0.00018990479556105927
200,0.0001885021226749333
201,0.00019292405658827595
202,0.00020250929357002478
203,0.0002179157758258071
204,0.0002418985790429581
205,0.0002616956719068918
206,0.0002740054252538381
207,0.0002787875007785749
208,0.00028500861478278176
209,0.00029063351641207976
210,0.00029914932991561557
211,0.0003177526228602353
212,0.0003541652775603342
213,0.0003829645355396271
214,0.0003925584819281853
215,0.0003784801078125126
216,0.00038519353249635976
217,0.00041892567625513973
218,0.00046703903701197805
219,0.000511946724876559
220,0.0005516865257744132
221,0.0005896245490390215
222,0.0006258194685688883
223,0.0006582594113910705
224,0.0007032757376458515
225,0.000763150923103705
226,0.0008327606278319506
227,0.000903040345698068
228,0.0009757886456064783
229,0.0010467446412715056
230,0.0011150943851480088
231,0.0011810061063043569
232,0.001243266599651678
233,0.0013014879145954326
234,0.0013571662355474883
235,0.0014139518735372084
236,0.0014730742300941965
237,0.0015304612755435887
238,0.001584305273184322
239,0.001630902127580071
240,0.0016821669184323722
241,0.0017420509660936458
242,0.0018063890349565065
243,0.0018687422758465158
244,0.0019507909998543506
245,0.001999779121207384
246,0.0019889229220179236
247,0.0019019312276542962
248,0.0017892162238811581
249,0.0016435307674535255
250,0.0014735540114517603
251,0.0013077281281759754
252,0.0011433678699899206
253,0.0009872688661539935
254,0.0008403494242984356
255,0.0006990098090720224
256,0.0005758474898396277
257,0.0004744935252576674
258,0.00039241256116497714
259,0.0003207284896500163
260,0.0002584134479126792
261,0.0002077607602827986
262,0.0001711334263446815
263,0.0001540805606087241
264,0.00013978814900079817
265,0.00012784545895171037
266,0.00011793997555361823
267,0.00010793933042638891
268,9.834327544460329e-05
269,8.803668566379117e-05
270,7.469916119470575e-05
271,5.0424562290121755e-05
272,4.039551227296534e-05
273,5.410612022637036e-05
274,8.672555322712906e-05
275,0.00010278985545125009
276,9.34902870128456e-05
277,7.852737331789376e-05
278,7.244866575484915e-05
279,8.136032943769721e-05
280,8.560103129110153e-05
