,ri
0,0.0
1,0.0
2,1.5898091064559064e-05
3,1.7985726361202622e-05
4,3.1041532436498756e-06
5,2.894022303421041e-06
6,3.579014526738468e-06
7,2.9028939216283964e-05
8,7.620822767122328e-05
9,0.0001153469593812421
10,0.00014863815613498592
11,0.00017196999838531063
12,0.00017042618272672478
13,0.00013448731158575782
14,9.710946340085222e-05
15,7.971818111598863e-05
16,9.226069174105726e-05
17,9.27782360943117e-05
18,7.128968725453871e-05
19,3.306008953000186e-05
20,1.368732033244307e-05
21,2.0932867086280118e-05
22,3.785758329362886e-05
23,5.1152940181690924e-05
24,5.6734240985908586e-05
25,6.611549927426553e-05
26,8.521998263321468e-05
27,0.00011607863246729805
28,0.00013095992308558978
29,0.00011128427758434913
30,8.497657670427051e-05
31,8.343712694335505e-05
32,0.00013247951229239678
33,0.0001788543912353858
34,0.00020853935651338445
35,0.00021289104361489017
36,0.00022467491531535038
37,0.000251395379004594
38,0.0002847574859263831
39,0.00031052918012776446
40,0.00031102027227748654
41,0.00031729261193061875
42,0.0003427900250312954
43,0.00041262726659025865
44,0.0004636343629615353
45,0.00048134050351368736
46,0.0004729517022251754
47,0.0004606629843705674
48,0.0004365481055321821
49,0.0004176106676958635
50,0.00041331068651970926
51,0.00043476493595425466
52,0.0004615170452677889
53,0.00048820837443728436
54,0.0005163430180131099
55,0.0005484032599060338
56,0.0005947659542849361
57,0.0006431092823716949
58,0.0006838045850099641
59,0.0006981264414855886
60,0.0007176945089854085
61,0.0007566525838447655
62,0.0008159192166911757
63,0.0008812892603396806
64,0.0009436551098264926
65,0.0010095002658685403
66,0.0010875822055576138
67,0.0011840696854844687
68,0.0012934773689877996
69,0.0014096713125170983
70,0.0015300065810719145
71,0.001653398548701584
72,0.0017671878242786993
73,0.0018807602317362391
74,0.0020116352909024054
75,0.002205120746895484
76,0.002402864807910324
77,0.00255736993152651
78,0.002669274166580055
79,0.0027123125009681018
80,0.002644122030353965
81,0.0024822790597708393
82,0.0022822190755211686
83,0.0020632122367931446
84,0.0018319623366567393
85,0.0015957492954627418
86,0.0013457754013761261
87,0.0011048083827188114
88,0.000890458501505874
89,0.0007022646276304285
90,0.0005510567554901509
91,0.0004575135456393169
92,0.0004044076795055732
93,0.00035784438211606385
94,0.00030929331719897524
95,0.00026076844766790907
96,0.0002133069453047332
97,0.00016716248873879276
98,0.0001286795833435364
99,0.0001067154084752005
100,9.804910159946916e-05
101,9.317541864120195e-05
102,9.484202160485777e-05
103,9.660561598146566e-05
104,7.782794717166042e-05
105,3.5618419959015856e-05
106,4.181713859260808e-06
107,5.555704659052022e-06
108,2.5227700498122457e-05
109,5.044024305609777e-05
110,5.037093086367041e-05
111,3.116780104559347e-05
112,1.5591644997487878e-05
113,4.3334131089035965e-06
114,4.136605290389185e-06
115,1.182514227432095e-05
116,1.869562417593652e-05
117,2.4118440041191e-05
118,2.7704682554072677e-05
119,2.9536039657464127e-05
120,2.9874610741511322e-05
121,2.997163068974229e-05
122,2.9000118584603586e-05
123,2.7823637571187514e-05
124,2.6284190663799938e-05
125,2.4878325957486955e-05
126,2.3498759364200353e-05
127,2.2396989417977904e-05
128,2.170537700995766e-05
129,2.1401807298998732e-05
130,2.1613941415805745e-05
131,2.259762667091955e-05
132,2.420587213571444e-05
133,2.7070371839594373e-05
134,3.5951426663679215e-05
135,5.188652513143261e-05
136,5.169790693796006e-05
137,2.65243635456457e-05
138,1.5355304403597236e-05
139,4.145730872578674e-05
140,4.89345790653898e-05
141,5.03021323062631e-05
142,5.4427591716717276e-05
143,6.112148304491303e-05
144,7.242447822549436e-05
145,9.079300820655383e-05
146,0.00011464096804618844
147,0.00013136783489734323
148,0.00013845217444661084
149,0.00014374264368836675
150,0.00015214071894251836
151,0.0001613222017433562
152,0.00018438920807028927
153,0.0002273467876190735
154,0.0002891742334637613
155,0.0003530804173051343
156,0.00042395463089901336
157,0.0004891714400998711
158,0.0005325336499033363
159,0.0005478921930610878
160,0.0005612338627067906
161,0.0005787873395168733
162,0.0006003394649580164
163,0.0006255980377743716
164,0.0006528823300392316
165,0.000685873107376806
166,0.0007311956908401147
167,0.0007907319820720493
168,0.0008564878226911668
169,0.0009277267171492787
170,0.0010052662011866254
171,0.0010797595442023084
172,0.001152473141873531
173,0.0012213267723691057
174,0.0012800803409010475
175,0.0013198665095538345
176,0.0013697476038200542
177,0.0014446273145119278
178,0.0015575251479764732
179,0.001650377233372556
180,0.0017215193932352262
181,0.0017746629259371065
182,0.001815534005893347
183,0.0018440042243489361
184,0.001861841056478411
185,0.0018688473235046316
186,0.0018611413714399922
187,0.0018528695647949357
188,0.0018460393604394754
189,0.001838008391548262
190,0.0018232271170824852
191,0.001805241045444408
192,0.0017746888930408977
193,0.0017234027216420625
194,0.0016371225963274722
195,0.0015642343627494339
196,0.0015053937616168731
197,0.0014613683919319704
198,0.0014357414286651265
199,0.0014370714580142574
200,0.001445061050751078
201,0.0014494526301724738
202,0.0014481023407753298
203,0.0014472725348651661
204,0.0014447865413681421
205,0.0014428438595812114
206,0.0014512206760525887
207,0.0014713232093260457
208,0.0014998981522551665
209,0.0015372068879945969
210,0.0015927867628082303
211,0.0016364360375173436
212,0.0016614748886862344
213,0.0016712308151864363
214,0.0016892611165067954
215,0.001735422066463935
216,0.0017645688563820406
217,0.0017418761758436058
218,0.001629644355788387
219,0.0015418039214240118
220,0.0014982784898252871
221,0.001492483545388009
222,0.0014708817685615946
223,0.0014274573518501463
224,0.0013751798648626219
225,0.0013226098912664597
226,0.0012707989560888106
227,0.0012162449245513253
228,0.0011588553423503953
229,0.0010984327453560918
230,0.00103311977226537
231,0.0009534310110219184
232,0.0008798519383419178
233,0.0008296458272491244
234,0.0008182631044993204
235,0.0007982821315139411
236,0.0007625819294456223
237,0.0007118028299526884
238,0.0006554684823651647
239,0.0005860390099415605
240,0.0005195349743099088
241,0.00046943444374901384
242,0.00043779338510300543
243,0.00041934047630226394
244,0.00041987465672311213
245,0.0004380065436363247
246,0.0004364970273829664
247,0.00040460371687155747
248,0.00036571583879827353
249,0.0003427614897524039
250,0.00034810557678319686
251,0.0003399775879437529
252,0.0003014053100550085
253,0.00023423956984114274
254,0.00020832791009679874
255,0.00024858887725506096
256,0.00029923548744810176
257,0.00030272192782306056
258,0.0002303025574124878
259,0.00018111906510932777
260,0.00017907297147169438
261,0.0002224785263637957
262,0.00026019040852340476
263,0.0002946735524117238
264,0.0003195936968204262
265,0.0003249112460418501
266,0.0003004796256077695
267,0.0002848180948587485
268,0.00028786960051284367
269,0.0003088878308859276
270,0.0003237147617979311
271,0.0003296760669111463
272,0.0003337928515968175
273,0.0003425811467898099
274,0.00035649494877728656
275,0.00037339439699517695
276,0.00039222882247469734
277,0.0004131095128035244
278,0.0004430333183658446
279,0.000486060523995124
280,0.0005304174736207455
