,ri
0,0.0
1,0.0
2,1.784469004955068e-07
3,7.980007017825972e-05
4,0.00020962289196171878
5,0.0002469034613223234
6,0.0001781685476336921
7,8.735832113700997e-05
8,8.832963566771111e-05
9,0.00014101688026286848
10,0.00017842215361490958
11,0.00015541780459451203
12,9.160411699582146e-05
13,4.130380737824018e-05
14,5.723842885131597e-06
15,1.3201464573137146e-05
16,4.328779844363735e-06
17,2.965868782796018e-05
18,6.019816685175788e-05
19,6.953023193340062e-05
20,6.074286246438709e-05
21,4.688068835685414e-05
22,2.5442810698468007e-05
23,4.8066335209132086e-06
24,5.951195394467734e-06
25,2.937982992776591e-05
26,5.232071885135932e-05
27,5.508197889960731e-05
28,3.9887164068824396e-05
29,3.182632533870919e-05
30,3.562964791006586e-05
31,4.8325694792141744e-05
32,6.478551356066213e-05
33,8.664973311184874e-05
34,0.00010389747568135364
35,0.00010766386865305903
36,9.801652750284114e-05
37,8.289167220792386e-05
38,6.007668061539784e-05
39,3.315218959762616e-05
40,1.678289842589663e-05
41,1.0188669840316843e-05
42,1.6500920794952816e-05
43,4.51622792882567e-05
44,0.00010003823662443148
45,0.00014664108994363217
46,0.0001680821001185496
47,0.00016810134272009903
48,0.00020193352281101565
49,0.0002821766629465456
50,0.00036868952426464933
51,0.00040539473344603617
52,0.0003824772851223368
53,0.0003624622092582477
54,0.0003671857032332639
55,0.00039787157945821817
56,0.00041895682525565256
57,0.0004222446890353388
58,0.0004276266507710155
59,0.0004777032305174261
60,0.0005941216091803744
61,0.0006809494269225092
62,0.0006802391767457191
63,0.0005663918056984241
64,0.0005405436430988789
65,0.0006389206444088182
66,0.0007947234928210446
67,0.0008719826445900605
68,0.0008435287396677463
69,0.000812981162982167
70,0.0008304026430161595
71,0.0009183287594115123
72,0.0009785061067486371
73,0.0009953820600941859
74,0.0009875128376133867
75,0.000992179434859569
76,0.0010098681377323539
77,0.0010389327768300896
78,0.0010867264552431811
79,0.0011674243430166561
80,0.0012135000385538755
81,0.0012109543894053805
82,0.0011728727908174867
83,0.0011547461749194083
84,0.0011648842343735903
85,0.001175699514068348
86,0.001182004822343488
87,0.00115395793147388
88,0.0011704707686174334
89,0.0012606216110390956
90,0.0013775137029162666
91,0.00144365348648099
92,0.0014368957746278947
93,0.0013921353098410947
94,0.0013433428487761533
95,0.0013096124648176858
96,0.001275116425628133
97,0.0012370518747492531
98,0.0011928437557345024
99,0.001127030009604669
100,0.0010208125538228915
101,0.0009200403493965042
102,0.0008662262725451668
103,0.0008912457033902755
104,0.0008945167325573106
105,0.0008547525250897487
106,0.0007725823545465642
107,0.0007011844182328771
108,0.0006436509574674399
109,0.0005934463068070628
110,0.0005464698529448232
111,0.0005045842711868487
112,0.00046184651707454363
113,0.0004131797828635796
114,0.0003579339115514402
115,0.00032300613913111134
116,0.00031884117072266186
117,0.0003252728451408672
118,0.0003228083857065506
119,0.0003137100234058516
120,0.0002910875004480921
121,0.00024876975926661614
122,0.00017756348182151752
123,0.00014051951335238903
124,0.00015830182945729613
125,0.00019243081016214413
126,0.0001953574969167354
127,0.00014621734782645633
128,0.00010295088032872258
129,7.911513584935522e-05
130,7.622461154750961e-05
131,8.242083579459721e-05
132,0.00010535341396004637
133,0.00013158154868387427
134,0.0001418526655069094
135,0.00012445456214390223
136,0.00011118858903985662
137,0.0001137472157568386
138,0.00013877666213099295
139,0.00014081919076721648
140,0.00010206618946944814
141,5.362084106966534e-05
142,4.204126996054365e-05
143,8.35136365616584e-05
144,0.00013318573810207883
145,0.00018535792878865483
146,0.0002494968440560574
147,0.0002676673578048465
148,0.00021314899747487375
149,0.00013117990465950764
150,9.532056018011624e-05
151,0.00013543064435393316
152,0.00016724111532325945
153,0.00015565555620634665
154,8.06038483486271e-05
155,5.3350038211980125e-05
156,9.490721716543885e-05
157,0.0001701753456890894
158,0.00022080682836390122
159,0.000247512277630481
160,0.00024907896208885505
161,0.00022008549717625212
162,0.00015066786536088806
163,9.040129457671207e-05
164,3.77416246508846e-05
165,4.266608980553801e-06
166,2.6150610267087355e-05
167,1.5932803761102193e-05
168,1.0592127314729817e-05
169,2.7376596260819344e-05
170,7.512452288484498e-05
171,0.00010573528264195691
172,0.0001111836452042426
173,0.00010550976276133976
174,0.00011967108154279349
175,0.0001700653027274049
176,0.00020198268414188438
177,0.00018270905576208075
178,9.250493924975029e-05
179,5.2326451143515225e-05
180,8.253893379879076e-05
181,0.00014514406668621603
182,0.00016903233941898234
183,0.00014470054922658407
184,0.0001075249511342323
185,6.688734691461764e-05
186,1.8693795307933224e-05
187,8.151351410160687e-06
188,8.194013301967881e-06
189,7.308278270516337e-06
190,1.863370639558661e-05
191,2.5687573180634554e-05
192,2.907938536603283e-05
193,2.919462787896655e-05
194,2.6243221946305165e-05
195,2.0202274625806695e-05
196,1.4214921040520556e-05
197,8.524365938202153e-07
198,4.0877465485439726e-05
199,0.00011940549954599375
200,0.00018645906162349657
201,0.0002106792532507628
202,0.00018717856018242665
203,0.0001933053576345553
204,0.00023803822644238908
205,0.000298620456868593
206,0.0003377085095773926
207,0.00035433897591314174
208,0.0003588186876492597
209,0.000355600932572893
210,0.0003446940214421858
211,0.0003202452626563162
212,0.0002778158589807994
213,0.0002306589124993756
214,0.00019547220668876243
215,0.00017176576908226523
216,0.00016672578438940664
217,0.00019436510715576587
218,0.0002511575040103704
219,0.0002885527192140933
220,0.00030578134703986644
221,0.0003058022304834084
222,0.0002808160426708767
223,0.00023154198382629375
224,0.00020089847115823892
225,0.00022902595507221017
226,0.00030099903846875236
227,0.00031366761722967964
228,0.00025403579658099854
229,0.0001837331755714523
230,0.00019967508494013155
231,0.00029184910684828646
232,0.00036428183909911494
233,0.0003606189257211237
234,0.00030224011168496163
235,0.00025633638491241945
236,0.00022306799386822754
237,0.00020583672364755728
238,0.00021263385832774733
239,0.00024075499197011088
240,0.00027784185673704554
241,0.0003286736499927703
242,0.0003832222700062426
243,0.0004133939447080662
244,0.00041672250989302305
245,0.0004164853336413677
246,0.00044356775037351654
247,0.00048811405331582983
248,0.0005204780633968363
249,0.0005087223894536014
250,0.00048396485403821816
251,0.0005015546801987224
252,0.0005624718981070488
253,0.0006349657890139645
254,0.0006893469152863756
255,0.0007335243484249015
256,0.000783179636662307
257,0.0008599015725010235
258,0.0009378820554576886
259,0.0009763372119693483
260,0.0009754954813367888
261,0.0009851862515257196
262,0.0010532944061924562
263,0.001158764959223064
264,0.001263350309963127
265,0.0013534163400324454
266,0.001437833398623657
267,0.001515732265673418
268,0.0015901186653772355
269,0.0016838098907683517
270,0.0018161943013082337
271,0.0019761201381454634
272,0.00214937302150428
273,0.002361316532855511
274,0.0025572074952065625
275,0.002679388425708922
276,0.0027416338732457915
277,0.002821063411468635
278,0.0029701754602856453
279,0.0031515673461204063
280,0.0033318298212329984
