,ri
0,0.0
1,0.0
2,3.4435374707436927e-06
3,1.5535977417419793e-06
4,1.4255486255676395e-05
5,5.329856232179758e-05
6,7.524487363526213e-05
7,7.383397127323931e-05
8,5.808992914058518e-05
9,5.051165202203171e-05
10,5.292027992074006e-05
11,5.8596985388167485e-05
12,6.32499152890913e-05
13,6.592853208519816e-05
14,7.096318014587782e-05
15,7.999855447582759e-05
16,9.223876694095555e-05
17,0.0001014763007758769
18,0.00010863697216139602
19,0.0001116273572175102
20,0.00010759272967295908
21,8.729586437426683e-05
22,7.506793206229887e-05
23,7.725194723610483e-05
24,9.545195289609606e-05
25,0.0001095870265461424
26,0.00012189898731596255
27,0.00012884029356115365
28,0.00012559728629418635
29,9.38760804328244e-05
30,7.100954946737268e-05
31,6.965548475412863e-05
32,0.00010657534247028515
33,0.0001237391313594238
34,0.00010342244334355416
35,6.577714396755362e-05
36,4.571866127042186e-05
37,6.089534690615176e-05
38,8.13650603934206e-05
39,9.782241166301531e-05
40,0.00011205446497069459
41,0.00011756275115724247
42,0.00010734370427199325
43,8.658729282646886e-05
44,7.114126249809638e-05
45,5.9845360258641075e-05
46,5.7299610693445643e-05
47,6.608236281254228e-05
48,0.00010704569246771162
49,0.00013868091041508877
50,0.00014375294919347745
51,0.00012597131425966823
52,0.00011402205418837148
53,0.00012126251301709954
54,0.00013669434399897663
55,0.00015094616634010364
56,0.00016273202655924418
57,0.00017112883292487414
58,0.00017544017325396387
59,0.00017564766086910433
60,0.00017251212842891872
61,0.00016106823356771993
62,0.00014776245275254714
63,0.00014098877395322306
64,0.00015699940948737462
65,0.00017224666238574416
66,0.00016709718482731922
67,0.00013644511728402457
68,0.00010860339298849296
69,0.0001062376852316487
70,0.00011943909145542776
71,0.0001289672690027348
72,0.00011841204118141482
73,0.00010313672511336491
74,9.914795689487684e-05
75,0.00011230528877660405
76,0.0001269365879817736
77,0.00012888027451881884
78,0.00012120861455251971
79,0.00011375272291666131
80,0.00011368702745248845
81,0.00011711302913293832
82,0.00011848789629142607
83,0.000115957379484522
84,0.00011219945130357703
85,0.0001091812178127011
86,0.00010708141898980112
87,0.0001071852835857631
88,0.00011005132370304957
89,0.00011583663135558158
90,0.00012557123626436825
91,0.00014509141878325492
92,0.00016423879464150948
93,0.00016267740336431392
94,0.0001409581742273162
95,0.0001195311590517967
96,0.00011954229842570139
97,0.00013559396175024651
98,0.0001504067790663329
99,0.00015632245765634712
100,0.00015737318245514064
101,0.00016511679204011815
102,0.00018050697786871058
103,0.0001919416122865428
104,0.00018095751856989206
105,0.00015155332932257164
106,0.00012733011656205486
107,0.0001217146910720357
108,0.00012957359988739303
109,0.00013262672780254872
110,0.00013028724454764397
111,0.00012465936443234338
112,0.00011571851372939456
113,0.00010395882432846387
114,9.735779240373015e-05
115,0.00010564594290052591
116,0.00012510104731813077
117,0.00013133607699496692
118,0.00012044336640713194
119,0.00010161179850954172
120,8.946906227654606e-05
121,8.280446881589352e-05
122,7.986241253740681e-05
123,8.081197034765384e-05
124,8.555385418862624e-05
125,8.686252930844176e-05
126,8.328841421785669e-05
127,7.711859685162645e-05
128,7.42250304019562e-05
129,7.535546211836416e-05
130,7.569490434101184e-05
131,6.98579797824106e-05
132,5.741085680223603e-05
133,5.084882610710119e-05
134,5.332592760299238e-05
135,6.178347710873398e-05
136,6.571866896502018e-05
137,6.36124683573581e-05
138,6.177888714984794e-05
139,6.739463474224509e-05
140,8.23470565973154e-05
141,8.922823706528599e-05
142,8.107671166047796e-05
143,6.213898418748275e-05
144,5.893905811356855e-05
145,7.609105000311413e-05
146,9.750228216211324e-05
147,0.00010850017259728692
148,0.00010736811694805669
149,0.000103917528119422
150,0.00010060718803452715
151,9.721001451690535e-05
152,8.828850337756697e-05
153,7.112307713467367e-05
154,5.371223572163426e-05
155,4.652928558830574e-05
156,5.38967064376825e-05
157,5.6850881818140216e-05
158,4.9759677178802666e-05
159,3.099658287839528e-05
160,2.2860800227310405e-05
161,2.809123285006441e-05
162,4.290995537641353e-05
163,6.376450067975858e-05
164,9.51418219898434e-05
165,0.00011939485606218695
166,0.00012793726612359045
167,0.00011730995447426794
168,0.00011770380515692724
169,0.00013069287880896387
170,0.0001530405028435106
171,0.00018057542462402855
172,0.00021601742294634238
173,0.00025105370648174176
174,0.00028308048013233516
175,0.00031232375239999613
176,0.00033827594362077827
177,0.0003585534961977249
178,0.00037669309424091487
179,0.0003990931672793406
180,0.00042643469342375413
181,0.0004584641512608306
182,0.000493898768070316
183,0.0005274678752740752
184,0.0005787799919681524
185,0.0006487323074845101
186,0.0007362518182765454
187,0.0008401339956599855
188,0.0009756985655682426
189,0.001105020791391497
190,0.0012243540856366952
191,0.0013702476735504123
192,0.0014038416094791398
193,0.0012951992957866425
194,0.0010849985049490895
195,0.0008678235265819278
196,0.0006168494062294087
197,0.00040245497664004814
198,0.0002642029992249522
199,0.00023352422402615113
200,0.00020883480833632423
201,0.00018998215615390957
202,0.00017553666975802986
203,0.00016016191800171498
204,0.00014000501960718186
205,0.00012421898337700027
206,0.00011858259439054839
207,0.00012958867159449538
208,0.00013669555188289403
209,0.00013776707912693123
210,0.00013419654742530105
211,0.00013005296875140255
212,0.00011963011158649467
213,0.00011634925729011623
214,0.00013060834035567994
215,0.00017866186808025567
216,0.00020998914273336384
217,0.00021500226361844936
218,0.00019974387134617512
219,0.0001927292868099965
220,0.00019542072059655998
221,0.00020439919017306888
222,0.00021887943678390424
223,0.0002453989308178809
224,0.00026453261732507186
225,0.00027617138412494075
226,0.0002793093323329611
227,0.000267741428056245
228,0.00023424049918915549
229,0.0001947621554429414
230,0.0001572540045752928
231,0.00011543279549920532
232,8.992286426430446e-05
233,9.078395128806987e-05
234,0.00011245077168398586
235,0.00011462413063745408
236,8.608007552769758e-05
237,5.2845901113294476e-05
238,3.3450761421721145e-05
239,3.4182094870895454e-05
240,3.552516784049138e-05
241,3.5279095044656924e-05
242,3.3936022075061e-05
243,3.5991759976841564e-05
244,4.636873097382155e-05
245,5.360541852054092e-05
246,4.7235723207849676e-05
247,1.7293542463729716e-05
248,2.793624792253257e-06
249,6.125594051828593e-06
250,5.218305468223543e-06
251,1.3414706444748588e-05
252,1.7501271655653668e-05
253,1.9571759162158633e-05
254,2.109898074542483e-05
255,2.206852232403823e-05
256,2.1952203102794863e-05
257,2.0173016934363896e-05
258,1.693213017471821e-05
259,1.432854981174527e-05
260,1.200773641592344e-05
261,1.0712170862891186e-05
262,1.1506090146197749e-05
263,1.5704061174988958e-05
264,1.788398296440825e-05
265,1.619850174610088e-05
266,1.1423193072948189e-05
267,1.0088963155720705e-05
268,1.3657503190980467e-05
269,1.8090074802577535e-05
270,1.8960019641737026e-05
271,1.325972420140323e-05
272,1.6244052390718394e-05
273,3.82103340516169e-05
274,7.233345734547955e-05
