,ri
0,0.0
1,0.0
2,1.683120670940933e-05
3,6.805797927057127e-05
4,0.00011851900202523186
5,0.00018081676576134516
6,0.0002680190671391148
7,0.0004098750481514434
8,0.0005410979389894872
9,0.000547764390356352
10,0.0004717458728355236
11,0.0003640771806509151
12,0.00019326333725360733
13,2.766377550158676e-05
14,4.4808551636374494e-05
15,2.4283312473714873e-05
16,0.000140318135008012
17,0.0002338362496325476
18,0.0003037154989740724
19,0.00034360458768892846
20,0.00032389803300577567
21,0.000275576898013265
22,0.0002511340603397026
23,0.000277454275952881
24,0.00031753202557316255
25,0.00031555728822134306
26,0.00027630485794421475
27,0.000245197732446281
28,0.00027678675097558055
29,0.000343361982457334
30,0.0003840709095410267
31,0.00035545806006566355
32,0.0002966865821214781
33,0.00026970172625432373
34,0.0002743944499225326
35,0.0002750921202585747
36,0.00021691662615324088
37,0.00012171296769017169
38,7.166532578791887e-05
39,0.00010632888243652201
40,0.00019675385247631074
41,0.00029769623528507004
42,0.0004132572420133101
43,0.0004876091106333807
44,0.0004189019243786199
45,0.00023361571253438588
46,0.000108418720248991
47,0.000133054113204467
48,0.0002621548573288068
49,0.0003270970469365335
50,0.000320537330332677
51,0.000293630073522953
52,0.000326351490193304
53,0.0004131923357385077
54,0.00044488592548832216
55,0.00034876795396753744
56,0.000151444080162296
57,2.356804532539313e-05
58,3.0129348527078165e-05
59,3.146035986902474e-05
60,3.6474443157949975e-06
61,7.618857196081056e-05
62,0.00014965742677123698
63,0.00021517353208438256
64,0.0002718755095155371
65,0.00030018589575032137
66,0.00028946496575080394
67,0.0002738095722684805
68,0.0003215602532235618
69,0.0004440138736273112
70,0.0005296271251617534
71,0.000505213423193769
72,0.0003643919039656233
73,0.00031673367839309385
74,0.00039121608074360034
75,0.0005123298913992633
76,0.0005361378014690927
77,0.0004393055724531498
78,0.00036440776994390835
79,0.00038417331721904814
80,0.0005115018315689518
81,0.0006123291139170615
82,0.0006818596002086485
83,0.0007307552278512429
84,0.0007704572422585021
85,0.000790785454818095
86,0.0008357976679211827
87,0.0009351582126949259
88,0.0011043747847874312
89,0.001246619049559244
90,0.001358909645454444
91,0.0014483114041310152
92,0.0015358382368827967
93,0.001634273650886357
94,0.0016945528294761178
95,0.0016773584361001479
96,0.0015415975870002572
97,0.0014799611460862968
98,0.0015135696151789464
99,0.0016092674267475105
100,0.0017087889390827635
101,0.0018125380134501419
102,0.0019354488625008322
103,0.002072966508105373
104,0.002235409605595673
105,0.002343951647766788
106,0.0023706973600703374
107,0.002356053062113268
108,0.00240240479649211
109,0.0025364506775755564
110,0.0026874241151274526
111,0.002818454017975084
112,0.0029380935907757366
113,0.0030192249919169943
114,0.0030424989396994496
115,0.0030262983335087863
116,0.003039833455347567
117,0.003103140151066441
118,0.0031679079591491986
119,0.003229848738373899
120,0.003304244310552337
121,0.003345728074321003
122,0.003348705108791937
123,0.0033220949784846417
124,0.0032878172535806965
125,0.0032450613268259045
126,0.0031959993948836502
127,0.003140736750155279
128,0.0030711961673320558
129,0.003014781075635528
130,0.0029866680044761426
131,0.0029673591089032785
132,0.0029032836344184123
133,0.00277811981645125
134,0.002627805538179013
135,0.0024718184514890525
136,0.0023026799111624764
137,0.0021335630062608336
138,0.0019580997100451854
139,0.0017849297688725529
140,0.0016336736284348512
141,0.0015077655518499552
142,0.0014007723176317896
143,0.0013100872897842928
144,0.0012356131088952613
145,0.001181604309159905
146,0.001169357072049369
147,0.0011717900477012932
148,0.0011142901557985687
149,0.0009529516188692382
150,0.0007959361283140761
151,0.0006941728974833165
152,0.0006877732830239725
153,0.0006403726632443251
154,0.0005200098903062082
155,0.0003683969095932599
156,0.0002926010927130866
157,0.00033037957360753696
158,0.00038554168572804763
159,0.0004197206088581267
160,0.00042912322029832554
161,0.0004268910213897901
162,0.0004157347866405983
163,0.0003920204858426506
164,0.00034217131290512667
165,0.00023701925334885417
166,0.00015172519645027322
167,0.0001201244947915092
168,0.00016789608999069345
169,0.00019818438677295423
170,0.0002112944446298625
171,0.00020728165024924962
172,0.00017946541711996052
173,9.740715437452535e-05
174,4.306055353786446e-05
175,5.7581962281308e-05
176,0.00017357654292522766
177,0.0002487515673459582
178,0.0002753237635415359
179,0.0002647244246301482
180,0.0002304898263399054
181,0.000149703726580596
182,8.709383578076662e-05
183,7.46661592262802e-05
184,0.00013499033949990378
185,0.00015104396903718113
186,0.00010190357262049875
187,2.4720780765882618e-05
188,1.644926934123914e-05
189,7.787743611589066e-06
190,7.389363176232784e-06
191,1.631498547048142e-05
192,1.8815752120532313e-05
193,1.4182886028599294e-05
194,8.948700513553517e-06
195,2.7929025811278977e-05
196,1.8491076510354404e-07
197,0.00010663048026010352
198,0.00018453243363952953
199,0.00019670711995845304
200,0.0001369881546383197
201,6.478093357388443e-05
202,4.4200596195725943e-05
203,0.00013772044165425627
204,0.00013692598885067567
205,2.725774925129493e-06
206,0.00011163908113235046
207,0.0001600114199638719
208,0.00014107465369987476
209,0.00011396157188094428
210,7.154041726796593e-05
211,3.225264913011192e-05
212,2.200380410265683e-05
213,5.1291246127465584e-05
214,7.067211554727691e-05
215,6.637488744686357e-05
216,3.960465499505564e-05
217,9.257365332335518e-06
218,3.205071849739354e-05
219,6.167105759385517e-05
220,4.364932556840477e-05
221,3.669786353707458e-05
222,8.366764988820062e-05
223,6.570303538457628e-05
224,5.5621789897554126e-06
225,4.553103059300761e-05
226,4.9052989299948586e-05
227,3.61360636696188e-05
228,1.7812733820586878e-05
229,8.822781763492321e-06
230,1.2083384681465395e-05
231,2.769348815182961e-05
232,9.181482973755607e-05
233,9.896807816543843e-05
234,4.133621017061573e-05
235,4.0710513681521224e-05
236,0.00013194536979467688
237,0.00023343137871394725
238,0.00028477267479109375
239,0.00026570220160100383
240,0.0001990460536299968
241,0.00014078517171425635
242,8.906640959009272e-05
243,5.956044977344943e-05
244,7.891045265368808e-05
245,0.00014285683576978068
246,0.0001775854429293524
247,0.00017011343257410745
248,0.0001345458036355909
249,9.040405579568574e-05
250,3.6812242816892914e-05
251,8.599360518950722e-07
252,4.395164313045577e-06
253,4.529606987822315e-05
254,5.958309485154713e-05
255,2.9432255135701078e-05
256,3.1693014247511217e-06
257,9.106970570282526e-05
258,0.0002832915136001044
259,0.00043460837746378783
260,0.0004257855954118232
261,0.0003050482411500137
262,0.0002566510936979012
263,0.0003019928864408184
264,0.0003683083485871963
265,0.00033978391588173056
266,0.00023684761231104355
267,0.00016780248071881183
268,0.00021999505864903255
269,0.00034021965333990356
270,0.00039512199612503864
271,0.00037631446546598134
272,0.00034332188480312275
273,0.00037314256793447427
274,0.00044280329948416454
275,0.0004823936750987637
276,0.0004269477062031174
277,0.00033738065288004937
278,0.00032189199640588487
279,0.0003802068226477943
280,0.0004490516102051361
281,0.00046688857570164916
282,0.0004553791065813665
