,ri
0,0.0
1,0.0
2,8.45492054883206e-06
3,1.4736380862497843e-06
4,3.752280405810879e-06
5,2.2725764312512694e-05
6,5.092191858816427e-05
7,5.55101629608585e-05
8,4.580787767411387e-05
9,3.238306961650744e-05
10,7.822167788952295e-06
11,5.948059067481509e-06
12,1.1987794893697522e-06
13,2.6286679613545387e-05
14,5.5348154905941284e-05
15,9.452629214550411e-05
16,0.0001318170441292476
17,0.00014607976173828385
18,0.00012111306721648004
19,9.203648414361854e-05
20,7.00963244153176e-05
21,5.314299122237369e-05
22,4.588873863546958e-05
23,5.121051153092213e-05
24,6.635360071072715e-05
25,8.364233807529586e-05
26,0.00011090953553163586
27,0.00013401390997884734
28,0.000146635316029042
29,0.00012521231164948243
30,0.00012438647687713686
31,0.000171941191667587
32,0.0002486463116399919
33,0.0002846562786441868
34,0.00023187072377328356
35,0.0001633315880483059
36,0.00011836333671885656
37,0.00011936617287370263
38,0.0001315395531160743
39,0.00015484032870933872
40,0.00017801085692252844
41,0.00018705801391090065
42,0.00015940202001333583
43,0.00012886066895260399
44,0.00011597150038423282
45,0.000150386967058453
46,0.00018531867345835607
47,0.00019745800396823895
48,0.00018535798802343136
49,0.00018177738682664043
50,0.0001996062845692959
51,0.00023128089084427202
52,0.0002693509525036999
53,0.0003257875543204591
54,0.0003762645373286229
55,0.0004120259698988702
56,0.00043282972695866316
57,0.00043404035232135255
58,0.0004055898837411966
59,0.0003579232912582833
60,0.00030466052509456673
61,0.00024265590500605378
62,0.00018265071954514682
63,0.0001298292836956378
64,8.360794498416012e-05
65,5.132736792376598e-05
66,4.7740586271330054e-05
67,6.104836625676916e-05
68,7.02872318230194e-05
69,6.342303465904562e-05
70,4.888305494260071e-05
71,3.437083005011725e-05
72,2.021592705622195e-05
73,7.512973327377693e-06
74,4.639004283227471e-06
75,1.4897644973680009e-05
76,1.9675308866605944e-05
77,1.3471619286473362e-05
78,1.7304704113916089e-06
79,8.839711139175875e-06
80,1.8344450751044413e-05
81,2.389661729859753e-05
82,1.8657250478411945e-05
83,5.502207807196078e-06
84,4.394933340010913e-06
85,1.5158712570505467e-06
86,8.682166746668955e-06
87,1.5331764756301688e-05
88,1.692483442524742e-05
89,1.518475002896777e-05
90,6.9593647356189095e-06
91,5.665989824562735e-06
92,8.665571078733248e-06
93,1.526824340661673e-05
94,5.644884827516688e-05
95,8.766758871988145e-05
96,0.00010447116031631588
97,0.00011036353805655103
98,0.00010811797250552615
99,9.811542008202752e-05
100,8.734700619651649e-05
101,7.667644952538498e-05
102,6.79798617155443e-05
103,7.20821963763692e-05
104,9.529083739936988e-05
105,0.00012645544163074934
106,0.00014113579780735387
107,0.000138975556880095
108,0.00013308895901041677
109,0.0001325650509416188
110,0.000137018584271828
111,0.00014176305682888252
112,0.00014454597866237742
113,0.0001483770599921152
114,0.00016349771640698644
115,0.00019089704971595936
116,0.0002199178370086922
117,0.0002418480965626729
118,0.00025675833135340755
119,0.0002695852947802404
120,0.0002808996489143951
121,0.00029191785621555906
122,0.00029913645672962204
123,0.0003007571095432057
124,0.00030742719461877285
125,0.00033105232968051864
126,0.0003723850996561069
127,0.0004118930901025022
128,0.00044361485096499226
129,0.0004703337618886011
130,0.0005063880793846931
131,0.0005520958680132223
132,0.0006040994807921479
133,0.0006608532315458026
134,0.0007236163308854185
135,0.0007842448839698555
136,0.000849202617327866
137,0.0009119107792839706
138,0.000929183436018574
139,0.0008967314657669128
140,0.0008330750616808265
141,0.0007448885435925277
142,0.0006225927775166432
143,0.0005193756202054142
144,0.00044899041671513296
145,0.0004080145680530448
146,0.00036375478006512674
147,0.00031300848942487523
148,0.00026669541672822187
149,0.00023676398507734787
150,0.00022783259717943754
151,0.00022217238711097882
152,0.00021640178723752708
153,0.00021042477159081982
154,0.00020285342729346137
155,0.00018981255142958136
156,0.00017572454614539935
157,0.00016835526841176842
158,0.0001704599996911044
159,0.00017642608508755054
160,0.00018409837682711104
161,0.00019223294375834277
162,0.00020305537940430658
163,0.0002171224970374661
164,0.00023415033905679723
165,0.0002546597805297166
166,0.0002824123726599555
167,0.000304241284186646
168,0.0003133100727697758
169,0.0003094129521269422
170,0.0003219989350100602
171,0.00035974045967080223
172,0.0004038925474964616
173,0.00043245592384502163
174,0.0004358610687732233
175,0.0004462929339582864
176,0.00046894338827423567
177,0.0005034777142667402
178,0.000555836874924578
179,0.000637477947126151
180,0.0007242572670263838
181,0.0007873082153650226
182,0.0008153497437966663
183,0.0008460093819112709
184,0.0008880954235318169
185,0.0009425051792556557
186,0.000991036634943784
187,0.001031471121472521
188,0.0010691020846489466
189,0.0011102307279089254
190,0.0011597390389476144
191,0.0012026119441340777
192,0.0012328624131944053
193,0.0012500080272296388
194,0.001276035757196946
195,0.00131073615432169
196,0.0013539901876062628
197,0.0014072216509066662
198,0.0014764009788288742
199,0.0015425524557494325
200,0.0016025709749711294
201,0.001656007308930877
202,0.0017053902940634307
203,0.0017389564631244306
204,0.0017800925458217602
205,0.001853315494076165
206,0.001977476842133788
207,0.0020979041649058765
208,0.0022005254805117723
209,0.0022856406555031416
210,0.0023958421855047756
211,0.002537828425454173
212,0.002697218942952836
213,0.002861705475036585
214,0.003035232640294414
215,0.0032063391270912758
216,0.0033801261003919606
217,0.0035557426030164547
218,0.0037070075381351476
219,0.003858448158428195
220,0.003958322032594113
221,0.0039640635614354575
222,0.0038646183133138087
223,0.0036901709468821656
224,0.0034302650468122065
225,0.003088583134592425
226,0.002745821359428
227,0.0023889956140846786
228,0.00204379656479135
229,0.0017269583674713249
230,0.0014305717556922085
231,0.001179262411612947
232,0.000984722841690864
233,0.0008413351261975169
234,0.0007150821517155832
235,0.0006041773087521222
236,0.0005112901535606957
237,0.0004382216022445338
238,0.0003849837295827208
239,0.00035274017802975564
240,0.0003498302134968909
241,0.0003696382304805413
242,0.00037225130423668043
243,0.00034982929787383233
244,0.00032241176655657124
245,0.00030485681178773734
246,0.00030615310513283964
247,0.00029332848799009433
248,0.0002584690585853733
249,0.00020767836022678347
250,0.00016378596599109734
251,0.00012938909791025338
252,9.80874935787426e-05
253,6.436269282285368e-05
254,2.3492713076907073e-05
255,3.2806201350162443e-06
256,9.166073533097763e-06
257,1.4392449378876158e-06
258,4.036638649149517e-06
259,2.1355133820346617e-05
260,3.9611226946243676e-05
261,5.272420812598225e-05
262,6.14051731173869e-05
263,6.121306395442078e-05
264,4.895304288013648e-05
265,2.9391671857875348e-05
266,1.45102791934841e-05
267,1.766694691417939e-06
268,5.985370707116276e-06
269,4.0951243009183654e-06
270,1.0928590694311196e-05
271,2.3388389274676736e-05
272,3.545979199890553e-05
273,4.172225313410699e-05
274,2.5344389033444073e-05
275,2.215344267449537e-05
276,6.148443173839019e-05
277,6.637328660648538e-05
278,3.0158162810740467e-05
279,2.4218573256550283e-05
