,ri
0,0.0
1,0.0
2,7.873071002426607e-06
3,8.371697629164767e-06
4,1.7375767194237025e-05
5,4.60036128060032e-05
6,4.225161534491696e-05
7,2.0250274168731986e-05
8,3.320529443383564e-06
9,2.3770029625246245e-06
10,1.197623657465286e-05
11,2.2753195082021796e-05
12,1.4480830808576692e-05
13,1.906638835906102e-06
14,5.693335351002854e-06
15,7.4718178832682595e-06
16,3.670126237681625e-05
17,8.441931251392769e-05
18,0.00016895105842114138
19,0.00024652196240732607
20,0.0003055807253806188
21,0.00034445586048303457
22,0.00035350273725747724
23,0.0002991282978659269
24,0.00022264923559344176
25,0.00016642463079127363
26,0.00016168517931741032
27,0.0001709374390080288
28,0.0001671849028752316
29,0.00014799535353306645
30,0.00013969585510481965
31,0.00017549420054417764
32,0.00023399280224358106
33,0.00027493907276910756
34,0.000260985985512411
35,0.00023238973815398732
36,0.0002247259869556666
37,0.00024901308984847607
38,0.00027601973991007983
39,0.00027857103812745326
40,0.00026047865991059597
41,0.00023620387770053705
42,0.00020541420497951623
43,0.00017602696978851002
44,0.00016131189128282055
45,0.00017301419037025367
46,0.00019265926114118054
47,0.0001973947585354635
48,0.00018765425597491793
49,0.00017273860821515047
50,0.0001600443509025487
51,0.00014826176680798322
52,0.00013411223629329258
53,0.00011567625429144909
54,9.411167845349451e-05
55,6.864293612665973e-05
56,3.7688441323187734e-05
57,1.1791277339092238e-05
58,1.0151858639559302e-05
59,2.8310539321264655e-05
60,4.197963770583706e-05
61,3.045921481800189e-05
62,3.630001498820802e-06
63,7.787170056180053e-06
64,4.838789414023081e-06
65,2.5395179254989063e-05
66,2.3434253771719194e-05
67,5.291246144582508e-07
68,2.5001484731434397e-05
69,3.422772772452393e-05
70,2.981704937194527e-05
71,2.0231810336256575e-05
72,5.068515134038904e-06
73,1.3104713695247246e-05
74,2.681018961195929e-05
75,3.5362084389537856e-05
76,4.3436618611860646e-05
77,5.6676481601055765e-05
78,7.475622968545626e-05
79,9.298155666501668e-05
80,0.00010972966243554197
81,0.00012525280581316114
82,0.00013992450405446859
83,0.00015145299555686782
84,0.00016765131234921471
85,0.00020334444488843352
86,0.00025947248992113834
87,0.0003183309128623578
88,0.00037266735870663555
89,0.00042291041529718583
90,0.000465812293355474
91,0.0004980833132816138
92,0.0005255787219626551
93,0.0005631625349018155
94,0.0006120812040549382
95,0.0006653191607473812
96,0.0007192889086897032
97,0.0007734277078604624
98,0.0008299034253687363
99,0.0008883217993665085
100,0.0009491819607689275
101,0.001017240839227712
102,0.0010955608407251275
103,0.00117405333178105
104,0.001242397591635637
105,0.0012982263300357563
106,0.0013557707951407602
107,0.001419187928005168
108,0.0014885785863110307
109,0.0015571417531800684
110,0.0016241846051031949
111,0.001692117984514428
112,0.0017648902404440456
113,0.0018439517751265382
114,0.0019250556778705563
115,0.002008241489471904
116,0.0020955200599664667
117,0.0021756875908214464
118,0.002247035231992099
119,0.002312862061180501
120,0.002380947873224833
121,0.0024507007022980597
122,0.002522700480071971
123,0.0025993557567605395
124,0.002684586801698471
125,0.0027592426894513873
126,0.002823241473152621
127,0.002875829585461851
128,0.0029096375389292403
129,0.0029212992084163476
130,0.00292127571316087
131,0.0029180786392508664
132,0.0029170843888056508
133,0.002897590203419292
134,0.002852536618403255
135,0.002782208442098331
136,0.002713740402361227
137,0.0026497983511061464
138,0.0025849961442785774
139,0.0025144530723442836
140,0.0024360832150608545
141,0.0023557231377219594
142,0.002273143618322939
143,0.002188254114171951
144,0.0021067364657095205
145,0.0020304072573225826
146,0.0019576613619235006
147,0.001887869565109482
148,0.0018195682843807689
149,0.0017556829655718418
150,0.0016981058363311741
151,0.0016526385055967245
152,0.0015971117671877454
153,0.001522604300682847
154,0.0014410413808744961
155,0.0013822350486338358
156,0.001360006244731876
157,0.0013408730840028574
158,0.0013077138288086578
159,0.0012527366501558525
160,0.0012009313309925382
161,0.0011542216169928283
162,0.0011120069465045126
163,0.00106810692122693
164,0.0010230355715055315
165,0.0009750221573543147
166,0.0009215246067415934
167,0.0008566307111121599
168,0.0007980427128309389
169,0.0007483215947450007
170,0.0007076919944189128
171,0.0006735780295753019
172,0.0006540826980789196
173,0.0006329937005951345
174,0.0005929990452219566
175,0.000519301420059524
176,0.0004535758496916806
177,0.0004065287782066116
178,0.0003808932768713862
179,0.0003493416702068737
180,0.0003062131488914773
181,0.0002615514761979087
182,0.00022918956974692092
183,0.00021617044754821397
184,0.0002036567025642824
185,0.00018533768109031695
186,0.00015795865988214207
187,0.00013708553222124614
188,0.00012436411210109207
189,0.00011683634685703627
190,0.00010918067573437989
191,9.991191205942583e-05
192,9.298573996660174e-05
193,8.929108238998132e-05
194,8.749495606696218e-05
195,9.265921322096273e-05
196,0.0001091076685258955
197,0.00013149515136058157
198,0.00014406935364824237
199,0.00014150011880900424
200,0.00013684794361341546
201,0.00013594360549952828
202,0.00013734323505998577
203,0.00014611699381587533
204,0.00016425831093072764
205,0.00019002624527914564
206,0.00021394149277489445
207,0.0002313284402724088
208,0.0002534417162840197
209,0.0002900746590423468
210,0.0003505557445545585
211,0.00040306752593623684
212,0.0004378532258645055
213,0.0004583466472746813
214,0.0004971929577100109
215,0.0005622002609262503
216,0.0006344458219946593
217,0.0006971466360945029
218,0.0007447044715114568
219,0.0007960874491311842
220,0.0008558186921606498
221,0.0009238036465229314
222,0.0009877691930334897
223,0.0010444088042750957
224,0.0011022741801866244
225,0.0011701903679475077
226,0.0012511343883432752
227,0.0013356004048406523
228,0.0014235947210447675
229,0.0015138566159299878
230,0.0015993249056427434
231,0.0016735762165574334
232,0.0017492962674669863
233,0.0018485379343847847
234,0.0019797474751275593
235,0.0021063393385864462
236,0.002213073699781587
237,0.002296874399410437
238,0.0023888027382695395
239,0.0024958150311453313
240,0.002602713286073805
241,0.0026861741640807455
242,0.0027429220827195535
243,0.00278656652546194
244,0.0028290247443302076
245,0.0028754118283583576
246,0.002871560325625048
247,0.0028076050941046996
248,0.0027064740648134866
249,0.002610835194753941
250,0.0025228219677344414
251,0.0024316666800860563
252,0.0023311963832232776
253,0.0022210362991684843
254,0.0020972913730074815
255,0.001955298656110462
256,0.001807114079812548
257,0.0016814379582622797
258,0.0015791911908633813
259,0.0014853150380196756
260,0.001389810835887868
261,0.0012921278786017618
262,0.0012029278546531318
263,0.0011263155570904377
264,0.0010589764357262874
265,0.0009900000961938487
266,0.0009179510356889351
267,0.0008485466240627929
268,0.0007852653052361465
269,0.000727858373333939
270,0.0006781573121734086
271,0.0006410583037741054
272,0.0006103081718488886
273,0.0005665323275923308
274,0.0005083409406846736
275,0.0004521331263943469
276,0.0004130839544848925
277,0.00038968577452615677
278,0.00036516222913553995
279,0.0003333518308277656
280,0.0003003863255330053
281,0.0002833113491838341
282,0.00028371569680005535
283,0.000287419809784368
284,0.0002780279538929112
