,ri
0,0.0
1,0.0
2,1.0035046184180049e-05
3,6.02344744467051e-06
4,4.764494563572446e-06
5,1.6614558892370684e-05
6,2.4164437866006746e-05
7,2.6076391310113065e-05
8,2.9982384127834005e-05
9,4.9828653839617165e-05
10,5.963306532543834e-05
11,5.664683582091193e-05
12,4.704027642655558e-05
13,3.434858350956137e-05
14,2.0076039826019356e-05
15,6.618336390133047e-06
16,4.294371164609718e-06
17,9.011808121524819e-06
18,6.556862806938276e-06
19,3.2744278833596156e-07
20,8.612673136630633e-06
21,1.8874526720027724e-05
22,2.8563976052057433e-05
23,3.5272124559750586e-05
24,3.6679639976962326e-05
25,4.6664738530615046e-05
26,6.8690657857129e-05
27,9.760984031098068e-05
28,0.00012171852076143182
29,0.0001357277572778257
30,0.00015212186924653162
31,0.0001767338808359241
32,0.00021405142419517905
33,0.00025211443731678067
34,0.0002949159771902953
35,0.00033970242598853654
36,0.0003715784310729327
37,0.0003903225597837811
38,0.00039596113512812913
39,0.0003881895701771493
40,0.0003572387802421353
41,0.00032449059150581875
42,0.0002900235875059751
43,0.00025270334576315255
44,0.00022358519882297755
45,0.00020508381449511095
46,0.00019375814797124987
47,0.00018638412650954985
48,0.00018402149895440764
49,0.000184339798077283
50,0.00018662428264706876
51,0.00019046854305704866
52,0.00019762228830914639
53,0.000211646338400636
54,0.00022864907353647315
55,0.00024246281491684495
56,0.00025144892781851964
57,0.0002573223726713562
58,0.00026083120748316416
59,0.00026246163691758824
60,0.00026118689849261956
61,0.0002520588175738561
62,0.00023899561230865185
63,0.00023340913228787473
64,0.0002440464356567285
65,0.00026047111094951674
66,0.0002757340495128623
67,0.00028516170607668483
68,0.00029637404049070553
69,0.00031133288774669505
70,0.00033038259462931426
71,0.0003543085008948479
72,0.0003876526469162436
73,0.0004246857035507971
74,0.00045975769616031357
75,0.0004922146246784835
76,0.0005207159982317719
77,0.0005462249194776126
78,0.0005689393065903334
79,0.0005827109752146712
80,0.0005767993124394687
81,0.0005601646037808246
82,0.0005466563855031712
83,0.0005376423525919295
84,0.0005371251440517831
85,0.0005495723468968345
86,0.000574276599148998
87,0.000606872521955427
88,0.0006433221770488488
89,0.0006831888668437267
90,0.0007276373017983331
91,0.0007787226589482578
92,0.0008341375449979162
93,0.0008897281013247327
94,0.0009440157238717511
95,0.001001710468690794
96,0.0010714367000783157
97,0.0011509018933828809
98,0.0012264670963964364
99,0.0012959201852840517
100,0.001355582547345367
101,0.0013982814385052069
102,0.0014249739588942933
103,0.0014318619959685585
104,0.0014070379685274237
105,0.0013522492176035598
106,0.0012877963986739178
107,0.0012272171368901323
108,0.001169814258048813
109,0.001115129587633986
110,0.0010593016836913233
111,0.0010075257606242953
112,0.0009691795273661975
113,0.0009447211584330026
114,0.0009308332941080996
115,0.0009244573992211601
116,0.00092575923161991
117,0.0009361100107091236
118,0.0009617088597175344
119,0.0009982295538885529
120,0.001031017116997336
121,0.0010588363501985384
122,0.0010861153559956912
123,0.0011238706983215307
124,0.0011711089314707507
125,0.001212815478306332
126,0.0012438771773128807
127,0.001263735077608531
128,0.0012710405380999923
129,0.0012663172654755943
130,0.0012472088549831163
131,0.0012081483761153826
132,0.0011481170514029834
133,0.001077416097787971
134,0.0009978341580923168
135,0.0009104136894779635
136,0.0008248650179547061
137,0.0007420604373125697
138,0.000663192743226551
139,0.0005914889821673242
140,0.0005253056182659936
141,0.0004659451447499382
142,0.0004151703770555528
143,0.00037340419043622157
144,0.00033360281253749075
145,0.00029443962988703025
146,0.0002571958790579921
147,0.0002264034677176822
148,0.000202747069394597
149,0.00018241843883902667
150,0.0001618497072149898
151,0.00014043863936543356
152,0.00012367259101681412
153,0.00011386782158215234
154,0.00010986463188694437
155,0.00010328542205854194
156,9.321979052265861e-05
157,8.28437898074456e-05
158,7.554917791930718e-05
159,7.206418800718871e-05
160,6.837786563949369e-05
161,6.326365781210396e-05
162,5.6836713913589144e-05
163,5.204001772162546e-05
164,4.9727012889601414e-05
165,4.7668239844889905e-05
166,4.2428816006151736e-05
167,3.226531024343685e-05
168,2.4614060158141786e-05
169,2.2477513090724935e-05
170,2.6503561949584386e-05
171,2.8052379048350777e-05
172,2.5802494364188283e-05
173,2.252789576676623e-05
174,2.26104442763147e-05
175,2.7294474693972037e-05
176,3.2149351339796943e-05
177,3.581263281596755e-05
178,3.8194507004923756e-05
179,3.942590057874795e-05
180,3.876351900266326e-05
181,3.7497575105362947e-05
182,3.759511341097486e-05
183,3.810647912466143e-05
184,4.196981545439288e-05
185,5.171556738559694e-05
186,7.15161407976981e-05
187,8.411302132717424e-05
188,8.611109175542458e-05
189,8.242961546434081e-05
190,8.572180862400485e-05
191,9.933410741069532e-05
192,0.00011412730695706389
193,0.0001255814495801755
194,0.00013092094490093603
195,0.0001397240633414836
196,0.00015233564730795067
197,0.0001687053636864431
198,0.00018775942102420198
199,0.00021032787514806123
200,0.00023477324778488955
201,0.0002605891239288112
202,0.00028752003824573984
203,0.0003159929961679896
204,0.0003466610065189265
205,0.00037872821135325754
206,0.0004088102319175999
207,0.0004333630442756618
208,0.00045971342064218346
209,0.0004941572956400188
210,0.0005442285011209344
211,0.0005862585235703168
212,0.0006202548523792926
213,0.0006452694187417334
214,0.0006555695343027384
215,0.0006514927723535232
216,0.0006322962513772041
217,0.0005954209125087258
218,0.0005312442648768725
219,0.0004688461824304009
220,0.00041256192125049444
221,0.00036206415088968393
222,0.0003107581871158426
223,0.00025671297853749136
224,0.00020486414404508502
225,0.00015802692373544612
226,0.00011343657583280337
227,8.018411978365465e-05
228,6.319845605406168e-05
229,6.233668045304495e-05
230,5.575422155055089e-05
231,3.998647049075444e-05
232,2.1967287306423056e-05
233,7.83564330035317e-06
234,1.1158003286922255e-06
235,8.588844757656902e-06
236,1.4935663184928875e-05
237,2.0109246464616907e-05
238,2.5525700786107238e-05
239,3.223556194133005e-05
240,3.819760188566867e-05
241,4.0930348541995195e-05
242,3.782626025152106e-05
243,3.654418662877261e-05
244,3.973949129764307e-05
245,4.811806589251883e-05
246,5.210478994105902e-05
247,4.9207144514224194e-05
248,4.413339041272793e-05
249,4.2746845290670345e-05
250,4.783700446287673e-05
251,5.10372873740842e-05
252,4.945684411852415e-05
253,4.221686073036713e-05
254,3.845674583245534e-05
255,3.9399715244331474e-05
256,4.275945059676483e-05
257,4.6343074688638005e-05
258,5.194533749983313e-05
259,5.4099396525913367e-05
260,5.0542662652327404e-05
261,4.030853633681401e-05
262,3.1340453042895253e-05
263,2.345886563212428e-05
264,1.7094463656420802e-05
265,1.3464152021922422e-05
266,1.4180011154793318e-05
267,1.4088789269491753e-05
268,1.1824250710485464e-05
269,7.2686192954053285e-06
270,9.147030179694449e-07
271,8.491741497558955e-06
272,1.8395629719636532e-05
273,2.454660056895107e-05
274,2.529069360498775e-05
