,ri
0,0.0
1,0.0
2,1.5091836464028716e-05
3,3.090142436727259e-05
4,1.0697970441707567e-06
5,3.8367121058852105e-05
6,6.03706175030963e-05
7,6.810680186389778e-05
8,1.3409321086624678e-05
9,3.712995941476423e-05
10,2.9744862488704126e-05
11,2.1247456018968895e-05
12,5.6710098400976926e-05
13,1.1835501294771331e-05
14,4.661578780172747e-05
15,4.99077139514418e-05
16,6.750737814238674e-05
17,5.404531987147179e-05
18,5.01789643745843e-05
19,7.836943523327857e-05
20,8.851028012543154e-05
21,7.175440457937947e-05
22,9.215599171549044e-05
23,4.781120600398291e-05
24,5.884623803354615e-05
25,9.380833103489811e-05
26,7.815933119880636e-05
27,9.647790671922575e-05
28,0.00010169375671031495
29,5.011643746435539e-05
30,9.877335475741099e-05
31,0.00010640310027566631
32,6.744793376659696e-05
33,9.003124926546926e-05
34,9.36618948896599e-05
35,8.756169161335895e-05
36,4.697918646297123e-05
37,9.219141879841074e-05
38,0.00011302027420504457
39,0.00011460409174663308
40,5.592194036227122e-05
41,9.41307679194842e-05
42,0.00010096579949756813
43,9.19588103714073e-05
44,0.00012158688325775118
45,7.070041734374326e-05
46,9.91199980474088e-05
47,9.575013861902119e-05
48,0.00010696350377595373
49,8.729485381620296e-05
50,6.771779736442941e-05
51,6.753795133672187e-05
52,8.344622446827846e-05
53,9.904378569287028e-05
54,8.410874874139668e-05
55,5.9502622452791696e-05
56,1.1327053313599409e-05
57,6.0263655449183165e-05
58,8.608907224663063e-05
59,9.004606308128112e-05
60,6.565571420341674e-06
61,3.6056695307318356e-05
62,2.0337522110538176e-05
63,2.799830099698153e-06
64,4.8315039639123216e-05
65,2.224473470692698e-05
66,3.209915604629524e-05
67,5.253209804191611e-05
68,8.505872407877931e-05
69,0.00010852557337518015
70,8.953337897916214e-05
71,3.5478798896870094e-05
72,1.278794770270642e-05
73,2.3180255542328077e-05
74,7.4649276339075755e-06
75,1.4977568362232198e-05
76,5.066971142179889e-05
77,8.035221720156215e-05
78,6.894709192675846e-05
79,1.762676401825354e-05
80,3.5571911608936974e-05
81,5.849688413044232e-05
82,5.651002993874833e-05
83,4.568699937283151e-05
84,2.5305420343693686e-05
85,1.5136063583916415e-06
86,9.600487321347131e-06
87,6.358386022771965e-06
88,2.9244867838172086e-06
89,1.8554203444347905e-05
90,4.9816334771012485e-05
91,7.684468384239528e-05
92,9.52112939485536e-05
93,0.00010310504057583072
94,8.771254038458367e-05
95,4.2211741220880294e-05
96,4.235137561834786e-06
97,2.572056523950617e-07
98,5.086689276588203e-05
99,9.271715166594699e-05
100,8.606039017771827e-05
101,3.932418811657021e-05
102,2.6895963988035923e-06
103,2.013553100412974e-05
104,3.0156163356907215e-05
105,2.5782318049062027e-05
106,6.352807202774728e-06
107,1.657639513592627e-05
108,3.730367189235052e-05
109,5.594886998829178e-05
110,7.071869822283024e-05
111,8.205782322037848e-05
112,8.890445370105554e-05
113,8.559447991105636e-05
114,7.002421393006684e-05
115,5.6562741908032965e-05
116,5.725106113191807e-05
117,7.249061970647249e-05
118,9.006585686070636e-05
119,0.00010613248022766474
120,0.00012288179987225112
121,0.00015640199799124373
122,0.00021099790642205868
123,0.0002632406874892932
124,0.000283939496504353
125,0.0002678609590472311
126,0.0002673948596680269
127,0.0003044978579380135
128,0.0003738700748598156
129,0.00039862976053275137
130,0.00036355165329046246
131,0.00031569830040455697
132,0.00031399137059794465
133,0.0003698394562087044
134,0.0004225227434244214
135,0.00045355573338735764
136,0.00046233711125057933
137,0.000471318948408617
138,0.0004759864981021246
139,0.0004875852115827082
140,0.0005241199266631457
141,0.0005909980643398554
142,0.0006662504205762596
143,0.0007430836946286039
144,0.0008207849952500102
145,0.0009004360461823149
146,0.000975316418048056
147,0.0010591468561647315
148,0.0011769601877538432
149,0.0013290205399994403
150,0.0015111258322120793
151,0.001725866906220985
152,0.0019835812839622802
153,0.0022391990339848404
154,0.0024819211997493796
155,0.002727378563250418
156,0.0030193462653996085
157,0.003380150302563296
158,0.00373705736060575
159,0.00404625447610686
160,0.0042707241296657495
161,0.0045505331560966675
162,0.0049159956655518335
163,0.005332142857838396
164,0.005680379736192488
165,0.005906410198600322
166,0.0061490062893366755
167,0.006499735040622867
168,0.007037867387181221
169,0.007493357552763552
170,0.00783145295585035
171,0.008068329022557897
172,0.008304221704045593
173,0.008644119980035454
174,0.008840652037723433
175,0.008727411447406633
176,0.008234924564803077
177,0.007570679367550117
178,0.006660316804023567
179,0.005562623768741201
180,0.004638993069248339
181,0.003925374369457121
182,0.003358043046370855
183,0.002886168170125451
184,0.0025163970465820235
185,0.0022413423094640047
186,0.0020855948930191036
187,0.0020434139708388633
188,0.002016953974298295
189,0.0020041296224312
190,0.00200859961255554
191,0.0020285264011355017
192,0.002040023182955797
193,0.002111580217078551
194,0.002274711847924315
195,0.0025325642778214743
196,0.002756636164666437
197,0.002924182312624139
198,0.0030795098992251802
199,0.003266595785426313
200,0.0034966745169892044
201,0.003732232469277066
202,0.003972299494948006
203,0.004218447749603504
204,0.004455371724821761
205,0.004667126711788078
206,0.004884353354977674
207,0.00514505508051184
208,0.0054690515131965815
209,0.005802218643431583
210,0.006135743826746633
211,0.0064712925142640714
212,0.0068056245777595135
213,0.007201393002490065
214,0.007541398442253885
215,0.0076821675149751295
216,0.007617881858103013
217,0.007359623466615094
218,0.006878016858944
219,0.006132992239256471
220,0.005377588492873516
221,0.004574626093983041
222,0.0037980720008715784
223,0.003155353484306263
224,0.0026831073171028515
225,0.002292106419563158
226,0.0019657984012366237
227,0.0017113758424812686
228,0.0014854714551016204
229,0.0012895432967986523
230,0.0011217733656659198
231,0.0009725144005466187
232,0.0008391679951098327
233,0.000728792459808563
234,0.0006470441507823815
235,0.0005981763351821761
236,0.0005580366937832979
237,0.0005321573988225551
238,0.0005111052015034895
239,0.00047812012884163296
240,0.000429822235406343
241,0.0003753027284426089
242,0.0003128863860134072
243,0.00023460463596223203
244,0.00018070188803638454
245,0.00015569925578413414
246,0.00015127830884575862
247,0.00015395116248081907
248,0.00016687278123215987
249,0.00018029693504585065
250,0.00019547996157776642
251,0.00021970521520622103
252,0.00021118128255055542
253,0.00014819665693180454
254,6.31456234297446e-05
255,2.452860905752472e-05
256,4.4253803667416996e-05
257,7.942405284405571e-05
258,0.00011920740621327989
259,0.0001696326266366688
260,0.00020051791970408496
261,0.0002011794984144918
262,0.00018406865862658162
263,0.00017499932539898273
264,0.000174506435076289
265,0.0001834641919039431
266,0.00020590113429509128
267,0.0002458886031349488
268,0.00026410581433270657
269,0.00025117719841730147
270,0.0002258919689893718
271,0.0002163555908198573
272,0.00022198887522927084
273,0.0002455258222413432
274,0.00029872986236098304
275,0.0003883411557075642
276,0.000443885841762994
277,0.00045477078147150167
278,0.0004448900293624967
279,0.00045594580073419653
