,ri
0,0.0
1,0.0
2,7.632846798638855e-06
3,3.066792286496788e-05
4,6.331851385042947e-05
5,0.00010193876924706932
6,0.00015301161928656811
7,0.0002041123179613918
8,0.00024891729111977464
9,0.0002862278870829397
10,0.00030534404130048954
11,0.00030776184434793514
12,0.00027285628747435837
13,0.0002281797274677516
14,0.000181342577503853
15,0.00013557141141433613
16,9.367507350100066e-05
17,5.6025265688113965e-05
18,2.5127591581715477e-05
19,2.9790304065631123e-06
20,1.0588283222496131e-05
21,1.5628112643103422e-05
22,8.223856726089963e-06
23,6.3672810377618745e-06
24,1.617232139174459e-05
25,2.0938305898323492e-05
26,2.2422406089180755e-05
27,2.1113520228909456e-05
28,1.7357048752858955e-05
29,1.47508806303684e-05
30,1.465225004692597e-05
31,1.666431394915154e-05
32,1.8470220592652337e-05
33,1.966577797861528e-05
34,2.2193815207555363e-05
35,2.85904920270491e-05
36,3.9097163276579135e-05
37,5.1064727520862345e-05
38,6.33885222253435e-05
39,7.619502660878997e-05
40,9.072157101015206e-05
41,0.00010621508191585169
42,0.00012450892781811287
43,0.0001461403553067455
44,0.00016880218230240024
45,0.00020240001367551088
46,0.0002508558655676705
47,0.0003154441998315961
48,0.0003855252906267606
49,0.0004716456482226729
50,0.0005525822917821323
51,0.0005995753167465302
52,0.0006102208443860832
53,0.0005904765487273157
54,0.0005349262569861323
55,0.00043529892447103144
56,0.00034506083671304814
57,0.0002636592756583031
58,0.00019242362685695954
59,0.00013414455564053564
60,9.050922516579952e-05
61,5.85505954108419e-05
62,4.0255202362173784e-05
63,4.01813261212424e-05
64,3.744713163357755e-05
65,2.8889478070190268e-05
66,1.864620849644177e-05
67,1.1953639926620748e-05
68,7.830107965523714e-06
69,8.278780423536336e-06
70,1.486420910467676e-05
71,2.9412026769134278e-05
72,4.321682737165882e-05
73,5.399773032181899e-05
74,6.401550330675598e-05
75,7.603334980926473e-05
76,8.394004152193198e-05
77,9.985785732973493e-05
78,0.00012984078112303007
79,0.00017729369535689083
80,0.000225013105559347
81,0.00026344228837472977
82,0.0003018525186466275
83,0.0003524991298510143
84,0.0004242074318796781
85,0.0005043194464042385
86,0.0005854432946789379
87,0.0006643017338272752
88,0.0007587124754447758
89,0.0008764619206109675
90,0.0010140964517589583
91,0.0011673382090735586
92,0.0013257984912187681
93,0.0015067113488080933
94,0.0017280762831398757
95,0.0019989027145283287
96,0.0022630296151881293
97,0.0025048242310369536
98,0.0027214340108870057
99,0.002906635945102971
100,0.003037270412332761
101,0.003148744631672404
102,0.003286533877461089
103,0.0034643323293332435
104,0.0035734866026356795
105,0.0035599293454582656
106,0.003428249007257384
107,0.003186290780676026
108,0.002749834590692603
109,0.0022480404740110923
110,0.0018023366031667872
111,0.001413929365570499
112,0.0010888766129786014
113,0.0008416012309831921
114,0.000660828003357093
115,0.0005263047836334588
116,0.0004437300988156514
117,0.00039396690820962734
118,0.00035463225795958296
119,0.00032546468032274516
120,0.00030742843429723955
121,0.00030630288528619065
122,0.00031797223706053616
123,0.000330865768429373
124,0.000335389237736664
125,0.0003390842101430386
126,0.0003542973007624804
127,0.0003813626932188883
128,0.00041823505996228767
129,0.0004618498907471318
130,0.0005132348775742307
131,0.0005777806653119654
132,0.0006695279943899188
133,0.0007738118508033075
134,0.0008637099531383657
135,0.0009398651407271769
136,0.0009879055838090732
137,0.000984283327283825
138,0.0009346771720381051
139,0.000865254005252492
140,0.0007725706525983398
141,0.0006683247012719212
142,0.0005884787959293542
143,0.0005329219288159415
144,0.0004970617826092826
145,0.000476780627147307
146,0.0004721175278767896
147,0.0004837509084971737
148,0.0005155157581646622
149,0.0005636246624750656
150,0.0006109692764604404
151,0.0006560036140736521
152,0.0007124647882619214
153,0.0007948897866648574
154,0.0009029896796909638
155,0.0010284048485169417
156,0.0011676731662706612
157,0.0013217851934391653
158,0.001511559718860842
159,0.0017454569258754404
160,0.001971662881314538
161,0.0021536258645275743
162,0.0022923588696244926
163,0.002353506350279383
164,0.0023233346746244416
165,0.0022097938544717284
166,0.0020314593163695688
167,0.0017720960794967366
168,0.0015106906093667431
169,0.0013142505904373673
170,0.0011896407113162015
171,0.0010911103056036211
172,0.0010158594250896664
173,0.0009594187505912891
174,0.0009031509697038872
175,0.0008486596996782543
176,0.0007893877472551767
177,0.0007183942268665192
178,0.0006333317306263523
179,0.0005484208547340654
180,0.00046282497977010573
181,0.00037907098260360836
182,0.0003081486309496701
183,0.0002518383035360775
184,0.0002036605512105653
185,0.0001591800920110382
186,0.00011754522184047558
187,8.275608773402109e-05
188,5.571893069953983e-05
189,3.508386549697659e-05
190,1.6349469655339232e-05
191,6.246603618020549e-07
192,1.536741847353402e-05
193,2.7922898352454453e-05
194,3.866628300224633e-05
195,4.5211872663408046e-05
196,4.648207986350584e-05
197,4.384922346549557e-05
198,4.110768003239777e-05
199,3.831546755447267e-05
200,3.522272188699946e-05
201,3.191995109478414e-05
202,2.8976505055580645e-05
203,2.424997278237872e-05
204,1.8328656696417322e-05
205,1.0325655119918055e-05
206,2.672695417988978e-06
207,2.3436560558929977e-05
208,4.3665113043069706e-05
209,5.8888646900758305e-05
210,6.552590498653122e-05
211,8.001067643490593e-05
212,0.00010322599505764346
213,0.0001335059709610711
214,0.00016989910910492076
215,0.00021681052209635249
216,0.00026033097695037327
217,0.00029637329964644926
218,0.00032458512759039974
219,0.00034570212889872484
220,0.00036082896610597966
221,0.00036772885229433065
222,0.00036193865686635744
223,0.00033796639686402443
224,0.00031225553108689256
225,0.0002897766541538585
226,0.00027110453095510045
227,0.00024890530073512084
228,0.0002198703909026782
229,0.00019024640507579312
230,0.00016705700115537186
231,0.00015448527623917853
232,0.0001393862876672486
233,0.0001172516508097587
234,8.739288551562049e-05
235,6.428354642175834e-05
236,4.8771856545777154e-05
237,3.908439931872189e-05
238,3.4748521513272325e-05
239,3.984791607054681e-05
240,4.193617693331417e-05
241,3.781535247842929e-05
242,2.80018028192084e-05
243,2.1462014957072706e-05
244,1.975048424439525e-05
245,1.948244112939288e-05
246,1.7542319535090027e-05
247,9.944283530607326e-06
248,9.174964979756374e-06
249,1.921323765458531e-05
250,3.768307146063591e-05
251,5.0105496748559505e-05
252,4.6508381352423824e-05
253,5.020258018559499e-05
254,7.858536780751239e-05
255,0.0001584192827654254
256,0.00020521465977633662
257,0.00020522587658778694
258,0.00017088077350012424
259,0.0001407435218527368
260,0.00011321824012686593
261,9.22516988066158e-05
262,7.993293232795718e-05
263,7.814559144133967e-05
264,8.088984238064963e-05
265,8.981649036209211e-05
266,0.00010246982725125151
267,0.00011338726587182414
268,0.00012019741756857262
269,0.00012931243062506005
270,0.00014388887049804596
271,0.00016574502100228665
272,0.0001841104224258688
273,0.0001943494373469982
274,0.00020456911293804088
275,0.00022848026065729973
276,0.0002748845964138568
277,0.00031762026125295727
