,ri
0,0.0
1,0.0
2,1.1989232900432724e-06
3,1.5159535431419026e-07
4,1.295995053529085e-05
5,3.571201223917226e-05
6,6.696343265459225e-05
7,0.00010217810967706106
8,0.00013466472448003718
9,0.0001658795715387984
10,0.00020361959895026101
11,0.000250160917184717
12,0.00030565752975455715
13,0.0003690241776738157
14,0.00043877235852543436
15,0.0005204268244397309
16,0.0006197922888871156
17,0.000736382560598741
18,0.0008766877875967874
19,0.0010462412942791538
20,0.0012453795297607479
21,0.0014694323424833896
22,0.0017283495089232869
23,0.0020034276295350733
24,0.0022749272000616417
25,0.002561085348152736
26,0.0027600689855137835
27,0.002804490674324321
28,0.0026836732341306976
29,0.0024607194554829674
30,0.0021111235542472994
31,0.0016666921116989827
32,0.001283951265330344
33,0.0009691473738196244
34,0.0007101975039311499
35,0.000510522634588812
36,0.0003786181307193684
37,0.00027161388394454964
38,0.00019025583019599353
39,0.00013372801843169934
40,9.247286580498663e-05
41,7.244512524428337e-05
42,6.722629901020125e-05
43,6.067039723610913e-05
44,4.46238159430167e-05
45,3.308764472700909e-05
46,3.1718153132363964e-05
47,4.009585501519545e-05
48,4.871082041745436e-05
49,5.805253572818564e-05
50,6.334514292428506e-05
51,6.809635939439319e-05
52,7.791497522153516e-05
53,8.993904224977054e-05
54,8.823767011288265e-05
55,8.173126946777327e-05
56,7.879023842709166e-05
57,8.485008834708356e-05
58,9.327875805901577e-05
59,9.481889228428224e-05
60,8.448960715253965e-05
61,7.101747106185053e-05
62,5.6257066850618865e-05
63,3.7534927238204034e-05
64,2.3742227980507025e-05
65,1.968901706959912e-05
66,2.109623655173919e-05
67,1.9950391949750268e-05
68,9.155488991356116e-06
69,7.054282510136447e-07
70,4.158684487637275e-06
71,3.457720752861212e-06
72,1.0581612057787388e-05
73,1.3185564689929653e-05
74,1.2699705410636e-05
75,1.2907099780362941e-05
76,1.6783840900721205e-05
77,2.0867674131660473e-05
78,2.3035744300016574e-05
79,2.3828951580052144e-05
80,2.1291461274541045e-05
81,1.111404897596369e-05
82,4.261512058072671e-06
83,1.5359457063146083e-05
84,1.470287091707566e-05
85,9.050015414626748e-06
86,4.408950105408119e-06
87,2.1467485108973727e-06
88,1.6545368344710011e-06
89,3.4208996428040887e-06
90,7.076183910547224e-06
91,1.025551407986122e-05
92,1.0163875052893592e-05
93,9.167059075057284e-06
94,1.0278500640156603e-05
95,1.8307955391252824e-05
96,2.5986358442144897e-05
97,2.6047375149081165e-05
98,1.8952664239408174e-05
99,1.1274717054768995e-05
100,6.934721675179062e-06
101,5.40765891920753e-06
102,5.762337729162966e-06
103,1.1899843474321767e-05
104,1.7692957130623045e-05
105,1.4697881163633657e-05
106,2.8967079577236093e-06
107,1.0889866835967128e-05
108,2.0976928425248082e-05
109,2.8399625193742378e-05
110,3.5944355376109216e-05
111,4.631449008816548e-05
112,5.698803847699847e-05
113,6.237340454542589e-05
114,6.173330886554711e-05
115,6.230150650923576e-05
116,7.31618262749202e-05
117,9.197344450466938e-05
118,0.00011087881262033981
119,0.00012625562728657162
120,0.00013908167206514284
121,0.00015068475651896653
122,0.00016070742204495823
123,0.00017218296304933093
124,0.00018875930056882993
125,0.00020994538736800094
126,0.00023395804313783346
127,0.0002611069596262174
128,0.00029069877417263695
129,0.000317622383720596
130,0.0003411342307710806
131,0.00036503054154506586
132,0.0003968563484840643
133,0.00043604969733002487
134,0.000474391269992589
135,0.0005071809367523803
136,0.0005353029294879743
137,0.0005641894892107589
138,0.0005943227440338495
139,0.0006259469788079813
140,0.0006589705247757792
141,0.0006936119004345541
142,0.0007316251998443549
143,0.0007756921057885099
144,0.000825674867377558
145,0.0008721271430406608
146,0.000912004043512564
147,0.000952079146703117
148,0.0010055200502258033
149,0.0010726418964032763
150,0.0011501941606496828
151,0.001234321304580492
152,0.0013245506147117247
153,0.0014273023726072372
154,0.001540916134991543
155,0.0016670201371983477
156,0.0018126951713514075
157,0.00197904671311399
158,0.0021581327795498076
159,0.0023476378673982358
160,0.002548564882415643
161,0.0027512915781183877
162,0.0029524376071399018
163,0.0031532030869416087
164,0.0033581655093107205
165,0.0035705045413611724
166,0.0037771283980193647
167,0.003970136223413127
168,0.00414885611032624
169,0.00432000019382577
170,0.004488627102798449
171,0.004647896861423683
172,0.004775561710039853
173,0.004861380018667539
174,0.004943356663101001
175,0.005044893438331192
176,0.0051683440016420746
177,0.0052997920446504684
178,0.005434599623739973
179,0.00557689926559443
180,0.005747358558701025
181,0.00594505090535007
182,0.006168504650355594
183,0.006416471116590103
184,0.006690218801452954
185,0.006987017462494751
186,0.0073085369576201134
187,0.007655555232499743
188,0.008027259655987178
189,0.008431172021255167
190,0.008841283176548921
191,0.009246701882478647
192,0.009651550755592255
193,0.010030246779980052
194,0.010398026789638226
195,0.010738365632899366
196,0.010985920828492677
197,0.011155096758996015
198,0.011212867896414399
199,0.01114090048927274
200,0.010940730608640573
201,0.010605485575248728
202,0.010115468993931401
203,0.009483395569089961
204,0.008812068095819975
205,0.008073118810014723
206,0.007321737258682175
207,0.006589160190281505
208,0.005856875470890845
209,0.005191062988267282
210,0.004606480421334669
211,0.004093959903341869
212,0.00363584107655041
213,0.003237931280616723
214,0.002885942577060158
215,0.0025732941401147525
216,0.0023005617486781837
217,0.0020609242561881267
218,0.0018563731044602128
219,0.0016844684180278657
220,0.0015288416253714113
221,0.0013912527666324573
222,0.0012669543911925502
223,0.001152998729118574
224,0.001049864439976068
225,0.000957247778098701
226,0.0008778552016096333
227,0.0008099430220915452
228,0.0007460162037387033
229,0.0006840803316946963
230,0.0006276599458039103
231,0.0005784759411710199
232,0.0005389741393441609
233,0.0005014385084863057
234,0.00046459287084274926
235,0.00042917870278395967
236,0.00039783581676895084
237,0.0003718262190580443
238,0.0003481265749316391
239,0.0003249706008624897
240,0.00030223719498950123
241,0.00028029550987615834
242,0.00025909678765367346
243,0.00023862769918921728
244,0.00021964696448978035
245,0.00020264637405101196
246,0.00018642194545847527
247,0.00017052891181152063
248,0.0001546834468170419
249,0.00013967439729526435
250,0.00012588260977007315
251,0.00011295944565936365
252,9.904715088123348e-05
253,8.243949733218784e-05
254,6.732416160253448e-05
255,5.602026415251229e-05
256,4.981245590304849e-05
257,4.432554067172096e-05
258,4.052168364607811e-05
259,3.7101462847585396e-05
260,2.981826610754463e-05
261,1.5318097110831886e-05
262,2.427933752777549e-06
263,4.380671532524792e-06
264,2.5486045229593725e-06
265,1.1123483425371408e-06
266,9.297540879812261e-07
267,2.1333648723205607e-06
268,1.6056204035082877e-06
269,1.3804794578602601e-05
270,2.478932798806473e-05
271,3.057502886268851e-05
272,2.992487439483827e-05
273,2.7477655517536117e-05
274,2.167282808056265e-05
275,1.5005229164375574e-05
276,1.2671729096898613e-05
277,1.585144080644601e-05
278,2.092536103292343e-05
