,ri
0,0.0
1,0.0
2,7.212797553741508e-06
3,2.833006438947367e-06
4,1.3074476222545282e-06
5,2.7362226244166725e-05
6,6.597865107791346e-05
7,7.909460234882377e-05
8,5.8458692632540164e-05
9,3.543161032685568e-05
10,3.5457227419181675e-05
11,5.733129659788845e-05
12,7.740265439376865e-05
13,0.0001050886318904744
14,0.00017087600867902043
15,0.00020876173645070659
16,0.00022428764617872353
17,0.00022359208112899572
18,0.00018314342426317058
19,0.00012738282138332753
20,6.650660715213685e-05
21,9.537487445276433e-05
22,0.00016104294878276356
23,0.000185317705470878
24,0.00012852436781183552
25,4.887277668415221e-05
26,3.258738116174645e-06
27,1.6321747884222504e-06
28,1.851091140270982e-05
29,0.00010083692648128254
30,0.0002063983767044025
31,0.0002669676737722969
32,0.0002429815363243887
33,0.00017422477257679784
34,0.00010331641704613117
35,3.0944715612880396e-05
36,1.3532655972746516e-05
37,2.381926038932745e-05
38,0.00011520640747001162
39,0.00017437530349075157
40,0.00014978069910702397
41,8.605342448610379e-05
42,8.850193056785335e-05
43,0.0001603444560653414
44,0.00022873916490805812
45,0.00020399964097345772
46,0.00010473023657021831
47,2.1513477619735265e-05
48,5.2302785800172316e-06
49,6.092232743710053e-06
50,1.1008030286970267e-06
51,2.896268458377185e-05
52,2.65163742527931e-05
53,3.8674492682742075e-06
54,1.0515450929304456e-05
55,4.885057276441327e-06
56,3.878135011386458e-05
57,9.635442326884887e-06
58,4.3340948575584124e-05
59,3.4285672396806095e-05
60,1.9372621594094776e-05
61,5.935114333471632e-05
62,0.00015384820542377648
63,0.00022409856764012687
64,0.00022374334395987305
65,0.00016067991798865801
66,0.00012755018638652404
67,0.0001248982074000137
68,0.0001503032877904743
69,0.0002141010704083679
70,0.0003207069660814649
71,0.00041124826117077545
72,0.0004412883274660864
73,0.0004103301933762733
74,0.00045039605769105575
75,0.0005859997699602574
76,0.0007494314516093431
77,0.0008217785118394994
78,0.0007877599891198073
79,0.0007555695509029597
80,0.0007786054162117275
81,0.0008623457392469478
82,0.0009315941071948899
83,0.0009847046828666856
84,0.0010252419016802663
85,0.0010515106440405749
86,0.0010559050732498684
87,0.0010784446988844356
88,0.0011500122675909578
89,0.0012839706306159069
90,0.0013704524704746244
91,0.001390051741854783
92,0.0013799959352414437
93,0.0014238843576758807
94,0.001541429239716794
95,0.0016527230632855483
96,0.0016991292799371687
97,0.001642963926998575
98,0.0017057460528988198
99,0.0019298560872374163
100,0.0022457880273093157
101,0.0024864559742382047
102,0.002627928196400831
103,0.0027586729561865607
104,0.0029257037173212944
105,0.003151707464713552
106,0.003335208796352363
107,0.003475905186575973
108,0.003572059552552371
109,0.0036297565636397517
110,0.00366775525058998
111,0.003627421748653468
112,0.003459920120964551
113,0.0031037620267716014
114,0.002807406424682921
115,0.002596328903085944
116,0.0024441145802079505
117,0.00229749893385088
118,0.002160228402774334
119,0.002028001755190622
120,0.001893467129574492
121,0.0017478988563350934
122,0.0016259151421248545
123,0.0015143785661097728
124,0.001429964391560225
125,0.001430348403972807
126,0.0015743603778603243
127,0.001705753128095748
128,0.0017460351518753003
129,0.001650213564126832
130,0.0015803725874430818
131,0.0015268248133955891
132,0.0014998497712040068
133,0.001539699963998635
134,0.0016728693205799435
135,0.0018359792027549532
136,0.0020063138368828174
137,0.002181381289810987
138,0.002371428154497552
139,0.002577501560087876
140,0.002792463120826089
141,0.0030022134330682715
142,0.0031852512173221356
143,0.0033923031958393132
144,0.003653629253964502
145,0.00401114383418919
146,0.004322467137365489
147,0.004567210397724982
148,0.004773581693503211
149,0.005022594469250371
150,0.0053530695985942005
151,0.00566665940451058
152,0.00591124408286996
153,0.006027943356891808
154,0.006207682635543316
155,0.006475432484534633
156,0.006797153887472207
157,0.0070893302439271316
158,0.007319164356552896
159,0.0075681161392230885
160,0.007868011779498913
161,0.008227978281417662
162,0.008619971028190064
163,0.00903776628624244
164,0.009489483453980594
165,0.009996048036250245
166,0.01056817285708982
167,0.011178472024941285
168,0.01180926486665355
169,0.012419215154104766
170,0.0131465429585937
171,0.014006398960438869
172,0.014975339860577367
173,0.016018128738584016
174,0.017203138833738446
175,0.01835577380363897
176,0.0194509532950369
177,0.020578012647903765
178,0.02135958037587761
179,0.021772047278726177
180,0.02185966993309648
181,0.021723953017676427
182,0.021452472832097832
183,0.020801171678186296
184,0.01963368855362901
185,0.017791919644036074
186,0.015952056158167575
187,0.014041587086402473
188,0.012159304135365204
189,0.01050610142252239
190,0.009102004194903725
191,0.007865823347897349
192,0.006769555740006333
193,0.005818644393419179
194,0.005022955548266014
195,0.0044097457907816984
196,0.0039225623686489726
197,0.0034662341242921394
198,0.0030390166557099536
199,0.002656158232144079
200,0.0023204635592457513
201,0.002033023925148057
202,0.0018061411455305557
203,0.001649891764652756
204,0.001532627938710505
205,0.0014181180721794526
206,0.0013115743894448616
207,0.0012023306651791105
208,0.0010841558466392856
209,0.0009568671985667947
210,0.0008555703842851834
211,0.0007880259189353819
212,0.0007312901587409959
213,0.0006481629381154445
214,0.0005233069379246918
215,0.0004261969324183799
216,0.0003767532605338198
217,0.00037321444220821424
218,0.00034069024987420525
219,0.0002670069533138634
220,0.00019222456150658245
221,0.0001681464464986085
222,0.00021160816136658663
223,0.00023699469986164935
224,0.00022276574692225144
225,0.00017203756083677347
226,0.00011416610954926829
227,4.165217226053127e-05
228,2.2575002351124537e-05
229,3.5581165351577926e-05
230,4.184320257759085e-05
231,3.927466212037092e-05
232,3.1357272785482873e-05
233,2.4419188294371506e-06
234,2.771525417364975e-05
235,4.4790876001235536e-05
236,5.2008796729469936e-05
237,4.413483446538216e-05
238,1.9417023578237274e-05
239,3.9181952643381597e-07
240,1.232352945893178e-05
241,1.6839212905235328e-05
242,1.0634265199263198e-05
243,9.830864389458369e-06
244,2.2806530851428433e-05
245,5.486936959948315e-07
246,3.3308563303800225e-05
247,1.7802414600803572e-05
248,2.2512788436729313e-05
249,6.4446504984511e-05
250,9.231107021057512e-05
251,5.735471793944364e-05
252,2.844229165109232e-06
253,4.249119302728464e-05
254,1.6632080171884247e-05
255,4.052770389357396e-05
256,1.5077488382185741e-05
257,2.5559270889032292e-05
258,1.777143133756605e-05
259,3.8135311442633734e-05
260,0.00010912051825027841
261,0.00018386729010061087
262,0.00026019671031207416
263,0.0003212471207710816
264,0.0003642487038664233
265,0.0003992238420052605
266,0.00044440287794831186
267,0.0004978276899526398
268,0.0005391912429729647
269,0.0005483001930594734
270,0.0005375395504487076
271,0.0005428544871755823
272,0.000564928125702124
273,0.0006040283476223703
274,0.0006737095224444678
275,0.0007658271226149046
276,0.0008431002277131961
277,0.0008019877221976658
278,0.000919664593257135
279,0.0009945340831783243
280,0.0010289034380767288
281,0.0009013695978348318
282,0.0009829829702900706
283,0.0009808318664516107
284,0.0009752814964476445
