,ri
0,0.0
1,0.0
2,1.0454553798621218e-06
3,1.799722235141203e-06
4,9.939910337937027e-06
5,3.382826987072779e-05
6,5.259498311131649e-05
7,6.257247792448865e-05
8,6.902797108426239e-05
9,8.243005819380597e-05
10,0.00010309723908754637
11,0.00012719123178869948
12,0.0001520337432644962
13,0.00017790610786345748
14,0.00020533011451293628
15,0.0002369572635767032
16,0.00026950118394088754
17,0.0002855312627156214
18,0.00027322497991446974
19,0.0002632913091203274
20,0.00028012697981076687
21,0.00034428896736190623
22,0.00039039092945839356
23,0.0004031060099564382
24,0.00038324636871258256
25,0.0003830325709143183
26,0.00041316809531797026
27,0.0004547574290983387
28,0.0004901957730449572
29,0.0005155280943706544
30,0.0005392238660244684
31,0.0005639763967108049
32,0.0005925084376274747
33,0.0006110741945265381
34,0.0006229044148574021
35,0.0006242469925566719
36,0.000608589021602434
37,0.0005683008195498498
38,0.0005189323260504327
39,0.00046277190228390943
40,0.00039495723370479687
41,0.00033188280656389594
42,0.00026928330948969027
43,0.00021267954971670262
44,0.00017306782292220708
45,0.00016316950576822261
46,0.00016196537573217202
47,0.00016059258550505417
48,0.00015993819211701935
49,0.00015599314712953422
50,0.0001480155903010791
51,0.0001361372428175338
52,0.00012089445631645076
53,9.249742055607904e-05
54,6.651971977494325e-05
55,5.295216585246334e-05
56,7.087779764875742e-05
57,8.523327799089991e-05
58,8.073269844900536e-05
59,5.991925630725745e-05
60,4.234874627757186e-05
61,3.890232123993701e-05
62,4.1561793724998817e-05
63,4.261180363210998e-05
64,4.142826069337103e-05
65,3.655029633023938e-05
66,2.2681115386860757e-05
67,5.254239428848072e-07
68,1.561202028126129e-05
69,4.200204959369158e-06
70,2.0005888903020068e-05
71,3.740775233048158e-05
72,3.2643685120683736e-05
73,2.2751754722961007e-05
74,2.0899011086811693e-05
75,2.882653379493572e-05
76,3.94294098161028e-05
77,5.054388313229023e-05
78,6.05341061618421e-05
79,6.637900730453901e-05
80,6.394458870945096e-05
81,5.7713605885926575e-05
82,5.120572773596371e-05
83,4.436832014058288e-05
84,3.970739224999008e-05
85,3.971706297667004e-05
86,4.3961787250874816e-05
87,5.0832646048378135e-05
88,6.481144365951092e-05
89,7.964547775984459e-05
90,8.4113308189844e-05
91,7.228252165718378e-05
92,5.633846025933636e-05
93,5.1798065407129434e-05
94,5.730596324069786e-05
95,6.399794756672963e-05
96,6.473210746382026e-05
97,6.182450270356951e-05
98,6.050425600314377e-05
99,6.295747249786733e-05
100,6.657860476175333e-05
101,6.602748658135466e-05
102,6.148251681863402e-05
103,5.76624665396892e-05
104,5.9051291601676834e-05
105,6.467252038678283e-05
106,7.075006252352325e-05
107,7.511228499448597e-05
108,7.973851603900451e-05
109,9.059505046489196e-05
110,0.00010833073288257982
111,0.0001259228038766666
112,0.00013417807136214684
113,0.0001345840606981305
114,0.00013910346078773245
115,0.0001563094274529199
116,0.00018099036758413846
117,0.00019189237933830075
118,0.0001866547182980469
119,0.00017775613233166656
120,0.00017868352557778166
121,0.00018716617970463616
122,0.00020307250941478146
123,0.00022680911554214106
124,0.0002578544129920088
125,0.0002944951430731454
126,0.0003393399107012374
127,0.0003827000972195598
128,0.0004023599824696982
129,0.00039610435854400095
130,0.00039948820695911416
131,0.0004371200166644082
132,0.0005085373140327052
133,0.0005598340643694341
134,0.0005867907054082157
135,0.0005976042537937319
136,0.0006064182039156085
137,0.0006133063884880771
138,0.0006175454280962476
139,0.0006228973939551285
140,0.0006307127905891374
141,0.0006168985991642106
142,0.0005758188470004679
143,0.0005162437734411154
144,0.0004583376362963917
145,0.0004021473170750264
146,0.0003474603768630662
147,0.00029396563115329167
148,0.00024209022258079435
149,0.00019085285548845615
150,0.00013774738483763994
151,8.587439960883063e-05
152,5.060829424863173e-05
153,3.602141855639745e-05
154,3.129689488004976e-05
155,3.223506860836547e-05
156,4.1623011463209455e-05
157,4.213503907159497e-05
158,2.7654722557415088e-05
159,2.336825788679071e-06
160,9.202575181173028e-06
161,3.1493593384067287e-06
162,9.082728379364217e-06
163,1.968850561853528e-05
164,2.9446909779051786e-05
165,3.523942593155956e-05
166,3.629276510523267e-05
167,3.329712728970085e-05
168,2.815139477308628e-05
169,1.8256137373608775e-05
170,8.520397138592599e-06
171,4.411149100580352e-06
172,8.266738733872245e-06
173,1.3419922466125475e-05
174,1.693559851305617e-05
175,1.8779624906350405e-05
176,3.171117341033054e-05
177,6.101972611845048e-05
178,9.176174323817447e-05
179,0.00011052809410961357
180,0.00011151147338934194
181,0.00011499868760437871
182,0.0001257704729454033
183,0.0001441985748637622
184,0.00016160610936841494
185,0.0001773227614768162
186,0.00019085949137350822
187,0.00020051961875584587
188,0.00019914503933105192
189,0.00021086967435095103
190,0.0002469951155013557
191,0.0003116410923479303
192,0.0003508566817176969
193,0.0003484962996694866
194,0.00033638207251762323
195,0.00035711479693129766
196,0.00043781100933655255
197,0.0004985771449944982
198,0.00051200699864013
199,0.0004689473520352575
200,0.00045113804073598513
201,0.00047280341274844387
202,0.0005083531852085644
203,0.0005243169051327777
204,0.0005124359531209696
205,0.000495133052708264
206,0.00047780705126227135
207,0.00046059814034774335
208,0.00044173093761235607
209,0.0004161599056093594
210,0.0003925710328546775
211,0.0003850806360517166
212,0.00040456545170645426
213,0.00042171706299920167
214,0.0004253921656183063
215,0.0004099561457681988
216,0.00040792846389546545
217,0.00042756955124596835
218,0.0004555068537958562
219,0.0004684771780636508
220,0.00045190150723804974
221,0.00044503687666030517
222,0.0004647520232057576
223,0.0005231398848387315
224,0.0005606170082132898
225,0.0005677914644139427
226,0.0005601678969485036
227,0.0005665179633338155
228,0.0006016831715339225
229,0.0006263369566269928
230,0.0006256989604429775
231,0.0005919861730906129
232,0.0005594617300682197
233,0.0005311287657031117
234,0.00050228440787563
235,0.0004623277735949303
236,0.00039858115168152044
237,0.0003455758308044251
238,0.0003203821156784499
239,0.00033817987646107876
240,0.0003306645667790828
241,0.0002860465063502096
242,0.0002227317152227643
243,0.00017551399586658527
244,0.00014839974689579935
245,0.00012957131765941931
246,0.00011494061794815522
247,0.00010401774731981906
248,0.00010002253685318609
249,0.0001081116354355026
250,0.00011993897946124165
251,0.00011803663201812638
252,9.45435379592983e-05
253,7.242117315304967e-05
254,6.1069483932305e-05
255,6.425547879173633e-05
256,6.463021378856696e-05
257,6.177666997582223e-05
258,5.638588532179033e-05
259,4.863598691157172e-05
260,3.5383467668525755e-05
261,2.632383126321983e-05
262,2.6831283961091638e-05
263,4.0736679171358474e-05
264,4.853010717567283e-05
265,5.0541255955955625e-05
266,4.61428192181047e-05
267,3.0098404213889792e-05
268,7.643309789670797e-06
269,3.250489773638675e-05
270,2.4788337287931394e-05
271,2.7024811735050156e-05
272,5.5655303820052004e-05
273,5.489158818919709e-05
274,3.698421073881414e-05
