,ri
0,0.0
1,0.0
2,6.581750830546023e-06
3,3.631764612682476e-05
4,0.00011598890318157768
5,0.00020689681825267824
6,0.00042606811427422305
7,0.00044346334483376187
8,0.0003028011274812359
9,9.439382951463882e-05
10,3.471945687342035e-05
11,2.277403830915296e-05
12,0.0001601715176891726
13,0.00026175738101009787
14,0.0003256567491558857
15,0.0003503699239390864
16,0.0002967777760603808
17,0.00019762605486680902
18,0.00013452883768783007
19,0.00016278512702808885
20,0.0002478060317840208
21,0.00034292500328980013
22,0.0004498985262769399
23,0.0005467190628487389
24,0.0006199377719714957
25,0.0006662613628441574
26,0.0006688675506066557
27,0.0005786626072538689
28,0.00043931319930081195
29,0.0003583950769265078
30,0.00035891931009712525
31,0.00039322440011846523
32,0.00038533364513308635
33,0.00034043486199492897
34,0.0003107895773998265
35,0.0003588015094387085
36,0.00045630564066748256
37,0.0004963957820377831
38,0.0004498359151595226
39,0.00035681657509127406
40,0.00028237236129527465
41,0.0002254038009596347
42,0.00020005979218090336
43,0.00022537209058766684
44,0.00029642113557905726
45,0.0003793872082314724
46,0.000483722698146393
47,0.0005848814834789002
48,0.000604758624130374
49,0.000537190028603523
50,0.00044510391803540076
51,0.0003745544126058188
52,0.0003261562887176942
53,0.0002994376690485948
54,0.0002963602786524296
55,0.0003213159365778695
56,0.00037098490422426316
57,0.00044520889960727734
58,0.0005316176391533767
59,0.0006277570099477557
60,0.0007388669148170338
61,0.0008026185261232266
62,0.0007877280101358889
63,0.0007046083783204976
64,0.0005964115096641641
65,0.0004493054748522646
66,0.0003120192651434138
67,0.00024413370083463745
68,0.00026675237181492323
69,0.0003365887312196112
70,0.00045632088863357777
71,0.000644566205845778
72,0.0007364949789938386
73,0.0006998685548066987
74,0.0006096000557722231
75,0.0005809916328715927
76,0.0006384934672073048
77,0.0006649399174284929
78,0.0006141566338173736
79,0.0004767966131576021
80,0.0003876347386359279
81,0.0003466576514147989
82,0.00035390272925181113
83,0.0004375602229508785
84,0.0006431237212656234
85,0.0007840575683150485
86,0.0007685126042253954
87,0.0005306787422676222
88,0.0003592553051022314
89,0.0002614768454214972
90,0.00022610142914292742
91,0.0002492510801814834
92,0.00036508218715463887
93,0.00045769509471068666
94,0.0004670979621567965
95,0.0003593273618623626
96,0.00029283610935590035
97,0.00029031182880950634
98,0.00031892268058969156
99,0.0002939891524557526
100,0.00018795992386448957
101,8.948356612495651e-05
102,4.1222565981486104e-05
103,5.667731068944674e-05
104,8.535735854939845e-05
105,0.00014302173890244022
106,0.00020832081636066436
107,0.00021022289892772323
108,0.00010335001251681163
109,8.669575214684669e-06
110,1.7456087486166527e-06
111,0.0001152736116464101
112,0.00018904752215411036
113,0.00019854525084061754
114,0.00016089006122418882
115,0.00014013299148504547
116,0.00015165546115613826
117,0.00016351284633031276
118,0.000136832818858587
119,3.497888819744329e-05
120,6.9610203730568326e-06
121,4.2612789169882625e-05
122,0.00016072449260119072
123,0.00025830526847369983
124,0.0003391196237159049
125,0.00039591303484807995
126,0.0004215301576389939
127,0.00040465511211748085
128,0.0003818213503588259
129,0.00036054962802953196
130,0.0003334314576736376
131,0.00028123820948085
132,0.00018367929352433574
133,7.997309931456094e-05
134,1.3254517175527432e-05
135,0.00014697743913323836
136,0.00015610746244267153
137,5.2483985075519276e-05
138,0.00042990156090075363
139,0.0005960384067769678
140,0.0004361296128929927
141,0.00020057120626498063
142,5.7269485018727224e-05
143,1.6746557793054372e-05
144,5.9360170083230636e-05
145,0.00024690707647317045
146,0.000548370296132869
147,0.0006452740892983028
148,0.0004090164352339614
149,0.00011848809879967883
150,3.058666433551323e-05
151,6.302146312441406e-06
152,9.048422402028414e-05
153,0.0002449180939931443
154,0.0004561129495561205
155,0.0005520666460022962
156,0.0004682275260876172
157,0.000341720548906034
158,0.0002775550835112223
159,0.0003139979923542077
160,0.00033678479577479965
161,0.0003212221548394965
162,0.00027177677904991447
163,0.0002612614847676219
164,0.00032864481075952875
165,0.00039017386233515793
166,0.0003734128392149761
167,0.00023079631838495912
168,0.00010653073824426612
169,1.0824099330158243e-05
170,5.475010271276908e-05
171,6.006269650695925e-05
172,3.210453863829949e-05
173,0.00014026523048303908
174,0.00019804814015836407
175,0.00017730469913227926
176,0.0001690707974408823
177,0.00018652324160771633
178,0.00022829754107389242
179,0.00027064559586605704
180,0.0003147137021964098
181,0.00035861286645993805
182,0.00040434880341804673
183,0.00046228783607365603
184,0.000496940930560124
185,0.0004961597759076906
186,0.0004634338624103495
187,0.0004463721979763617
188,0.00046493814848140314
189,0.00047028033412483815
190,0.0004138086145959456
191,0.00024573271320833546
192,0.0001183295604336149
193,4.9489810791662914e-05
194,3.903015134495477e-05
195,0.00010033235906392376
196,0.00026838268974732995
197,0.00045205631588603743
198,0.0005927978766373595
199,0.0007032115027008755
200,0.0007195091495770675
201,0.0005911671538916936
202,0.0003520351907495343
203,0.00021544701403723542
204,0.0002065283032490859
205,0.00025395177174689646
206,0.00030771353638119184
207,0.00037043759669787334
208,0.0004301243431310469
209,0.00047533361803898315
210,0.0005153898900332669
211,0.0006246294227074541
212,0.0008514746287452189
213,0.0010298980967880745
214,0.0010054699105393255
215,0.0007368458171517807
216,0.00047945488689277936
217,0.00024701124841852864
218,5.999846613650521e-05
219,2.0847235145734477e-05
220,0.0001700504455280593
221,0.0003434418148839996
222,0.0004042693250814975
223,0.00033331284738870255
224,0.0003191906669672582
225,0.0004145855861780344
226,0.0005730605314980505
227,0.0006257866488776511
228,0.0005608770017747428
229,0.0004462923148265534
230,0.0003015344667933116
231,0.00011641181159342637
232,1.1237886084838194e-06
233,3.642223637921745e-05
234,4.83656038896384e-06
235,0.00014626753161441766
236,0.0004081533733654236
237,0.0006271854136258159
238,0.0006621643827859111
239,0.0005192014767438027
240,0.00041883747477678763
241,0.00040404654285120423
242,0.0004254958432635181
243,0.00035387641638996546
244,0.0001843444017091423
245,3.715318069373938e-05
246,7.98557574445046e-06
247,8.08057597073355e-05
248,0.00012520409920073898
249,0.00011614208451884536
250,0.00010136721018587547
251,0.00017121050539107045
252,0.00032292115608820805
253,0.00045363508759677725
254,0.0005033395438722242
255,0.00047356782260250953
256,0.00038865311385823163
257,0.00024240083020990913
258,9.47286235737428e-05
259,6.444793059328108e-05
260,0.00013910260680271989
261,0.00021568909236621553
262,0.0002437222756255737
263,0.00023148976349790716
264,0.00019485834661390434
265,0.0001319575718158224
266,6.174076891017203e-05
267,9.892610527046434e-06
268,7.354000940655526e-05
269,9.788010829011032e-05
270,4.501686716585554e-05
271,5.657394837060684e-05
272,0.00014788462564702503
273,0.00022483976115186607
274,0.0002865183237578799
275,0.00033077250924969505
276,0.0003582278890504731
277,0.00037013951920137554
278,0.00035797825420732187
279,0.0003342406793787066
280,0.00030568663639255736
281,0.0002709936003311851
282,0.0002594557477562441
