,ri
0,0.0
1,0.0
2,8.505443114738026e-07
3,1.6539081326072856e-06
4,1.790345236208986e-06
5,1.5592834004186602e-06
6,6.715035741776717e-07
7,9.107184422810797e-08
8,5.831701067090366e-07
9,8.611331587797112e-07
10,7.342299119667699e-07
11,2.500053999815557e-07
12,1.931925494216413e-06
13,3.4957624868464787e-06
14,4.348471112165226e-06
15,4.741740125366943e-06
16,5.573953707035718e-06
17,6.9548014549045536e-06
18,8.50915890804171e-06
19,9.299513573913648e-06
20,9.289452229623712e-06
21,1.010619756108884e-05
22,1.2802319777502813e-05
23,1.7347821023530874e-05
24,2.234776611781882e-05
25,2.7788439981951377e-05
26,3.3586691074337316e-05
27,3.992857281166886e-05
28,4.709035714116408e-05
29,5.3406073177423956e-05
30,5.7851519513157806e-05
31,6.022764909120641e-05
32,6.164186916223276e-05
33,6.21889285767822e-05
34,6.185020182395254e-05
35,6.011355329181058e-05
36,5.607310515398654e-05
37,5.2249197004219e-05
38,5.0856077053831525e-05
39,5.290139242429004e-05
40,5.474048514509267e-05
41,5.5633338301406346e-05
42,5.56237811879405e-05
43,5.629717757481524e-05
44,5.791299688671042e-05
45,6.000155198968406e-05
46,6.218984394966286e-05
47,6.484725675358124e-05
48,6.701113618427676e-05
49,6.796839901032008e-05
50,6.72228277990247e-05
51,6.858809093573049e-05
52,7.340383663127938e-05
53,7.976489465472097e-05
54,8.538605988168618e-05
55,8.945264269099272e-05
56,9.350642579476464e-05
57,9.514005609084619e-05
58,9.654468801881751e-05
59,9.835278218003451e-05
60,0.00010079791380701061
61,0.00010357110576553756
62,0.00010628417789503829
63,0.00011038807378532757
64,0.00011310781727650087
65,0.00011343145589159428
66,0.00011062630345621726
67,0.00010718775953180915
68,0.00010227686160105567
69,9.706086523474073e-05
70,9.376614345615792e-05
71,9.447540229072147e-05
72,9.594713570528335e-05
73,9.659099968066095e-05
74,9.56504152587991e-05
75,9.47658392453978e-05
76,9.446128382764692e-05
77,9.456771531851656e-05
78,9.464932313804634e-05
79,9.489150908155585e-05
80,9.485970375265165e-05
81,9.414144633722741e-05
82,9.150075072447697e-05
83,8.970165514412069e-05
84,9.041750776638387e-05
85,9.3146094690472e-05
86,9.596078872452028e-05
87,9.85005605984796e-05
88,0.00010044246986301302
89,0.00010147466914691354
90,0.00010046721596037995
91,9.960311947583404e-05
92,0.00010024938824437267
93,0.00010227740461886623
94,0.00010488986330546758
95,0.00010831692628188102
96,0.00011186539252594091
97,0.00011461507957066794
98,0.00011581770887311118
99,0.00011647894941842667
100,0.00011705245380035036
101,0.00011759050687664179
102,0.0001189883898689676
103,0.0001231520177184184
104,0.00012848662468935412
105,0.0001323199425620389
106,0.000132480055242181
107,0.000131240190432728
108,0.00013120248948188056
109,0.00013236772812936815
110,0.0001339350326785885
111,0.00013449030717687196
112,0.00013483147750984915
113,0.0001369120114640211
114,0.00014301778129992412
115,0.00015087633505434
116,0.00015736376883709337
117,0.00016163142338425276
118,0.0001649605880068196
119,0.0001679876020047966
120,0.00017069664028770463
121,0.00017390199684946394
122,0.00017975456523770038
123,0.00018701665271420322
124,0.00019221977180101062
125,0.00019486093285759866
126,0.00019767081730532484
127,0.00020385253206073325
128,0.00021319833402429843
129,0.00022471519876845315
130,0.00023764879698035733
131,0.0002523821113644013
132,0.00026817764615987244
133,0.0002840844996065083
134,0.00030458047414415464
135,0.0003401887894976155
136,0.0003899534240244145
137,0.00043826975247647856
138,0.00047696489136105086
139,0.0005071590864213156
140,0.0005359404267124775
141,0.0005637724942968087
142,0.0005914780387312796
143,0.0006210447379244563
144,0.0006527898694256516
145,0.0006836790497094593
146,0.0007113527888150259
147,0.0007361482232287359
148,0.0007627211100843528
149,0.000791652478439175
150,0.0008220560456523968
151,0.0008523525607829653
152,0.0008824155782549935
153,0.0009125142797545726
154,0.0009408869603563021
155,0.0009673955383883541
156,0.0010003179325028422
157,0.0010403654960315992
158,0.0010862311075306359
159,0.001135499889222421
160,0.0011877622505298473
161,0.0012436682613461275
162,0.0013034405589735906
163,0.0013670116540557818
164,0.0014351766798153052
165,0.0015063647633001863
166,0.0015825486106422137
167,0.001668260093340371
168,0.0017637288303545512
169,0.00186779043635097
170,0.0019818451215411407
171,0.0021078237021114666
172,0.0022338976986685053
173,0.0023643732424499923
174,0.002491658944464308
175,0.0026026510092029237
176,0.0027090025988804442
177,0.0027694257421408495
178,0.002761692392778754
179,0.0026852742720384565
180,0.0025393351324916958
181,0.0023054092656205334
182,0.002007249046198569
183,0.0017158036298740359
184,0.0014253348698687806
185,0.0011602715860004123
186,0.0009370028315313436
187,0.0007580173346613412
188,0.0006114389080036061
189,0.0004990965131180751
190,0.0004168375376594548
191,0.0003503643226757155
192,0.00030302496083882077
193,0.00026529491975155835
194,0.00023175224414946554
195,0.00020289092509220545
196,0.0001777417533619025
197,0.00015658500372277824
198,0.00013912038732559332
199,0.00012362746859854963
200,0.00011019863814341526
201,9.83672109390008e-05
202,8.76333778776728e-05
203,7.785874699171154e-05
204,6.983628718987696e-05
205,6.410316720516897e-05
206,6.022275417351408e-05
207,5.645727474016274e-05
208,5.295889025303099e-05
209,4.9255113157753785e-05
210,4.5009055204660066e-05
211,3.994439014475073e-05
212,3.4914059325263335e-05
213,2.9446288872383868e-05
214,2.3976307561275688e-05
215,2.1283986469535628e-05
216,2.2937917874334797e-05
217,2.5136348752576478e-05
218,2.5588752405348115e-05
219,2.375042766687756e-05
220,2.1338908842375068e-05
221,1.8014646894897842e-05
222,1.4147281805490964e-05
223,1.1599876652594627e-05
224,1.1140871454726046e-05
225,1.096193157135213e-05
226,1.0011456467940807e-05
227,8.124663511179175e-06
228,5.743980340919165e-06
229,2.2203532829936947e-06
230,1.855926272929976e-06
231,3.4583718318908163e-06
232,8.84064025179906e-07
233,1.9039600769726034e-06
234,2.496951040898074e-06
235,5.448485330485399e-07
236,2.666752710260004e-06
237,3.4302279945092514e-06
238,3.0841472290451472e-06
239,2.60227322395472e-06
240,1.679088644222655e-06
241,1.0352789706261162e-06
242,1.1643310320042086e-06
243,2.7260580125703863e-06
244,3.5630656657666716e-06
245,3.1604645036206263e-06
246,1.961039006259692e-06
247,1.7111654820321292e-06
248,2.8072236604544317e-06
249,4.289972579173389e-06
250,5.730932398671152e-06
251,7.3213850214159225e-06
252,8.440296492265485e-06
253,8.978869314175606e-06
254,9.040129480604003e-06
255,8.98111895939078e-06
256,8.973307260316018e-06
257,8.585026253574156e-06
258,7.49911475081202e-06
259,5.141812375995241e-06
260,3.48322653281985e-06
261,2.881322319403911e-06
262,2.921397033823196e-06
263,2.415366493560169e-06
264,1.0258382181196761e-06
265,3.4092986141848054e-07
266,1.2448217863237017e-06
267,1.520061999701683e-06
268,1.7929905086861396e-06
269,2.1757870355413537e-06
270,2.5002944791316615e-06
