,ri
0,0.0
1,0.0
2,5.768042233695707e-07
3,2.0625225692586398e-05
4,4.9593231494765093e-05
5,6.790841404737645e-05
6,3.8802251230996976e-05
7,2.824990526758861e-05
8,8.008472922323304e-05
9,0.00020689719438191128
10,0.0003219399646528459
11,0.00034397438837356425
12,0.00032110600057158866
13,0.00027960058790401645
14,0.00020779427095576368
15,0.00013620335286283563
16,7.169516360308523e-05
17,1.0726925165686554e-05
18,1.533947531163278e-05
19,4.135344029734307e-05
20,0.00013721409472185938
21,0.00020603245903560766
22,0.00017713227529953868
23,0.00013791304202791308
24,0.00016189170731156254
25,0.00027254800235088425
26,0.00037973405227497434
27,0.00042037284564124005
28,0.0004126147189395441
29,0.0003878611201647264
30,0.000342457176611277
31,0.000297489368640985
32,0.0002761545202113213
33,0.00028553504616296306
34,0.0003043300092562977
35,0.00032842579374262374
36,0.00035042567828829
37,0.00034911695754631704
38,0.0002697500151791661
39,0.00017408686203744753
40,0.0001548353538484246
41,0.00025055659560273074
42,0.00036727953974369834
43,0.0003941513319267094
44,0.00034726345981602277
45,0.0002966905717197808
46,0.0002889779739306535
47,0.000306030278646361
48,0.00031813154961460446
49,0.0003536547771631581
50,0.0003930576960475606
51,0.0004124913198868581
52,0.0004276163386346601
53,0.00045130801477287686
54,0.00047683623304636233
55,0.00047799235343310527
56,0.00047905647401720955
57,0.0005048908349786566
58,0.0005377592559357078
59,0.0005435590114119513
60,0.0005226637524829503
61,0.000494487007467972
62,0.0004798420832533939
63,0.00046578809292470647
64,0.0004607698647821412
65,0.0004778146336778373
66,0.0004920218523467557
67,0.0004594978811627236
68,0.0003796875813849043
69,0.0003071829451155987
70,0.00027822153284193745
71,0.00029033881742770507
72,0.0003174894349511364
73,0.0003567808864978709
74,0.0004055602494314091
75,0.00046648798220826163
76,0.0005443097674805832
77,0.0006016300404194973
78,0.000601891910164892
79,0.0005469630041095831
80,0.00046265381978498137
81,0.0003351961000378304
82,0.0001873407994749287
83,0.00011495673632580494
84,0.0001261574768026908
85,0.00017345950502150174
86,0.0002266240872166509
87,0.00028766736923367767
88,0.00030725704734571043
89,0.00025001747047941796
90,0.0001401762999713251
91,0.00013373034792910738
92,0.00026432987663599486
93,0.00039597782630196294
94,0.00036626314601966606
95,0.00015204521648921827
96,2.570750799125578e-05
97,0.00011094014425974965
98,0.00011195277007377623
99,9.132157883767335e-05
100,4.0422766525940005e-05
101,1.1542364003408382e-05
102,3.280028458444861e-05
103,1.879621874934405e-05
104,4.100742056182141e-06
105,3.716383836352696e-05
106,7.799667909508518e-05
107,8.557488809400984e-05
108,5.1385186694966585e-05
109,1.1303730331033624e-07
110,4.685615886813878e-05
111,9.3371007888263e-05
112,0.00011941825576503095
113,0.00011452154272014885
114,7.95700955149572e-05
115,5.673907282053792e-05
116,4.958663765225516e-05
117,4.931001025933812e-05
118,4.826849713526797e-05
119,4.931409216184427e-05
120,4.017722439056983e-05
121,1.4876964672428013e-05
122,2.929612733718836e-05
123,5.110070948953772e-05
124,4.2064947303415706e-05
125,2.2065509920242725e-05
126,1.551656739589226e-05
127,3.201090743825857e-05
128,3.622217485460734e-05
129,1.3416271246233423e-05
130,3.7653038679264456e-05
131,6.332286757046343e-05
132,5.5158120580654534e-05
133,3.127961921864861e-05
134,9.77929674123544e-06
135,1.2355291215118924e-05
136,2.56600948096918e-05
137,2.7904828137553384e-05
138,1.998876352211189e-05
139,1.5809522084841406e-06
140,3.2476872308961045e-05
141,6.815521215274852e-05
142,9.094007794959823e-05
143,9.716497927148266e-05
144,9.703749831629048e-05
145,8.743968955432114e-05
146,6.693754923591281e-05
147,7.072524076912301e-05
148,0.00011246489184204832
149,0.00016388587368206886
150,0.000195701477785033
151,0.00020420690663785552
152,0.0002002801164269356
153,0.00018032306708934902
154,0.000143147924995805
155,0.0001250986940910946
156,0.000136133960520231
157,0.00015596792479763202
158,0.00016300324076323823
159,0.00014733124707961166
160,0.00013833724589605258
161,0.00014254725734239948
162,0.00016002659185875072
163,0.0001799321464262597
164,0.00020102993051806598
165,0.00022606894847581398
166,0.00026129513911891976
167,0.0003245580341217928
168,0.0003621391685184489
169,0.00035334172664018614
170,0.0002981270874094464
171,0.0002736353583800235
172,0.0003054390307679697
173,0.0003401876388178555
174,0.00032541052376057803
175,0.00022278898281586918
176,0.00014694315234902656
177,0.00012258738207230864
178,0.0001482889242060554
179,0.00017218312550707754
180,0.00019206858455455615
181,0.00021283039667085597
182,0.0002400664201544161
183,0.0002827361170137435
184,0.00031353312944517204
185,0.00032574335581107974
186,0.0003207204177810074
187,0.0003160513492989684
188,0.0003072532794357047
189,0.00030410110872345264
190,0.00031555743909572387
191,0.0003502131053654696
192,0.00038085469150916376
193,0.00040362699760599453
194,0.00041934452020218974
195,0.00043565894254178486
196,0.0004582193037007961
197,0.0004737358710966883
198,0.00047158470847594527
199,0.0004447135442779353
200,0.0004143071385170955
201,0.00036652438778005987
202,0.0003136960915529177
203,0.00033761415628397575
204,0.0004914450481233861
205,0.0006414332997420033
206,0.0006962535643921486
207,0.0006161430877838767
208,0.0005444064771707289
209,0.00048459624370306105
210,0.00044154190603065376
211,0.0004374609455020015
212,0.0004905815687470844
213,0.0005524057501127884
214,0.0005963317309665097
215,0.0006142493990135219
216,0.0006337288657578884
217,0.0006621122178381781
218,0.0006953520919232895
219,0.0007028879119346503
220,0.0006691541276462943
221,0.00064662485174483
222,0.0006679072634269146
223,0.0007548354591979647
224,0.000795707548992082
225,0.0007652819896887135
226,0.0007004811594185219
227,0.0006984125768254034
228,0.0007903119018639477
229,0.0008774341450002903
230,0.0009026888758058636
231,0.0008449544467588251
232,0.000819833162765953
233,0.0008336460068542769
234,0.0008737048560721682
235,0.0009239734854354515
236,0.000994368720086577
237,0.0010416362091303357
238,0.0010321822089335833
239,0.0009558628777760268
240,0.000937123491355276
241,0.0009922725061534167
242,0.001078940088149074
243,0.0011386438781590814
244,0.0011684615479815334
245,0.0011932204846288592
246,0.001218722955517306
247,0.0012434778102621254
248,0.001271551879729449
249,0.001306327805126876
250,0.001342005202993162
251,0.0013704102205559844
252,0.001390733385149123
253,0.001409035066024214
254,0.001427355900441834
255,0.001444773378435592
256,0.00145669849961107
257,0.0014618077855787725
258,0.0014697809971432926
259,0.0014965783731036915
260,0.0015427716938033308
261,0.0015727642574485468
262,0.0015691988726056717
263,0.0015435412894219912
264,0.001543750722419807
265,0.0015707016407129372
266,0.0016170007768852362
267,0.0016920641380408993
268,0.001792738925482673
269,0.0018577391409906655
270,0.001867469768580335
271,0.0018379444257758234
272,0.0017978036245153086
273,0.001744379370522268
274,0.0017225707074093898
275,0.001790760772729691
276,0.0019337049165926887
277,0.0020461814261572547
278,0.002109390942435047
279,0.002139159001442424
280,0.0021658690874876915
281,0.0021890718773026714
282,0.002194500807635856
