,ri
0,0.0
1,0.0
2,3.309507171025295e-06
3,1.1757549015019501e-05
4,2.049686131864856e-05
5,2.088423442668749e-05
6,4.126993076883098e-05
7,0.00011686536633249808
8,0.00023162338902814905
9,0.0003048713225084824
10,0.000319021020238561
11,0.00029956675665207967
12,0.0003008160078293367
13,0.00032364967413523317
14,0.00035650389625035365
15,0.00038874079696139775
16,0.0004196277587038328
17,0.0004647979355283732
18,0.0005377679958372532
19,0.0006309805433472853
20,0.0006892704493404465
21,0.0007114987322643301
22,0.0007019583676846891
23,0.0006419134153689462
24,0.0004936087809864116
25,0.0004192049013960023
26,0.0004942036400595001
27,0.0007609369090558328
28,0.0009642982874823921
29,0.0010915444080240348
30,0.001165371806812164
31,0.0012318428707413342
32,0.0012698170906085852
33,0.0013263858793945032
34,0.0014165334968189523
35,0.0015775672043060014
36,0.001746793379434172
37,0.0019403605532330019
38,0.002147846518282523
39,0.0022973953773067087
40,0.0023844926730146794
41,0.0024192150385035104
42,0.0024085163716252283
43,0.0023545046757494784
44,0.002255280862892728
45,0.002097760232556359
46,0.0018667186650245709
47,0.001658946815762475
48,0.0014611950510718898
49,0.0013000969410973929
50,0.0011753065973576157
51,0.001192510543785115
52,0.0011766606203864043
53,0.0010610254829354804
54,0.0007546235803350588
55,0.0005397076102641073
56,0.00050617857574392
57,0.0005871097259768215
58,0.0006339139981109312
59,0.00060810823554892
60,0.0005494223327975713
61,0.0004776353933068857
62,0.00036941957948923005
63,0.00027839388912615794
64,0.00022036206432050255
65,0.00019215895843304219
66,0.0001735012436608285
67,0.00015197549762746204
68,0.00013982477456815615
69,0.00014754058526254254
70,0.0002254076065139734
71,0.0002918970487139519
72,0.00030652191113800795
73,0.0002719677775127308
74,0.00020590967489941746
75,0.00014953542874936434
76,0.00011314335808778245
77,8.10186276603646e-05
78,7.712050217436381e-05
79,8.759440437145181e-05
80,0.00010756563143705682
81,0.00014162719598882176
82,0.00016792524488171736
83,0.0001715160762550477
84,0.00015651530750730323
85,0.0001331339530233932
86,9.38228160563368e-05
87,5.454370754584303e-05
88,3.1586985365149276e-05
89,3.184153226980727e-05
90,4.449289827544207e-05
91,7.533609774225991e-05
92,0.00011861313988637538
93,0.00013818601400522774
94,7.553034192757313e-05
95,2.1013856213619783e-05
96,7.662512138249716e-05
97,3.5565645376307824e-05
98,4.035126855519208e-05
99,8.471185898873756e-05
100,9.750436068942648e-05
101,4.382639536204845e-05
102,9.788133515193109e-05
103,0.00013218337230865804
104,0.0001418927698559648
105,6.909213521284474e-05
106,0.00010506994080089717
107,9.042380984805943e-05
108,7.382695896626379e-05
109,0.00012342014154950766
110,5.169694481347194e-05
111,0.00010051632365606404
112,0.00010075717325119647
113,0.00012310903041136165
114,9.759526244427102e-05
115,8.686959364503195e-05
116,0.0001240314311108573
117,0.00013468259722766547
118,0.00010367047474864818
119,0.00012744597245574105
120,5.33421299172214e-05
121,6.408179447653763e-05
122,0.00011201942472634527
123,8.296303300396783e-05
124,0.00010739582878112638
125,0.0001117348756872907
126,2.405458038867628e-05
127,9.679653022859965e-05
128,0.00010032352459973745
129,3.276393296930292e-05
130,0.0001002939937030539
131,4.269815802949891e-05
132,7.700870888090804e-05
133,0.00010920103050429893
134,0.000119641569071304
135,0.00010596089423700958
136,7.864814488455848e-05
137,4.517983719765765e-05
138,5.453001023631747e-06
139,2.678823036199509e-05
140,3.9394247591712096e-05
141,3.351940556291763e-05
142,5.054060600530171e-05
143,0.00010215164418368729
144,0.00015686370925647414
145,0.00014484587523224424
146,5.551759881944969e-05
147,2.2394425633576056e-05
148,2.3271383309611314e-05
149,6.055929257159743e-05
150,8.819859395125836e-05
151,3.491906011025184e-05
152,6.775212365205706e-05
153,0.0001360144720839414
154,0.00016400030596984487
155,0.00017750849209324454
156,0.00019786973119808148
157,0.00022997547074566396
158,0.00023240658610721403
159,0.00018862231939671093
160,0.00011117564218530773
161,6.385724970627623e-05
162,5.1117196763048155e-05
163,5.793677615893615e-05
164,7.732940185255246e-05
165,0.00011567115572012356
166,0.00013874936298323786
167,0.00013366356138115002
168,0.00010210774053675615
169,8.544482212759294e-05
170,8.12652106476723e-05
171,9.577835831789142e-05
172,0.00014580152960635642
173,0.00025103634077512096
174,0.0003320186988395056
175,0.00036030191513818197
176,0.0003288284195222554
177,0.00030676664059031103
178,0.00029472023385274744
179,0.0002911835948164162
180,0.0002938669794336779
181,0.00030254466483998853
182,0.00031767720736022154
183,0.00033887379385103266
184,0.0003646085565976132
185,0.00040158673701874486
186,0.0004523999854568851
187,0.0005132816988717414
188,0.0005795370930075789
189,0.0006629466394525717
190,0.0007311809178246829
191,0.0007740616647600592
192,0.0008010986143869945
193,0.0007735425178795319
194,0.0006680755907212498
195,0.0005089521238436091
196,0.0003822735305876988
197,0.00029344333672965897
198,0.00022896969238680857
199,0.0001862292172106791
200,0.000180206642158848
201,0.0001593964705927259
202,0.00010926114472855848
203,3.671007757826202e-05
204,6.128237542640284e-06
205,3.0234690207975135e-06
206,1.0626817264175625e-05
207,3.3719681590957705e-06
208,5.4608911137403376e-05
209,7.127863107755807e-05
210,1.3743379295183295e-05
211,0.00011763772494416324
212,0.0001906937233039772
213,0.00018129284508739478
214,0.00013731029725517013
215,0.00010262669892219836
216,7.763812538628576e-05
217,5.990582723493113e-05
218,4.3168610346346e-05
219,2.302959123905281e-05
220,3.461361953258601e-05
221,0.00010484434359974332
222,0.00018609067332304665
223,0.00021678819750484146
224,0.00015913901772217088
225,0.00011610354773768116
226,0.0001257157446527125
227,0.00021068535496255667
228,0.0002411024927050954
229,0.00017687938974634215
230,8.170660330554886e-05
231,5.881861899926321e-05
232,0.00014764920555539722
233,0.0002476695043947201
234,0.00032667172158892967
235,0.000377786405084175
236,0.0004283957646718086
237,0.0004821297444553427
238,0.0005337543071560924
239,0.0005733002618755543
240,0.0005980614475070037
241,0.0006145948226688534
242,0.0006224038598908019
243,0.0006075322259843529
244,0.0006173622446782731
245,0.0006630397874405151
246,0.0007314507799550146
247,0.0007840219021420148
248,0.0008192549322325385
249,0.0008416256860249964
250,0.0008478601609684557
251,0.0008141077597722897
252,0.0008199335145393096
253,0.0008832757171331617
254,0.0009884086938321394
255,0.0010749909267197622
256,0.0011428497857138217
257,0.0011946815359290693
258,0.0012290536147178772
259,0.0012321809052608182
260,0.0012453488577554063
261,0.0012702822022313512
262,0.0013068293572242931
263,0.0013656272574721067
264,0.001462239156764739
265,0.0015632696950132674
266,0.0016474297660558877
267,0.0017052600581996017
268,0.0017585774638448125
269,0.0018136981391385723
270,0.0018699183690960818
271,0.0018888071474269204
272,0.0018562336259095316
273,0.0018030937198028972
274,0.0017537928302651254
275,0.00170993159472816
276,0.0016694020098223553
277,0.0016385500767499225
278,0.0016145687895335469
279,0.0015587346603422514
280,0.0014617270784499068
