,ri
0,0.0
1,0.0
2,1.1408528088003058e-06
3,4.231223695564012e-06
4,1.5069575364283563e-05
5,3.216872501583703e-05
6,3.543569514451645e-05
7,3.256851828653215e-05
8,3.8730559953894826e-05
9,5.2775973732669205e-05
10,6.546393784206415e-05
11,6.592269101710001e-05
12,5.611803085431204e-05
13,4.6432235565890415e-05
14,3.7252019932891094e-05
15,3.0383651415642162e-05
16,3.204053142858119e-05
17,4.158032931168339e-05
18,6.0608678128975275e-05
19,8.929693962931894e-05
20,0.00012755496674077252
21,0.00018111635102955874
22,0.0002493877436755206
23,0.00033250794739037644
24,0.00044167736240952635
25,0.0005773012999678254
26,0.0007363656102502956
27,0.0009185928707494388
28,0.0011285562848003911
29,0.0013404604369642347
30,0.0015486419449093362
31,0.0017692501520309475
32,0.0019214886491893792
33,0.001991989329842019
34,0.0019913948530402383
35,0.0019534775983231596
36,0.0018641981576520057
37,0.001759066611986491
38,0.0016577930683345852
39,0.0015465493865670673
40,0.0014689305321478718
41,0.0014324552647499845
42,0.0014368937200100506
43,0.001460410612568707
44,0.0014966746120570382
45,0.0015568054832673307
46,0.0016520046934446293
47,0.0017959726464207456
48,0.00195553662207661
49,0.00212299250592104
50,0.0022981336029429546
51,0.0024890667475592557
52,0.002699773105182485
53,0.0029255520410399966
54,0.0031581930683494508
55,0.003386042307776652
56,0.003628585794304284
57,0.0038852717315163345
58,0.004142448493164729
59,0.004442735493038681
60,0.004817603418444778
61,0.005235377325944542
62,0.005632082365869391
63,0.006055066329031943
64,0.006417377075225037
65,0.006687821339649587
66,0.0068738224608303955
67,0.006949866713874617
68,0.0068989154790635165
69,0.0067309955984538
70,0.006482818301004674
71,0.006130168564990266
72,0.005720909394451395
73,0.005282636707386632
74,0.00477500839344743
75,0.004285558875246788
76,0.003839497017779204
77,0.003432445032904382
78,0.0030631468978411236
79,0.0027299146033322695
80,0.0024326719344032323
81,0.0021751683629438086
82,0.0019673776853883908
83,0.001789344687370736
84,0.0016299367999828263
85,0.0014887381943233138
86,0.0013744748752626472
87,0.001308404113792919
88,0.0012695722793807927
89,0.0012276948945841577
90,0.0011568180168169547
91,0.0010860984467572997
92,0.0010384220169742664
93,0.0010155834376894368
94,0.0010122997917243178
95,0.0010367965039962685
96,0.0010817410842301946
97,0.0011273789158729667
98,0.0011583298170528681
99,0.001188789588936529
100,0.0012327415453414303
101,0.0012944845156941933
102,0.0013629237337141964
103,0.0014225476229135343
104,0.001485011282065995
105,0.0015634249062401867
106,0.0016720041124961328
107,0.0017952165938728394
108,0.0019171221408653238
109,0.0020428085603171344
110,0.002152878836335906
111,0.0022294236693332172
112,0.0022685676802812536
113,0.002260140742971085
114,0.0021811652620042357
115,0.0020508321679817867
116,0.0019064657631185276
117,0.0017511570219238212
118,0.0015930935666876316
119,0.0014458145303555445
120,0.0013081794320478357
121,0.0011824027740661137
122,0.0010740833084435613
123,0.000983369806810573
124,0.0009074249380932129
125,0.0008475550269559072
126,0.0008006623919715299
127,0.0007623354055510697
128,0.0007323951149341958
129,0.0007088803563948277
130,0.000689404686648688
131,0.0006742156519332364
132,0.0006643174607536348
133,0.0006585010387530307
134,0.0006581361214547066
135,0.0006696567770133226
136,0.0006940644701949553
137,0.0007256799659532582
138,0.0007563824063160051
139,0.0007863178191745054
140,0.0008252106255663017
141,0.0008772343574997943
142,0.0009418936176401658
143,0.0010149798150907055
144,0.001096124069374411
145,0.0011860223756392136
146,0.001285946609381026
147,0.0013963119897813998
148,0.0015109411407200853
149,0.0016292856192399523
150,0.0017525721815719582
151,0.0018700081775947447
152,0.0019903500981685958
153,0.002090556327316381
154,0.0021302646339362618
155,0.00210902565453807
156,0.002031630567284263
157,0.0018844271362069666
158,0.0016635783946255577
159,0.0014466983192008588
160,0.0012314864371399266
161,0.0010288161864371818
162,0.0008703058065900123
163,0.0007635008849424586
164,0.0006727072051562046
165,0.0005727027932611263
166,0.00045969702128115025
167,0.0003722872863665721
168,0.0003191026479401658
169,0.0002914524953656808
170,0.0002606064659908114
171,0.000224578519521772
172,0.00019056237400792874
173,0.00016412986235344023
174,0.0001474722565356608
175,0.00013034797118548848
176,0.0001111225914158935
177,9.050610544414134e-05
178,7.255875934040583e-05
179,5.88018344834393e-05
180,4.457728502839493e-05
181,2.4696554032516674e-05
182,4.990071808737866e-06
183,2.6350452515649853e-05
184,3.477390527718003e-05
185,3.1891119592400256e-05
186,3.211979500215198e-05
187,3.630164968577733e-05
188,4.2275684253828055e-05
189,4.909036999157667e-05
190,5.892072984379548e-05
191,6.346049004808277e-05
192,5.952544993816093e-05
193,4.763621876244087e-05
194,3.969449646648513e-05
195,3.6897833702989006e-05
196,3.6531453077152944e-05
197,3.6033068115331686e-05
198,3.492743272198868e-05
199,3.5153791196512956e-05
200,3.934067606846106e-05
201,4.787663127827904e-05
202,4.3868546736712735e-05
203,1.8808965537241844e-05
204,9.327401991922313e-06
205,2.0178734595113572e-05
206,4.4806082382106e-06
207,9.649864500802186e-06
208,1.621168419586507e-05
209,1.504854917709442e-05
210,8.939071453405115e-06
211,6.588519324960306e-06
212,2.2867190386289643e-05
213,2.9356441231149485e-05
214,2.2097504503729475e-05
215,1.2336741117704805e-05
216,1.8689039750429242e-06
217,9.777695304778984e-06
218,1.8282012154346288e-05
219,2.358812612250479e-05
220,2.5693528212291082e-05
221,2.4422841669981826e-05
222,1.8842923881318962e-05
223,1.1523234673355926e-05
224,3.6923137074551985e-06
225,3.8312170229400405e-06
226,1.700425591099431e-05
227,4.0271321880151637e-05
228,6.595674386774562e-05
229,8.2662182203576e-05
230,8.546701521234789e-05
231,8.720130220207677e-05
232,9.01499681108898e-05
233,9.246498272098406e-05
234,0.00010507572581812714
235,0.00013363597664715397
236,0.00016892613167619852
237,0.00019582260960998465
238,0.00020882921328513419
239,0.0002226519269081645
240,0.00024245730263436878
241,0.00027046408031794266
242,0.00029562517376636587
243,0.0003146202928547377
244,0.00033308443745815475
245,0.00036090717122109524
246,0.00040026458409797566
247,0.0004455320109642535
248,0.0004968219451224195
249,0.0005586630803624511
250,0.0006103161026595511
251,0.0006432092662518352
252,0.0006708777409062111
253,0.0007167908610371924
254,0.0007842776967347527
255,0.0008644906040290014
256,0.0009566939559852222
257,0.0010659490366358084
258,0.0011691608795214184
259,0.001257467817116838
260,0.001344261125316954
261,0.00145306379387839
262,0.001592287212256498
263,0.0017395229584830194
264,0.0018844795721094827
265,0.002020641587388368
266,0.0021805238367781092
267,0.002368414174748987
268,0.002575122904525163
269,0.002783649513875196
270,0.002989722001043518
271,0.003202111185305635
272,0.0034356369160400977
273,0.00371130343052337
274,0.0039214890874402185
275,0.004061267350833322
276,0.0041378938862833906
277,0.004157618321706583
278,0.004098167592929508
279,0.004022638553113496
280,0.003945204138932802
281,0.003853980911549774
282,0.0038143125415765777
