,ri
0,0.0
1,0.0
2,1.1946428855714679e-05
3,2.1808622379763576e-05
4,2.1414985250140597e-06
5,6.160613346574863e-06
6,4.640395749221354e-06
7,2.336291966132244e-05
8,4.321273966404275e-05
9,6.322494073592484e-05
10,8.262167642963809e-05
11,9.902580191721374e-05
12,0.00011343706612926785
13,0.00013105984394726946
14,0.00015210430876566448
15,0.0001783069447636696
16,0.0002106222176808116
17,0.0002642422669538464
18,0.0003127362589955747
19,0.0003377615320252586
20,0.00033846542582510866
21,0.00033973335517560854
22,0.00035230189044928686
23,0.00037473978586876456
24,0.0004049323906449117
25,0.0004462159624399158
26,0.0004926808221124075
27,0.0005433163379189612
28,0.0005997326613591289
29,0.0006484563356848412
30,0.0006756442151453658
31,0.0006874035917585965
32,0.0006979775880516408
33,0.0007320226788683933
34,0.0007605660846720166
35,0.0007502312727096112
36,0.0006925397449144737
37,0.0006096520557193449
38,0.0004982753005498997
39,0.0003712976694680633
40,0.00027426187821237477
41,0.00026508913686195545
42,0.00029603641199976423
43,0.0002898974959828477
44,0.00021931584802255844
45,0.00013150568294570224
46,8.050481344527139e-05
47,6.373675957081689e-05
48,6.284071657126927e-05
49,7.512643233443626e-05
50,9.336540303105376e-05
51,9.975220369007738e-05
52,8.474214722234404e-05
53,6.105010042001596e-05
54,4.631624172403142e-05
55,4.062104159199823e-05
56,4.451039260423463e-05
57,6.575284147285112e-05
58,9.909540440896015e-05
59,0.00012524067180028694
60,0.0001363889331910828
61,0.0001378772506361824
62,0.0001399846858086338
63,0.00014284604899535196
64,0.0001470913555834459
65,0.00015986495690149314
66,0.00017838741522127743
67,0.00018220783185442284
68,0.00015235299514295805
69,0.00010174582215994177
70,7.857138450218601e-05
71,8.483710830110043e-05
72,0.00011003052301573054
73,0.00015511363663513533
74,0.00021875032777711887
75,0.0002604341732874564
76,0.000250969244002402
77,0.00019776386998416183
78,0.00016940308163968532
79,0.00017179032239222477
80,0.00018358013524864648
81,0.00016390792928363144
82,0.00010965283150815015
83,7.11022413413891e-05
84,8.21062349394589e-05
85,0.0001417405007140139
86,0.00017994174219673208
87,0.0001904287353750934
88,0.00018591749025624824
89,0.00019087310452568424
90,0.00020696125726809203
91,0.0002213950146062118
92,0.0002265856560608751
93,0.00022179365515727643
94,0.0002155083482340844
95,0.000207610811238635
96,0.00019902600902498138
97,0.00018991042842396986
98,0.0001780401451099403
99,0.00017392961911486552
100,0.00019052954615132167
101,0.00023310717792512632
102,0.0002560808996942473
103,0.00025239959896290737
104,0.0002278629389885508
105,0.00019684528931770487
106,0.00015270605556397544
107,0.00011953243604799919
108,0.00011795929798955759
109,0.00015469539811284515
110,0.00019103553013568976
111,0.00022737284123843367
112,0.0002596156610498328
113,0.00026177900982806855
114,0.00021930129801361827
115,0.00017598993007468828
116,0.00017046152055534263
117,0.00021739465296454112
118,0.00025152377750639696
119,0.0002593938476482349
120,0.0002447905381651185
121,0.0002416659979799582
122,0.0002643525797767294
123,0.00028368256359269275
124,0.00027113080537013925
125,0.0002142992127972611
126,0.0001594220724456921
127,0.00010935994576696384
128,6.48031564505476e-05
129,4.940525316287152e-05
130,7.458272225545905e-05
131,0.00011349940846349207
132,0.00014005572845432633
133,0.00014736611320124857
134,0.00015866948065673615
135,0.00018397313395950986
136,0.0002247427044182809
137,0.00023399458000099725
138,0.00019503722800267125
139,0.0001434948754654479
140,0.0001192917521756227
141,0.00013700659591754058
142,0.00015198553318247947
143,0.0001506007583520214
144,0.00013063719588145354
145,0.00012675146752450428
146,0.0001444764665787845
147,0.00017310620738443554
148,0.00020518660158582922
149,0.00025590258784999087
150,0.0002790529882990996
151,0.00025035086862244517
152,0.00015714276900437202
153,0.00011432439397039924
154,0.00014672380454127992
155,0.00020868231546844265
156,0.00024129185489292544
157,0.00022964917529017412
158,0.00021501825048396732
159,0.00020569110087540748
160,0.0001999190529410536
161,0.0002115443616147641
162,0.0002554646028869962
163,0.00030591957980710883
164,0.00032221069032728396
165,0.0002767796236369387
166,0.00024349291491882244
167,0.00024768302055463114
168,0.0002982539521378281
169,0.0003437966678763672
170,0.0003848839630201582
171,0.0004200989933312829
172,0.00044749487853186027
173,0.0004681616815365707
174,0.00047864733848962117
175,0.00047058440649458665
176,0.00042886359208398273
177,0.0004305600043508225
178,0.0005006031535108467
179,0.0005998297603983826
180,0.0006571021588543561
181,0.0006385520852114813
182,0.0006341067605413038
183,0.0006804382946216703
184,0.0008024702588891624
185,0.0008896467859236225
186,0.0009281429917202326
187,0.0009399757122560801
188,0.0009611643854794095
189,0.0009880354310717882
190,0.001030723227198997
191,0.0010964732329047995
192,0.0011953576176432837
193,0.0012817598763448564
194,0.0013424975524402522
195,0.0013977357705647036
196,0.0014851966166514127
197,0.0016211812971451255
198,0.0017612147403306567
199,0.0018860211537518714
200,0.001984567770425673
201,0.0021076742083125525
202,0.0022605814400205476
203,0.002434226888552643
204,0.002612782222754648
205,0.0027983497704489376
206,0.0029809627755115003
207,0.0031601832529793415
208,0.0033393131640650038
209,0.003502366799966578
210,0.0036721193787597846
211,0.0038082911307970135
212,0.003839720634802554
213,0.0037622195667743434
214,0.0035865193006531476
215,0.003289743659117536
216,0.00282952093756105
217,0.002433080704174908
218,0.002105098262852228
219,0.00183837284386242
220,0.0016108745459142474
221,0.0014313023442506995
222,0.0012745335698638813
223,0.0011330859548910536
224,0.0010051630186365438
225,0.0008959320928468144
226,0.0008038940811925927
227,0.0007310381777532685
228,0.0006854984314043091
229,0.0006799539871812334
230,0.0006644617909274564
231,0.0006106589757257957
232,0.0005074133000422374
233,0.00044239554580677044
234,0.00042678739488990905
235,0.0004375992392882813
236,0.0004343501332102557
237,0.000411556207980181
238,0.0003944459913444663
239,0.00039930317034933777
240,0.00043091098619913414
241,0.00043184025666807775
242,0.0003909980846340849
243,0.0003357338843508117
244,0.0003124296695214785
245,0.0003260282860403287
246,0.0003461064075608785
247,0.00036859582188956264
248,0.00039432424637170173
249,0.0003870109367760435
250,0.0003387118851602176
251,0.0002722559070818591
252,0.00022275930064857046
253,0.0001930726798567914
254,0.00015885937312035318
255,9.835667966934106e-05
256,1.4693258232262333e-05
257,1.050015648236778e-05
258,3.702457632094812e-05
259,0.00010634996463178547
260,0.00012808972686719752
261,0.0001014812050075535
262,6.802482536885743e-05
263,3.3459274793536185e-05
264,1.348404262192042e-06
265,1.627509066339306e-05
266,7.342280445091806e-06
267,1.2068944385075214e-05
268,3.190788751376535e-05
269,5.113063182506047e-05
270,5.233259618604894e-05
271,1.5550143891423433e-05
272,4.604872941680301e-05
273,7.467841083466247e-05
274,6.835395250986306e-05
275,3.944736066675568e-05
276,1.019132808852847e-05
277,7.878307228531747e-05
278,0.00013129689031741093
279,0.00015291346742611227
280,0.00014945398009637024
281,0.00012750541038571896
282,8.314871338612571e-05
