,ri
0,0.0
1,0.0
2,4.787692529790624e-06
3,1.8697928723005763e-06
4,1.847881704526522e-06
5,1.555726568229557e-06
6,7.906448142312508e-06
7,9.542515970679075e-06
8,1.1426921274276681e-05
9,2.5925117575772482e-05
10,5.81644321916604e-05
11,0.00010027128887321939
12,0.0001457233358888252
13,0.00019447668919976487
14,0.00022608787494709647
15,0.0002101398506013832
16,0.0001594655655830855
17,0.0001226028795746105
18,0.00011108832110840907
19,0.00012296075793036883
20,0.0001607401098944892
21,0.0002270775563144052
22,0.0002945471623184992
23,0.00032214119156933664
24,0.0003178830187716029
25,0.0003463389290469273
26,0.00045032063489594
27,0.0006049218408320919
28,0.0007168099658416275
29,0.000777687804053713
30,0.0008231397575796753
31,0.0008963173737746849
32,0.0009960152906636132
33,0.0011031927530003186
34,0.001212257771241611
35,0.0013229878400356874
36,0.0014354642953724923
37,0.0015505547211447734
38,0.001664239997573521
39,0.0017706536495218914
40,0.001870289302308172
41,0.001955697701129118
42,0.002019372562498878
43,0.0020630210073098627
44,0.0021009936958569786
45,0.0021355521426192742
46,0.0021616226646377613
47,0.0021660344409199545
48,0.0021457331648089507
49,0.0021222728736401955
50,0.0021184968269345847
51,0.0021385606393508057
52,0.00210325427543959
53,0.0019985271766620348
54,0.0018696358096993032
55,0.0017905790972655624
56,0.001790713722352368
57,0.0018151266729895606
58,0.0018148424644729708
59,0.0017802288588209425
60,0.0017642851349988354
61,0.001760325848591739
62,0.001756922825564152
63,0.0017354594731830136
64,0.0016874516062902604
65,0.0016585941579956094
66,0.0016824041004314847
67,0.0017743679930627165
68,0.0018443206840012254
69,0.0018689748379189448
70,0.0018632738394513005
71,0.0019047196682587149
72,0.0020080659250000764
73,0.002129613680456848
74,0.002240935538695007
75,0.0023506914454026148
76,0.0024238760733208955
77,0.002450750606274472
78,0.002434985447671669
79,0.002413767038156802
80,0.0023929188476306505
81,0.0023571291422619456
82,0.0022922417202144987
83,0.002192824833194277
84,0.002077855009062259
85,0.001947992284702367
86,0.0018034993660131593
87,0.0016570786908726098
88,0.001506713687667942
89,0.0013587111677574259
90,0.001218041975492073
91,0.0010832271047098929
92,0.000961314739643023
93,0.000857979327700321
94,0.00077280147434053
95,0.0006875542516651765
96,0.0006037422819986011
97,0.0005178121174766398
98,0.0004214155068830454
99,0.0002982429014202449
100,0.00019885901624421934
101,0.0001441091437021681
102,0.00013920822960458105
103,0.00010330605619460685
104,1.059427446134815e-05
105,8.853760938031308e-05
106,0.00013067729962470967
107,8.598491205726216e-05
108,4.082868497198305e-05
109,1.5535351709832207e-05
110,1.207330867023099e-05
111,1.6192696092018197e-05
112,3.682980570081562e-05
113,5.836163924590194e-05
114,5.6367682777916234e-05
115,9.966145592791855e-06
116,2.2050411249254527e-05
117,1.7291928623714984e-05
118,3.551876303254462e-05
119,6.324428546712659e-05
120,5.716014774201903e-05
121,3.5073219437968475e-05
122,1.5338144655590665e-05
123,3.578905094120003e-07
124,1.5937067359481626e-05
125,3.924009024974775e-05
126,7.505465451469032e-05
127,8.34504639126449e-05
128,3.1293470542470304e-05
129,2.7951945002453223e-05
130,2.0341299027435103e-06
131,0.00016361052242240141
132,0.00032314545732104925
133,0.00042778813495042016
134,0.0004619886098673136
135,0.0005004179018338456
136,0.0005405783415311972
137,0.0005876299028594126
138,0.0006518054012707309
139,0.0007390648015456107
140,0.0008336391120058611
141,0.0009296851364358992
142,0.0010248989160584765
143,0.00113107136472632
144,0.001245146492968942
145,0.0013714566108714629
146,0.0015152623806801001
147,0.0016714667470249626
148,0.0018544072816508508
149,0.0020785487022178827
150,0.002368330136463462
151,0.0026124839501427267
152,0.002776437673046839
153,0.0029129110501067493
154,0.003116670793469269
155,0.0034140118002975593
156,0.003734111925967493
157,0.004050113465661343
158,0.004354682156837512
159,0.004683787204980445
160,0.005031784640305102
161,0.005406491131914139
162,0.005826464374065135
163,0.006305591318420668
164,0.006793509093965323
165,0.007265208286135642
166,0.007695891701859176
167,0.008193133199561558
168,0.008787745095985428
169,0.009421633861484844
170,0.009995650924316759
171,0.01050041085915866
172,0.01096670915461734
173,0.01140999964878236
174,0.011824878640252775
175,0.012228127520057478
176,0.012653860659151597
177,0.01304074885132367
178,0.013300135867533567
179,0.013430881134129186
180,0.013429899492871229
181,0.013280886349913232
182,0.012960422549529638
183,0.01259559791325071
184,0.012176240767851136
185,0.01171780495142048
186,0.011240493575943953
187,0.010744362735207716
188,0.010218072135441273
189,0.009638211969883419
190,0.00899521918288877
191,0.008391710811978495
192,0.007840162115196581
193,0.0073194902430114
194,0.0067838020642687746
195,0.006215680458363223
196,0.005696919514493534
197,0.005263518354830111
198,0.004925611256740823
199,0.004593909066298264
200,0.004266315745692586
201,0.003947341235331778
202,0.003653699613701334
203,0.0033854722167911996
204,0.0031355005425897716
205,0.002892927638784037
206,0.0026587940451074316
207,0.0024770698107449743
208,0.002358955929898183
209,0.002270271653964967
210,0.002156104905871602
211,0.002012933930743111
212,0.0018828561802029043
213,0.0017852501875795057
214,0.001718858517166293
215,0.0016574760218579735
216,0.0016036867554040668
217,0.0015477902323830773
218,0.0014750001307608518
219,0.0013851294712501608
220,0.0012918847705014034
221,0.0011886404174715824
222,0.0010810656241495133
223,0.0010251176818245355
224,0.001034141302226258
225,0.0010472335919181068
226,0.0009769667757770512
227,0.0008313566558466437
228,0.0007201441804915139
229,0.0007005697863596172
230,0.0007467230057023358
231,0.0007482238884409314
232,0.0006997809207467937
233,0.0006307629392651475
234,0.0005624022834677587
235,0.000500856181283113
236,0.0004719072066273629
237,0.0005051910155886109
238,0.0005668175188667657
239,0.0005626798542196517
240,0.0004899770719245629
241,0.00040998125602070926
242,0.00038143045375711563
243,0.00039700592187302304
244,0.0004280875822789191
245,0.00048558006700606085
246,0.0005413342052998248
247,0.0005252437962268857
248,0.0004371809459547785
249,0.0003496987598591642
250,0.00033994077830684557
251,0.00038575799587041166
252,0.00042561889474962064
253,0.00044865165777812445
254,0.00045277109194473344
255,0.0004174751053839591
256,0.0003472446567142697
257,0.00029482108697429123
258,0.000325763915259419
259,0.00040042053761641836
260,0.00044070139197474606
261,0.0004055186213723894
262,0.00035366842361670195
263,0.0003598912812750055
264,0.00041452429176253795
265,0.00045966595316134184
266,0.00043882430691024346
267,0.0003906844326407056
268,0.00037193171898654146
269,0.00041386696607828067
270,0.0004590596728224984
271,0.00045066028277119337
272,0.00040048626083587967
273,0.0003507468722537323
274,0.00032583693067108233
275,0.00031364316994401774
276,0.00030196425668434115
277,0.0002854867069971923
278,0.0002745856275723927
279,0.000284548164464941
280,0.0003064634457833144
281,0.00031775521842878116
282,0.00030492965469016624
283,0.0002790154473558036
284,0.00023976802751799644
285,0.00017254682349698757
286,0.00013525324372109086
287,0.00018205649655586467
288,0.00027623272811360224
289,0.0003492240194488871
