,ri
0,0.0
1,0.0
2,9.342117691645371e-06
3,8.547108262326878e-06
4,5.700794743278873e-05
5,0.00012679919754132965
6,0.00022704879371198637
7,0.0003749418432354131
8,0.0005308405690983049
9,0.0006784070366296797
10,0.0008038765248253995
11,0.0009312042172251715
12,0.0010759620796248995
13,0.0012278362740697944
14,0.0013572840673435733
15,0.001437145354850228
16,0.0015018661749900905
17,0.0015746463129560357
18,0.00167734877654062
19,0.0017713002626599166
20,0.0018478135325562643
21,0.0019068175901444352
22,0.0019422903897062529
23,0.0019251882216200537
24,0.0018934750591937902
25,0.0018850817442289767
26,0.001947372131717844
27,0.002011951748532641
28,0.0020289182352115145
29,0.0019955784735881227
30,0.001971766386602421
31,0.002000423561982285
32,0.0020588107424743575
33,0.0021141703343541224
34,0.002152624969495545
35,0.002183836426252859
36,0.00220963955900653
37,0.002227617345477216
38,0.0022587925153465245
39,0.002330519071407676
40,0.0024271210780421764
41,0.0025177152381755472
42,0.002575916251155242
43,0.002623638241955183
44,0.0026852107801378497
45,0.002765565727090461
46,0.0028514157710397723
47,0.002928992404523768
48,0.0030188908030218974
49,0.003115811503194536
50,0.0032549622525519803
51,0.0034279655130372453
52,0.0035724646341485844
53,0.0036526507681874302
54,0.003690382820950303
55,0.0037369420536432756
56,0.0038262535511701824
57,0.003879888727024281
58,0.003880365189640705
59,0.0038540745504351305
60,0.0038100822206458703
61,0.0037541451939395783
62,0.003677786537739951
63,0.0035521786860625744
64,0.003378209878818199
65,0.003212897860899374
66,0.0031212829348294933
67,0.003082735215931882
68,0.0030177958856185925
69,0.002897567959510768
70,0.00273891852976796
71,0.0025759257172999397
72,0.002406039973801605
73,0.0022470592289943964
74,0.002131647992846642
75,0.0020517915961814144
76,0.0019423014335417331
77,0.001760677670618922
78,0.0015316173211587895
79,0.0013454420780965066
80,0.001208055029265221
81,0.0010923120047458313
82,0.0009648827090596432
83,0.0008266159398478349
84,0.000691983854661579
85,0.0005625592534423082
86,0.00043970115903037776
87,0.0003357723564002765
88,0.0002518343159107125
89,0.00018441879991372526
90,0.00013438721179984828
91,0.00010286113194661656
92,7.17340816461857e-05
93,-7.920473148736738e-06
94,3.512737994181864e-05
95,5.9092913133061334e-05
96,6.50015386608571e-05
97,-1.2292011343660465e-06
98,2.5693073044658432e-05
99,1.528375797676326e-05
100,3.343746801357411e-06
101,4.337691994559035e-05
102,-1.2361309833606793e-05
103,2.6847658713370832e-05
104,2.8155422380191082e-05
105,4.68095333356739e-05
106,2.7901666594675924e-05
107,2.0595538348330844e-05
108,5.086352024058675e-05
109,6.032639911782455e-05
110,3.709455524824294e-05
111,5.685129851495859e-05
112,-1.9905298630829718e-07
113,1.014998530084417e-05
114,7.147986833034351e-05
115,0.00012276406404127197
116,0.00016208611357511107
117,0.0002063785201512714
118,0.00025661361459922946
119,0.00030110481021403015
120,0.00033082045834011473
121,0.0003501594764182526
122,0.0004082814470897264
123,0.0005201203179978514
124,0.0006417273036189741
125,0.000734367255390479
126,0.0007862246892704519
127,0.0008536077048373123
128,0.0009538172592158999
129,0.0010795656831420293
130,0.001171763565956177
131,0.0012095958020837618
132,0.001247615941183585
133,0.0013342841755728876
134,0.0014850784406769152
135,0.001644387660705115
136,0.001801061821587782
137,0.0019564186106667616
138,0.002129029026147095
139,0.0023281777782859117
140,0.002529336508482092
141,0.0026987820762520084
142,0.0027990601024105726
143,0.0029571462965438996
144,0.0032202846091447233
145,0.00359575450548516
146,0.0038853412263698444
147,0.004052622202385677
148,0.004177527981664681
149,0.004353358464032831
150,0.00461897059578118
151,0.00485872595328924
152,0.0050477001775693945
153,0.005188294513993156
154,0.005275053307833394
155,0.005275572368100955
156,0.005253767103791052
157,0.005287214148387677
158,0.0053964092828509645
159,0.005521558026510528
160,0.0056460678054030345
161,0.005765835045802264
162,0.005916674906169917
163,0.006123770486781998
164,0.006339672737344002
165,0.006505718381476856
166,0.006612406565286179
167,0.006683252769890495
168,0.006722813366270702
169,0.006729871954833217
170,0.006710049847837367
171,0.006652115464599976
172,0.006575360808013851
173,0.0065111456377698945
174,0.00648650999619554
175,0.006429082051699445
176,0.006310640071557818
177,0.006119259868833802
178,0.005929138663354509
179,0.005737039033633509
180,0.005549552571761591
181,0.005381777778530723
182,0.0052591990931564365
183,0.005113186966584336
184,0.004913298277468358
185,0.004635702006533407
186,0.004395105739838083
187,0.004199311158303625
188,0.004032214772109387
189,0.003866544618382854
190,0.003706615681415147
191,0.003540696252544921
192,0.003361069846153211
193,0.0031567841328254027
194,0.002974679174213819
195,0.002821258211725409
196,0.0026864350681853485
197,0.0025535682612160345
198,0.002419486632343918
199,0.002292626094184951
200,0.00217299611288383
201,0.0020540666262902985
202,0.001969361985849343
203,0.0019337961025313363
204,0.0019269457691521595
205,0.0019081507388559516
206,0.0018632749022282895
207,0.00182403299938622
208,0.0018018632885054748
209,0.0017997838920536659
210,0.0018041872270286273
211,0.0018185189701001249
212,0.0018422300848757237
213,0.0018633048783531637
214,0.0018676072411180223
215,0.001867376898263725
216,0.0018689530113558017
217,0.0018717218586797204
218,0.001899528658727623
219,0.0019605695151164657
220,0.002032624230860452
221,0.002075215571234533
222,0.0020734974659719985
223,0.0020785145226614927
224,0.00211454424706966
225,0.00219333728014724
226,0.0022549745036520037
227,0.0022917536311820295
228,0.0023166133048475503
229,0.002353247284825553
230,0.002397886467835786
231,0.0024525360988632634
232,0.002521765170415148
233,0.0026109488749886424
234,0.00270559612274318
235,0.0028055412561465605
236,0.002908293101452648
237,0.003012059401932115
238,0.0031180581348693283
239,0.0032243613621276332
240,0.0033361139333499355
241,0.0034569476927183785
242,0.0035494003725939586
243,0.003599949585276784
244,0.0036362143856115974
245,0.003712656659422717
246,0.003843817982655759
247,0.003962313604284004
248,0.004038134267926677
249,0.004065491426101464
250,0.004100692862848631
251,0.004141282113619262
252,0.004193535232347577
253,0.004267917041996281
254,0.004367556103387787
255,0.004474716016741184
256,0.004585834356268778
257,0.004700620826866519
258,0.0048093789409829535
259,0.004906440055635267
260,0.005008038608979084
261,0.005148017645997529
262,0.005330386078969851
263,0.005500295487829928
264,0.005629779725760791
265,0.0057208740138723286
266,0.005817752116393829
267,0.005918863163285743
268,0.006029689630018507
269,0.006172204016125009
270,0.006347846753289999
271,0.006493076345233801
272,0.006584017597339401
273,0.0066233857154441005
274,0.006629245259011641
275,0.006599964895772547
276,0.006543175916043512
277,0.006473566621012958
278,0.006390687368807772
279,0.0062673340372591015
280,0.006082567514296834
281,0.0058484634451729765
282,0.005616165831995494
283,0.005389098263763192
284,0.005155653669386571
285,0.0048966583727815365
286,0.004614829157476173
287,0.004343452143607256
288,0.004089661648894875
289,0.0038539088929029305
290,0.0036386818939959896
291,0.003445981164086721
292,0.003248465321908164
293,0.0030029529707334486
294,0.0027239777980542783
