,ri
0,0.0
1,0.0
2,3.1142839994936826e-06
3,2.5440185303459454e-06
4,2.621555137794721e-07
5,7.259524040484366e-06
6,2.3416561278784806e-05
7,3.9463658136721294e-05
8,4.362914742917366e-05
9,3.1961610897660604e-05
10,1.7660911470313295e-05
11,1.2496754416472417e-05
12,1.5305252936074266e-05
13,2.2531491657283528e-05
14,3.4157903978009125e-05
15,4.825052630185917e-05
16,5.984008325984209e-05
17,6.657476120482765e-05
18,7.255579741845741e-05
19,8.386375659891174e-05
20,0.00010048201655363279
21,0.00012155407385659691
22,0.00015026695981810458
23,0.0001847553047973326
24,0.00021130432338042085
25,0.0002229313789522217
26,0.00022459418298171498
27,0.000234509752113101
28,0.000253540627560905
29,0.00027736869409573147
30,0.0003018321172607828
31,0.00032665400670685383
32,0.0003519051200522208
33,0.00037767317335259825
34,0.0004040882787572958
35,0.0004292674649369769
36,0.00045096563944563067
37,0.0004742826137624943
38,0.0005101391830174414
39,0.0005638933362803619
40,0.0006153673106749856
41,0.0006558497323214596
42,0.0006835681521206475
43,0.0007056300558736637
44,0.0007177684960502798
45,0.0007250484900942994
46,0.0007460427432558448
47,0.00078337425798763
48,0.0008305377192110202
49,0.000883212087828096
50,0.0009417483742551414
51,0.001005494117231067
52,0.0010753377342068342
53,0.0011499845362000975
54,0.0012305246875899615
55,0.0013122164045979295
56,0.0014027849864441987
57,0.0015079486428007927
58,0.0016527795462594214
59,0.0017851167595157908
60,0.0018915587311909966
61,0.001963450810454548
62,0.0020469798864428813
63,0.002144913400713787
64,0.0022539166812158545
65,0.002368469464176122
66,0.0025026969584331367
67,0.0026299685694719972
68,0.002743837167197692
69,0.002845655040802485
70,0.0029267675394558856
71,0.002989806144829327
72,0.003031845526464732
73,0.0030477908434593548
74,0.003019492181951616
75,0.0029771370225156386
76,0.0029351385750395666
77,0.0029014556096452235
78,0.0028604015717023437
79,0.002807913745897087
80,0.0027447918102707176
81,0.0026743090356356448
82,0.0025954946976419623
83,0.0025100680309816732
84,0.0024190538515723747
85,0.0023132595167751936
86,0.0022105440155335897
87,0.0021188134883359565
88,0.0020372507139298883
89,0.001955553441571725
90,0.0018698241545192214
91,0.0017812587149986174
92,0.0016911202342122014
93,0.0015863741062808077
94,0.0014907782248946922
95,0.0014241517404556781
96,0.0013860756626043035
97,0.0013538188140824507
98,0.0013174290774021862
99,0.00127876778726577
100,0.0012394882451299935
101,0.0011885829631632515
102,0.0011443214414497474
103,0.0011272328918623133
104,0.0011443850355901404
105,0.0011645974463084176
106,0.0011593707389352468
107,0.0011365076952067053
108,0.001119096935307947
109,0.001123761821344267
110,0.0011372967011278568
111,0.0011478995255557653
112,0.0011576563286263082
113,0.001157502094561677
114,0.0011317996821096593
115,0.0010848536105110148
116,0.0010375340147084527
117,0.0009969075925371808
118,0.0009590876455684925
119,0.000925560229979616
120,0.0008979976523727475
121,0.0008702454618921096
122,0.0008424865465138669
123,0.0008141201974498016
124,0.0007796122625514641
125,0.0007273266222546295
126,0.0006637491479122493
127,0.000608778665343422
128,0.0005690997227672922
129,0.0005406095478712434
130,0.0005144084696424892
131,0.0004906684115502295
132,0.0004697278113760961
133,0.00045538375097854065
134,0.0004456535551115645
135,0.00043115482206909915
136,0.00040104935600706915
137,0.00036354474825867403
138,0.0003476248689202087
139,0.00035602221932060405
140,0.00037165365902919504
141,0.0003723144533155772
142,0.00035933437758438113
143,0.0003496418996213622
144,0.00035218815052532606
145,0.0003651816760517316
146,0.0003775671831186099
147,0.00038862496148882406
148,0.00040051925864370157
149,0.00042087069931028633
150,0.00045006976612993395
151,0.0004708439981850623
152,0.00046719559504104655
153,0.0004411336929540258
154,0.0004312350822600779
155,0.00044309517015322675
156,0.000466559799830543
157,0.000484329756977452
158,0.0004965164409847109
159,0.000501141562409107
160,0.0004966236007661088
161,0.00048288068773704953
162,0.0004622454856302285
163,0.0004339545723740778
164,0.00039963800467062387
165,0.00036334782571359513
166,0.00032483141326253404
167,0.00028537395372708326
168,0.00024282801186992716
169,0.00019548867995482954
170,0.00016105968950663494
171,0.00014681840308769154
172,0.00014656475749325065
173,0.00013276636405895205
174,0.00010163619903406595
175,6.737818179780141e-05
176,4.0073094672482575e-05
177,1.9376520565346707e-05
178,8.061339429638547e-06
179,9.651407843799195e-06
180,2.2179574841757215e-05
181,2.8719727813853395e-05
182,2.8372986245614234e-05
183,2.3770714853731837e-05
184,1.713560925132478e-05
185,8.217491552021386e-06
186,2.1841575640404255e-06
187,1.5239670565085107e-05
188,3.07261448722654e-05
189,4.1485235453429276e-05
190,4.7679904120751535e-05
191,4.8894844589109563e-05
192,4.350004401450463e-05
193,2.873525355571485e-05
194,1.4896496116444997e-05
195,4.064219644195783e-06
196,3.7938553695357017e-06
197,6.986482964190733e-06
198,4.135246258376286e-06
199,1.843835349145296e-06
200,7.509367143910055e-06
201,1.364245914012078e-05
202,1.767295780863141e-05
203,1.8433894591954142e-05
204,1.523271175799843e-05
205,1.2460526223528093e-05
206,1.0134495249040877e-05
207,8.14325160633321e-06
208,6.6709668498516455e-06
209,6.830509197787847e-06
210,5.208497520004525e-06
211,1.2868661721096052e-06
212,1.695412473205161e-05
213,2.060306879174428e-05
214,6.4500349583894345e-06
215,1.6539023117725662e-05
216,3.0661892861454574e-05
217,3.378937958926754e-05
218,3.1886116612375713e-05
219,2.6610346725375266e-05
220,1.6576507112200964e-05
221,6.897610518475128e-06
222,2.9957869178947896e-06
223,1.2154826997757714e-05
224,1.8488863320201856e-05
225,2.210962128732495e-05
226,2.262875414372822e-05
227,1.9544087470446516e-05
228,1.1470080380428542e-05
229,2.34709013752999e-06
230,1.1085324135577004e-05
231,2.4804521667039557e-05
232,2.6258239858394904e-05
233,8.824786354088972e-06
234,1.1586614084313695e-05
235,2.686500105445689e-05
236,3.310946320273971e-05
237,4.295145318272392e-05
238,5.8060485302165e-05
239,7.696159946488208e-05
240,9.501376840170962e-05
241,0.00011238976350371981
242,0.00012900249734693083
243,0.00014542979944836155
244,0.00016460122525610528
245,0.0001768716780965715
246,0.00017749387731843925
247,0.00017027806218851738
248,0.0001733720998604179
249,0.00019211643619288803
250,0.00021431298409142597
251,0.0002321475587327113
252,0.00024027372032752275
253,0.00025521351893680543
254,0.00027998731074565977
255,0.00031317789668059267
256,0.0003461116207657085
257,0.0003812541813271401
258,0.0004133220017489282
259,0.00043827166424948994
260,0.0004519166276830014
261,0.00046701738525452004
262,0.0004841696751757732
263,0.0005036353298730684
264,0.0005260628633849877
265,0.0005494938685742802
266,0.0005782406129332936
267,0.0006166551285662998
268,0.0006719641951101848
269,0.0007211506809652022
270,0.0007596742568941467
271,0.0007891611785699637
272,0.0008205722981213031
273,0.0008475742239387303
274,0.0008846782616993628
275,0.0009472961223922271
276,0.0010548814728536706
277,0.0011401487886794116
