,ri
0,0.0
1,0.0
2,2.370095354857102e-05
3,1.2155099415488453e-05
4,8.759314498942353e-06
5,3.408150498466143e-06
6,1.8259481996351027e-05
7,1.884049613339023e-05
8,1.5430713202251384e-06
9,1.3921475673954635e-05
10,5.808508937719305e-06
11,4.8046851808816544e-05
12,9.49190593533441e-05
13,0.00013643499533287385
14,0.00017692911256589282
15,0.00021910744537688838
16,0.0002604915251435808
17,0.0003095495676829125
18,0.0003757902065863289
19,0.0004568710730047313
20,0.0005436903034552821
21,0.0006292007204971679
22,0.0007172320417647691
23,0.0008114146140168653
24,0.0009067242147277738
25,0.0010165121934162646
26,0.0011635915099563133
27,0.0013427530984505163
28,0.0015311845724789975
29,0.001704056134096389
30,0.0018712080645155809
31,0.0020518933205547624
32,0.002248788785954979
33,0.0024614083627903897
34,0.0026832605506435484
35,0.002916361996434479
36,0.0031639393352352234
37,0.0034266883580210314
38,0.0037071074131563336
39,0.004018796920390875
40,0.004368731993100176
41,0.004751868146713668
42,0.0051426121247268785
43,0.005543198486618014
44,0.005969596017571808
45,0.006441881345646107
46,0.006958035912407217
47,0.00751737157293456
48,0.008128260757095164
49,0.008779486702683612
50,0.009442076597029931
51,0.010109091645518296
52,0.010799939446422659
53,0.011558883010245496
54,0.012381512474954105
55,0.013212751397224606
56,0.014037040055797274
57,0.014853516358007718
58,0.015658225382076292
59,0.016451648829447392
60,0.017227000826598664
61,0.01797158892277279
62,0.018687601801119932
63,0.019341440785892908
64,0.019934793743660795
65,0.02047366856188297
66,0.020847273908346467
67,0.02104739027427772
68,0.021089749417166598
69,0.020997442422125808
70,0.020769513532321218
71,0.020420700518135194
72,0.01994880513884922
73,0.019355184569167776
74,0.018675056536915074
75,0.017892364327277643
76,0.017040848068014126
77,0.016204254995958803
78,0.015389999872630887
79,0.01456434065875807
80,0.01368612437657615
81,0.012749077438225865
82,0.011871270219968956
83,0.011062304254961146
84,0.010315695688839659
85,0.009640036775543375
86,0.009049103794079517
87,0.0084931763624227
88,0.007941238259791565
89,0.007390932589833131
90,0.006885058143579981
91,0.006433950475436452
92,0.0060388272196092345
93,0.005675869004278006
94,0.005346348897545836
95,0.005039310103066197
96,0.004739590494422367
97,0.004455761298902869
98,0.004187336992035965
99,0.003914458858321991
100,0.003647961357232704
101,0.0034176736595614675
102,0.0032339102930622698
103,0.0030691741336170385
104,0.002901459835876641
105,0.0027245549804191986
106,0.002556920966252869
107,0.0024013963911750334
108,0.0022573179599428023
109,0.0021271228524832216
110,0.0020155707378302834
111,0.0019135704569776943
112,0.0018141532045450389
113,0.001721634987243906
114,0.0016220791500703013
115,0.001507999632045176
116,0.001376921405270854
117,0.0012784834212904534
118,0.0012257820336993982
119,0.0011900680769268968
120,0.0011385250666188134
121,0.0010592329946911786
122,0.00098745603875035
123,0.0009361345728764189
124,0.0009072223551897251
125,0.0008624982875904634
126,0.0007909128653191955
127,0.0007127323385896601
128,0.0006509201034015263
129,0.0006112470195193029
130,0.0005778746669904331
131,0.0005477123193646903
132,0.0005213072430053003
133,0.0004952190956121095
134,0.00047206550400244777
135,0.0004474589708535335
136,0.0004133438041131738
137,0.0003600316879051058
138,0.00031503217118624636
139,0.00028844836829887297
140,0.0002850976759897614
141,0.0002734603807773297
142,0.00024762894966978764
143,0.0002178362887874884
144,0.00019929785577849928
145,0.00019893810890613076
146,0.00019850629796846843
147,0.00019291034170460612
148,0.00018194916799177852
149,0.00016716106745452635
150,0.00014610106119003805
151,0.00012300470029960435
152,0.00010473191034509482
153,9.35171743441711e-05
154,8.315807009143868e-05
155,7.10641142636572e-05
156,5.5424338811507065e-05
157,4.61672986490794e-05
158,4.7788548966823135e-05
159,5.2526732587185656e-05
160,4.694291443511689e-05
161,2.657055609765226e-05
162,3.47628640317165e-06
163,2.002142354310682e-05
164,4.710531663637316e-05
165,6.404387005042978e-05
166,6.654946305166226e-05
167,6.113599899770977e-05
168,5.9644502227768244e-05
169,6.631449979155843e-05
170,7.130492675558595e-05
171,6.873374972039511e-05
172,5.198887087120766e-05
173,4.825358201204001e-05
174,6.741375395677082e-05
175,9.639633446159369e-05
176,0.00010848377202776637
177,9.652069754085138e-05
178,7.888073330135953e-05
179,6.029109084119746e-05
180,3.72511769493878e-05
181,2.5440488332107343e-05
182,2.8717510904443788e-05
183,4.07540639767671e-05
184,5.011050284994484e-05
185,5.665309802774479e-05
186,6.0639464207239786e-05
187,6.44804597722628e-05
188,7.303652875739893e-05
189,6.003580819079992e-05
190,1.1169241975618878e-05
191,4.9341653822293026e-05
192,7.196736181732513e-05
193,3.477265098169804e-05
194,5.090292084112643e-06
195,1.2489006446089304e-05
196,6.952010821324828e-05
197,0.00011045897733146378
198,0.00012929247159028715
199,0.00013650008237327843
200,0.00015155466703102423
201,0.0001756347884308334
202,0.00020453827050006322
203,0.00023796739498488058
204,0.0002783439158970275
205,0.00031262653123472774
206,0.0003398359725457261
207,0.0003622176949361401
208,0.0003827892138827019
209,0.0003993880339724967
210,0.000420742700068949
211,0.0004497894883178891
212,0.0004860046439742109
213,0.0005332396759281129
214,0.000595346666523894
215,0.000663801985163369
216,0.0007237564202173105
217,0.0007733839026784201
218,0.0008209062351366632
219,0.0008701215952508936
220,0.000921173920000332
221,0.0009687306597046039
222,0.0010092235917991486
223,0.001051572794816951
224,0.0011140808209803353
225,0.0012031283029139892
226,0.0012810696992836238
227,0.0013303175551302147
228,0.0013494590707015433
229,0.0013746021657371412
230,0.0014088532410993146
231,0.0014432507384084781
232,0.001464031950404449
233,0.001470075965472154
234,0.0014706972074143418
235,0.0014713190228106303
236,0.001471376941674779
237,0.0014567945773536427
238,0.0014257806503886854
239,0.0013847312766653071
240,0.0013429559100507197
241,0.0013011780584683635
242,0.0012504642627895759
243,0.001183428051897425
244,0.0011028135948140808
245,0.0010282477404312453
246,0.0009592636971111269
247,0.0008980583675126688
248,0.0008511452344605036
249,0.0008183000774013429
250,0.0007827809038716385
251,0.0007374828087177951
252,0.0006846523939541314
253,0.0006326091405190614
254,0.0005814308470188838
255,0.0005333945085352429
256,0.0004920348961435042
257,0.0004566902438117129
258,0.00042318905526160175
259,0.0003862186605549462
260,0.00035082927880331733
261,0.00033464640408773817
262,0.0003391570028907564
263,0.0003443184720978207
264,0.00032840301814443263
265,0.00029522927188569624
266,0.00026102024982422445
267,0.00022892803799899557
268,0.00019985085668273
269,0.0001739892810046393
270,0.00015125972047201006
271,0.00013441800434038802
272,0.00013147956818411236
273,0.00013672806860849307
274,0.00013344825522620097
275,0.00011017781278599786
276,8.157440013241314e-05
277,7.241561177253459e-05
278,8.129860694035506e-05
279,9.148385902495827e-05
280,8.759689155621334e-05
281,7.568470156314771e-05
282,6.80318801316795e-05
283,7.152169240556783e-05
284,7.505980862985336e-05
285,6.404736812044273e-05
286,4.184376057363814e-05
