,ri
0,0.0
1,0.014874504373181852
2,0.012799681385040522
3,0.009050180055090533
4,0.007202599576523635
5,0.004865953713878754
6,0.0035815396243184146
7,0.002692329749964084
8,0.0014523760448820337
9,0.0009731907583813832
10,0.0005928065568934998
11,0.00027664305988363324
12,0.0001630218050964165
13,4.940054562751002e-06
14,-4.940054562751002e-06
15,0.0
16,0.00021242235540561624
17,0.0006175068242452834
18,0.0013980354535869832
19,0.0038779428637510834
20,0.005863844802034451
21,0.006950656783991786
22,0.006703654110473949
23,0.005275978286126802
24,0.0032950164668574477
25,0.0018278201585671691
26,0.0008496893904112
27,0.0003952043712623332
28,0.00017290191827938294
29,3.458038209531334e-05
30,-4.940054562751002e-06
31,-4.940054562751002e-06
32,1.9760218563116658e-05
33,0.00022230245298295024
34,0.00022724250957443343
35,0.00015314169191345004
36,0.0001185613098181367
37,5.928065568934997e-05
38,-4.940054562751002e-06
39,-4.940054562751002e-06
40,9.880109125502004e-05
41,9.880109125502004e-05
42,0.0
43,0.0
44,3.458038209531334e-05
45,-4.940054562751002e-06
46,-4.940054562751002e-06
47,-4.940054562751002e-06
48,4.940054562751002e-06
49,0.0
50,2.4700273594036634e-05
51,0.00026182289010918356
52,0.00025688283351770033
53,0.00022230245298295024
54,0.0002321825661659167
55,0.0001976021856311666
56,0.0001630218050964165
57,7.410081922154666e-05
58,9.880109125502004e-05
59,8.892098275374333e-05
60,0.0001778419592652337
61,0.00020254224222264982
62,0.00011362125634777997
63,0.00011362125634777997
64,0.00024206267934888314
65,0.00022230245298295024
66,0.00023712262275739989
67,0.00030134332723541686
68,0.0003112234404183833
69,0.0003112234404183833
70,0.00040508448444529963
71,0.0006619673179629999
72,0.0006817275287233004
73,0.0010769318999856335
74,0.0010966921263515664
75,0.0008990899407203998
76,0.0009435504344381164
77,0.0009781308149728666
78,0.0011164523371118668
79,0.0013782752272210506
80,0.0015215368215571665
81,0.0015561172020919166
82,0.0013239346359259997
83,0.001304174409560067
84,0.0007064278116807165
85,0.0005878665003020165
86,0.0005088256260495498
87,0.00038532425807936673
88,0.00038532425807936673
89,0.00042978475179708325
90,0.00044460490596590047
91,0.00045448501914886687
92,0.00045942507574035015
93,0.00041002452543115035
94,0.00044460490596590047
95,0.000489065399683617
96,0.00048412534309213377
97,0.0003309836511786837
98,0.0003112234404183833
99,0.0003507438775446166
100,0.0003507438775446166
101,0.0003556839341360999
102,0.0003556839341360999
103,0.0003408637643616502
104,0.00042978475179708325
105,0.00047918530210628305
106,0.0005532861197672665
107,0.0003309836511786837
108,0.00026182289010918356
109,3.458038209531334e-05
110,0.0
111,4.446049059659005e-05
112,0.00012844141987997665
113,0.00010868120131685999
114,5.4340600658429995e-05
