,ri
0,0.0
1,0.0
2,0.0003274639309461924
3,0.0007736558893698045
4,0.0004661165801236906
5,0.0008771583041121855
6,7.241814494890966e-06
7,0.00017720458348679814
8,0.0002539331425117807
9,0.001021761437076625
10,9.858685546314828e-05
11,0.00024639772298967077
12,0.0008306072934730858
13,0.0008576833896596801
14,0.0011639333609921468
15,0.0005701915910956253
16,0.0007100292886182791
17,0.0006451179998064786
18,0.001281755331326746
19,0.0013641866033804056
20,0.0007744828990052971
21,0.00018857347498194203
22,0.0008799342665754169
23,0.0003570011280962402
24,0.00048110970019011733
25,6.753712743758524e-05
26,3.75628434062814e-05
27,1.7739191279387058e-05
28,0.0002987364725476829
29,0.00035366851175787405
30,0.00035773447639952027
31,0.00041683743408461697
32,0.0006525119309331187
33,0.0009256801883163503
34,0.001042831251235811
35,0.0007568851967856445
36,0.00042763705067404436
37,0.00027103796027397504
38,0.00035460977493337033
39,0.00043693808594807325
40,0.00037365358155179164
41,0.0002323412162453681
42,0.00013535523887180768
43,0.00015464150213035331
44,0.00022870303811396855
45,0.0003246195492119121
46,0.000451921242042988
47,0.0005668436966676074
48,0.0006546960334885398
49,0.0007099210134611825
50,0.0007167058137960583
51,0.0006259373546459596
52,0.0005015052856103277
53,0.00039893284154239616
54,0.00031069523115633473
55,0.00025592527254940487
56,0.0002767420018321872
57,0.000350222970409039
58,0.00040243351686693066
59,0.00035156345670978105
60,0.00026514327472750075
61,0.0002440462257128487
62,0.00034744302235720275
63,0.0004604683368059455
64,0.0005042932048393734
65,0.0004887992291382789
66,0.0004574791453523581
67,0.0004381789325336958
68,0.00043050069608658106
69,0.0004172731917720732
70,0.0003956427381491477
71,0.00036609557702758786
72,0.00030681791770864825
73,0.00022314447053983097
74,0.00016476157586266517
75,0.0001736135681538885
76,0.0002368675163708668
77,0.00032672593278954
78,0.00046438152055107505
79,0.0005970816931473297
80,0.0006203648375117053
81,0.0005348407487007339
82,0.0004138190149812612
83,0.0002863505916935519
84,0.00016360974075588282
85,0.00010707815198563878
86,0.00015975700510459246
87,0.00026623931159381616
88,0.0002896440164106377
89,0.0002267261861659961
90,0.0001448163619547954
91,9.861342605384685e-05
92,8.578315207028246e-05
93,8.916625253097587e-05
94,0.00011362381700422762
95,0.00014759431721232924
96,0.000149574490484139
97,0.00011582718323790522
98,7.725731377988385e-05
99,7.054226124559172e-05
100,9.378554972391954e-05
101,0.00011082194821506508
102,7.124505336956849e-05
103,4.403411143517906e-06
104,1.4409231335825979e-05
105,2.0850608114452534e-05
106,9.150247171814627e-05
107,0.0001404315502247665
108,0.0001840219327952797
109,0.00020053555491443117
110,0.0001701055859169119
111,0.0001174745598612156
112,0.00010349045797656647
113,0.0001459250198516926
114,0.00021179617125247844
115,0.0002771518531937124
116,0.00034548609835225423
117,0.00038053935013132194
118,0.0003712223725028739
119,0.00031986009215303357
120,0.00023434198172496922
121,9.968156379992872e-05
122,2.257437518602124e-05
123,4.569211828756315e-05
124,5.3143837791913626e-05
125,0.00012940475508486647
126,0.00013386927858699104
127,7.751106292105504e-05
128,7.352414578673698e-05
129,0.00014442046015338694
130,0.00022362871955531214
131,0.00023663170237841715
132,0.00016442412936079352
133,9.241052165526935e-05
134,3.068637453349556e-05
135,1.9464949816728624e-05
136,1.1348964216384759e-05
137,8.273616958192575e-05
138,0.0001924813446089319
139,0.0002489352144013827
140,0.0002399032063581766
141,0.00021723915675707733
142,0.00018376154100643386
143,0.00013876092433459487
144,0.00014569584850691755
145,0.0002144034104647741
146,0.00031455726651436963
147,0.0004084703550736423
148,0.0005158015919356847
149,0.0005495475706523836
150,0.00046880153831377954
151,0.00027205029977958996
152,0.00016849275106150966
153,0.00020465665353177693
154,0.0002771558387823172
155,0.00026935139202938435
156,0.00013016733103791495
157,3.117593766711642e-05
158,2.555692332766919e-05
159,0.00011466870548344827
160,0.00015678707732926154
161,0.00012975083702871512
162,8.10515941316374e-05
163,6.04221888418094e-05
164,8.089615617605086e-05
165,9.898076447025436e-05
166,0.00010595355173432246
167,0.00010185570238383793
168,9.135035508639704e-05
169,6.760156112002923e-05
170,4.522580375653876e-05
171,3.978348118817784e-05
172,6.053511385227826e-05
173,8.064240703487967e-05
174,9.814312659848243e-05
175,0.0001106631889356412
176,0.0001088623671510467
177,7.991503711450674e-05
178,5.1732273832523394e-05
179,5.2977106006750664e-05
180,0.00011084054762855407
181,0.000150034161703224
182,0.00013895953950006658
183,7.640306928892533e-05
184,4.303704802642151e-05
185,5.256459825042037e-05
186,7.577600334843945e-05
187,8.458481842977766e-05
188,5.653291729977899e-05
189,6.0994118149536716e-05
190,0.000129422690233588
191,0.0002560966528594105
192,0.0003074795254170422
193,0.00022526148235373831
194,0.00013606400937869162
195,0.0001567000586447238
196,0.00040117672792688906
197,0.0005181650459783211
198,0.0004041891686473377
199,8.792009182721368e-05
200,8.629995005936933e-05
201,5.886780662888491e-05
202,3.482474403479538e-05
203,0.00010166705118987818
204,0.00013061438122641814
205,0.00015672662923542236
206,0.0001973497410896745
207,0.00024332948402875517
208,0.00021757859605325133
209,5.090194353745834e-05
210,9.614103258934637e-05
211,0.00010363194637203629
212,0.0001217145618719374
213,0.00027479105621014584
214,0.00031398533454958326
215,0.00026001980057605207
216,0.00021008502521149158
217,0.00016941674335305186
218,0.00012539658147798954
219,6.136677001981917e-05
220,6.306330223592185e-05
221,0.00010384185403855485
222,1.2910650020427517e-05
223,0.00016363099722844167
224,0.0002511764437268057
225,0.00020726854259744482
226,0.00015103985856116428
227,0.0001531894193486773
228,0.00025555992692729976
229,0.0002962707217308571
230,0.00023700634770726673
231,0.0001237306054411902
232,8.88753045628267e-05
233,0.00018074577896214794
234,0.0002635736170819837
235,0.0002625426781628798
236,0.00012810213187586982
237,7.112415718189007e-05
238,0.00011938432106767418
239,0.00022950281289399504
240,0.00031837811745682174
241,0.00039555239814077254
242,0.00042435425419323796
243,0.00037612132516291985
244,0.00022618813170435038
245,0.00014008281122184795
246,0.00013778445512642302
247,0.0001784122168340474
248,0.0001873073863351559
249,0.0001469373593573075
250,0.00012559851796729857
251,0.00016815596882440546
252,0.00029284245126597616
253,0.0003092703832301248
254,0.00017343687372574313
255,1.2539990280182686e-05
256,8.694229408950688e-05
257,1.9575882697159857e-05
258,5.370447858418265e-05
259,9.005304599554013e-05
260,8.959802462982738e-05
261,9.052533824520694e-05
262,9.903722697548879e-05
263,9.698863443263025e-05
264,4.617968464129301e-05
265,7.207870565273562e-05
266,0.00014058300259174825
267,0.0001132564785878201
268,7.658972768858268e-07
269,7.936768294611653e-05
270,0.00012057202647189957
271,0.00014747674234848814
272,0.000187278822950155
273,0.0002424586329186101
274,0.0002826758789999418
275,0.0002918287832308263
276,0.0002813679416728055
277,0.00032623836245022154
278,0.00044784996328320207
279,0.0005331634801628876
280,0.00042989887220725874
