,ri
0,0.0
1,0.0
2,6.906047726573466e-05
3,0.00011119587059822264
4,3.2000649055565226e-05
5,3.24702454505514e-06
6,7.122883938718952e-05
7,0.00014678002085297863
8,0.0001525857326691461
9,0.00011160225035721812
10,0.0001711163152104023
11,0.0005073529209896333
12,0.0008830036808263011
13,0.0011021677967764038
14,0.0009263057018125967
15,0.0006734833077495455
16,0.0004051027565923102
17,0.0001346862930128483
18,6.819821634500186e-06
19,0.00025000951029914017
20,0.0005971247182687645
21,0.0007724168781631655
22,0.00046154338637931377
23,0.00010124943333648814
24,1.287370973672064e-05
25,0.00012318925775711952
26,0.0003283842785348386
27,0.0005799892056655906
28,0.0008194529103670952
29,0.0009564346636976274
30,0.0009275171483040219
31,0.0008049403031713639
32,0.000613664541694349
33,0.00035157602018832604
34,0.00018069450217201004
35,0.00010299101309376338
36,0.00012359797879867712
37,0.00016981054847861764
38,0.00024286391591956877
39,0.0003084807010053714
40,0.00029921390462452475
41,0.00019919966507402043
42,0.00011924854473614448
43,0.00022015481294281421
44,0.0004292280010502062
45,0.0005587002577972269
46,0.0004128353439570974
47,0.00015764992685099834
48,0.00011270833913334819
49,0.0003305780602955393
50,0.0005802413952444241
51,0.0005674783950604666
52,0.0003433688214013047
53,0.0001416024417013326
54,0.00010121130387761943
55,0.00017013899697518848
56,0.00021812124180314963
57,0.00022893060892349178
58,0.00024602698866098456
59,0.00036601236846632
60,0.0005675984694090094
61,0.0007143239718251845
62,0.0007168696149080771
63,0.0006000840994272764
64,0.00043082977279162944
65,0.0001879849216014951
66,4.203204243081753e-05
67,9.36004632060622e-05
68,2.5171463963161273e-05
69,0.00014645725832834438
70,0.0001417823859896779
71,4.0279425198606594e-05
72,4.53141861139637e-05
73,0.00021751752537106173
74,0.0004400507469280461
75,0.0005458208624230387
76,0.0005403011215483866
77,0.0005115622125673766
78,0.0005547819541950607
79,0.0006335176144142621
80,0.0006150325196484983
81,0.0004991721452486701
82,0.0003469549973485882
83,0.0002504503403586925
84,0.00021273361615878821
85,0.00021020871015001714
86,0.000249871040159038
87,0.0003317858276286526
88,0.00036485577488063576
89,0.00032783106691230485
90,0.00025233607622800647
91,0.00020952472117294249
92,0.00020127471036192817
93,0.00021879787246360054
94,0.00027295608622148056
95,0.00037101903399093175
96,0.0004230296227014785
97,0.0004141003054785137
98,0.00035985747107946016
99,0.00028320153871329073
100,0.00016196123145466226
101,9.399145739393522e-05
102,0.00017109290238478115
103,0.0004263495613745559
104,0.0006057158873959725
105,0.0006675528390197111
106,0.0006504240157952861
107,0.0006784197347972937
108,0.000770437490991367
109,0.0008578950976923174
110,0.0008934146954421465
111,0.0008650771491860703
112,0.000843894562439814
113,0.0008473275516137478
114,0.0008576833788549148
115,0.0008030990516707301
116,0.000650631386536502
117,0.0005035764322169437
118,0.00043486815074233846
119,0.00046833176793369417
120,0.0004868526508757645
121,0.000478940119222632
122,0.00045044938619320606
123,0.00044542800403534676
124,0.00047215742364018816
125,0.0005073244911299505
126,0.0005424785143311524
127,0.0005824167812135653
128,0.0006023039697650978
129,0.0005922665569523782
130,0.0005623195461693175
131,0.0005539451129135737
132,0.0005913651631659644
133,0.0006091274705579098
134,0.0005561218367584647
135,0.0003813193393884829
136,0.0002789654896205519
137,0.0002854725827985412
138,0.0003692593929110345
139,0.00042545452249795356
140,0.0004655061743501602
141,0.00045836760381827505
142,0.00037084343779877324
143,0.00013733060443228717
144,1.7753611199571847e-05
145,6.41782341858524e-05
146,2.4805889414534064e-05
147,3.743175666520127e-05
148,0.000152495426056036
149,0.0002447152014883259
150,0.0002726861697889626
151,0.00021679038990105663
152,0.00013613119882261
153,0.00018948866049735332
154,0.00013831896014243665
155,0.000225288576663655
156,0.00024943489266460997
157,0.00021472905783958413
158,0.00010535905317087282
159,0.00015874129899388085
160,0.0001045268275607226
161,0.0002815225046473177
162,0.0001469489276663883
163,0.00012084931307075547
164,0.0002826456513392574
165,0.00043675254873590263
166,0.0004936580903459545
167,0.00041046195237698884
168,0.0003209169250374452
169,0.00021203491054846597
170,0.0001021203904495945
171,4.215947509598401e-05
172,5.247249031315806e-05
173,8.183986642762691e-05
174,0.00010832111008088428
175,0.00012208952389080092
176,0.00016343222584154466
177,0.00026039410186892747
178,0.00037382088027990715
179,0.00041096298684528123
180,0.0003257021721254685
181,0.00023542164759248372
182,0.00018542288954066766
183,0.00019117809654728093
184,0.0001931899272060116
185,0.00018576739254623582
186,0.00017190031039977297
187,0.00016802749457309923
188,0.00018139688694064418
189,0.00021496820312985718
190,0.00027781023391061746
191,0.0003875896285587612
192,0.0004573053304729503
193,0.0004654754032079153
194,0.00044745990283032416
195,0.00046509845671541494
196,0.0005382177145370426
197,0.0006132728785686011
198,0.0006885638432010581
199,0.0007858795873642576
200,0.0007662766974095532
201,0.0005594250519846699
202,0.0002887102421130072
203,0.00013952070703467594
204,0.00014034483849654
205,0.00020190953240519847
206,0.0003192673242379673
207,0.0005073723201880051
208,0.0006282169506936364
209,0.0006618635223937745
210,0.0006476308656986843
211,0.0006227878509010318
212,0.0005587049403623512
213,0.0005640062730208518
214,0.0006838595375958966
215,0.0009329171492990687
216,0.0010677205064400228
217,0.0010622372226795523
218,0.0009763827255957748
219,0.0008517084257564003
220,0.0006519582248113455
221,0.0005142071929246904
222,0.0005016428672895751
223,0.0006052827501219814
224,0.0005733386253134376
225,0.00031271875691173486
226,6.483713799261872e-05
227,0.00010061461129321784
228,0.0005480644800554186
229,0.0008347317858985128
230,0.0008035847005679
231,0.0005050022732972709
232,0.0003592972356092401
233,0.0004104542595914276
234,0.0005217357542376361
235,0.0005821722844202931
236,0.0005754317319239673
237,0.0005989579425148996
238,0.0006842090576355264
239,0.0008022525107900571
240,0.0007944142312410374
241,0.0006093545749664349
242,0.00043922527759043226
243,0.0004462337397056513
244,0.0006739686221777779
245,0.0008009290172045879
246,0.0007634447489162078
247,0.0006284601096111588
248,0.0005913651631659644
249,0.0006672658646713834
250,0.0007796875639253414
251,0.0009151173813861295
252,0.0010832913733538297
253,0.0011284122364219502
254,0.0010093396223469016
255,0.0008014614917530001
256,0.0006527850320247092
257,0.0005649789086909413
258,0.0005247436333920775
259,0.0005401623169393469
260,0.0006109158759664274
261,0.0006761620694695411
262,0.0007422096505467728
263,0.000785634087164173
264,0.0007467530765930233
265,0.0006225761320636291
266,0.0005229488730737486
267,0.0005083041506477264
268,0.0005655990141009641
269,0.0005936248353073417
270,0.0005835011295087615
271,0.0005740303070760736
272,0.0006451123145997247
273,0.0007875766827528526
274,0.0008522850502045551
275,0.0007514132322984422
276,0.0005369711488071858
277,0.00040972578624567273
278,0.00038098319810635087
279,0.00039308863235929176
280,0.0003888465628256789
281,0.00036692914782385634
282,0.0003148971531013131
283,0.00019290362179555883
284,5.821665984483565e-05
285,7.375374539596058e-05
