,ri
0,0.0
1,0.0
2,4.7138389562086184e-05
3,3.1976975567436195e-05
4,3.59881553865636e-06
5,2.2610914175461475e-05
6,8.007247012202805e-05
7,0.00013174687876534749
8,0.00018613325883018399
9,0.00021863044318373297
10,0.00021083061030628507
11,0.00013314909725972596
12,7.858116894701603e-05
13,0.00010047278786076626
14,0.00016807236312840114
15,0.00021050143864501596
16,0.0001758382471792677
17,0.00012213012388294996
18,8.960136592107516e-05
19,0.00010459760627855263
20,0.00012588704738427127
21,0.00013246268317598623
22,0.00012627128092328183
23,0.0001184434372648914
24,0.0001119252745573288
25,0.00010742791875103251
26,0.00010567537955606944
27,0.00010013657451709318
28,0.00010187389072232774
29,0.00012230346683139525
30,0.0001621716252107022
31,0.00020259855968264456
32,0.00020820767358119437
33,0.00020680065666609768
34,0.0002477056338020915
35,0.00040329466551103745
36,0.0005874984793704297
37,0.0007428075232304682
38,0.0008871396998555328
39,0.0009764270331327049
40,0.0010526582235171856
41,0.0011172822741053556
42,0.0011709879981913144
43,0.001224401018613462
44,0.0012658221858582175
45,0.0012771236662547777
46,0.0012506003957348806
47,0.0011981735707308424
48,0.001129821867007732
49,0.0010461892326259327
50,0.0009497510528734505
51,0.0008267927215745378
52,0.0006920925348176508
53,0.0005771401285660331
54,0.0004966365443345777
55,0.000439076608767236
56,0.0003853883989168988
57,0.0003358051180304711
58,0.00028560679956848693
59,0.00022338903700998028
60,0.0001547947731195644
61,0.00010011430984496071
62,7.551303474768993e-05
63,7.227855129811536e-05
64,6.81467151900286e-05
65,6.386725566854615e-05
66,5.6260775153938494e-05
67,3.435393325045974e-05
68,5.341997813218932e-07
69,2.2391854273623462e-05
70,8.872860516874382e-06
71,3.0328694058627992e-05
72,3.666527253016179e-05
73,9.240708648737423e-06
74,6.777651703161881e-05
75,5.441685003639713e-05
76,3.2601382059444874e-05
77,0.00012181966606248187
78,0.00015343466076698823
79,0.000132401743232865
80,0.00012499790002518725
81,0.0001470887493671575
82,0.0001867318618147805
83,0.00020289966058271213
84,0.0001909024091820114
85,0.000183851249897122
86,0.00022644419148126364
87,0.0003206483465078659
88,0.0003849537819603471
89,0.0003891406439580199
90,0.0003440042994721918
91,0.00031624831466978674
92,0.000305317032431636
93,0.0003143938450227171
94,0.00035640569785788374
95,0.00043757470308243676
96,0.0005083268167698309
97,0.0005420212070925731
98,0.0005387141355335836
99,0.0005697468418839354
100,0.0006318991059996385
101,0.0007308852471534893
102,0.0008523019658361597
103,0.000999546423955623
104,0.0011472571686083784
105,0.0012719449706946515
106,0.0013654757873339711
107,0.0014924144086186377
108,0.0016684060853003702
109,0.0018641624569204034
110,0.002019209027167156
111,0.002125267320696538
112,0.002207549439567198
113,0.0022953437442378988
114,0.002407582403652334
115,0.0024574116036005698
116,0.0024313141929194135
117,0.0023392265013110953
118,0.0022182559157947
119,0.0020577091557997013
120,0.0018897740275038409
121,0.0017467546987872781
122,0.0016391357189192983
123,0.0015099322430556373
124,0.0013357771619037992
125,0.0011236047932041851
126,0.0009673082343603395
127,0.0008797299785824754
128,0.0008277533654023231
129,0.0007838845237492098
130,0.0007547531916084482
131,0.0007156418641369206
132,0.0006537285613729842
133,0.0005663308461746428
134,0.0005073990421239654
135,0.0004879194933368442
136,0.00048542299499767833
137,0.0004699922336520635
138,0.0004334886079198463
139,0.0003995563358899991
140,0.00037695721383345266
141,0.0003689277765246385
142,0.0003534840594430845
143,0.00032667924158754627
144,0.00029467053646311094
145,0.000265365741413386
146,0.00022531488316523328
147,0.00021145620440742152
148,0.0002494382235629187
149,0.00037992695641595186
150,0.00044561937537703123
151,0.00041614231702352266
152,0.00033068340371637323
153,0.00029054221519820027
154,0.0003135268903594548
155,0.0003557603102712847
156,0.000397730056964649
157,0.0004388528824012495
158,0.00048018060040251755
159,0.0005276141888071879
160,0.0005751848920838811
161,0.0005968703948356807
162,0.0005764653506525351
163,0.0005504137648892376
164,0.0005432337680080642
165,0.0005746635436728477
166,0.0005843342807883251
167,0.0005654216654090603
168,0.0005193774597233472
169,0.00045642397930822123
170,0.00035825320979491197
171,0.00026428333765987616
172,0.00020684408237359745
173,0.00020792180766690709
174,0.00020284579831015024
175,0.000176367752905522
176,0.00012919303929859896
177,0.00010929176931060623
178,0.00013525080553430127
179,0.0001699538238920107
180,0.00017561332120810165
181,0.0001248643839687031
182,9.46176829240975e-05
183,0.00010832410779252052
184,0.00017165714328645673
185,0.000203475950910969
186,0.00018403742862098846
187,0.00014943757630872054
188,0.00014403227533017665
189,0.00019481168254113584
190,0.00022954637047558542
191,0.000228902062533648
192,0.00018553465584558745
193,0.00013473065672844745
194,6.295584363732964e-05
195,4.688300561541133e-06
196,2.971834693932367e-05
197,1.1559086012027904e-05
198,4.199321097067637e-05
199,3.2590837529916606e-05
200,3.4076284631652405e-05
201,7.020970020940797e-05
202,6.234432090494935e-05
203,3.2027346988925586e-05
204,1.8221342894547948e-05
205,2.9573074752079905e-05
206,4.3101442223702006e-05
207,5.0313132673719075e-05
208,4.855940586962824e-05
209,4.864961617913056e-05
210,5.015028627059488e-05
211,5.3745586966075145e-05
212,6.231386292944053e-05
213,8.07507628787022e-05
214,9.541195350953076e-05
215,9.917243983823535e-05
216,8.673005094355819e-05
217,7.796964621463574e-05
218,7.535840564004566e-05
219,7.5329111281561e-05
220,6.971650653193872e-05
221,6.244741497408008e-05
222,4.191589641685423e-05
223,5.33613414310128e-06
224,9.562048087789228e-05
225,0.00015639612607374853
226,0.0001753122203080341
227,0.00016403893063319304
228,0.00015905781004613877
229,0.00015770585500878354
230,0.0001674574455133627
231,0.00019493344246686038
232,0.00024332299623911586
233,0.0002954848284589909
234,0.0003540944185584406
235,0.00041353581488939184
236,0.0004487905316691773
237,0.00044578216179989643
238,0.00044833492162198337
239,0.0004948243007898283
240,0.0005992848401805653
241,0.0006755323451954878
242,0.0006995971448604109
243,0.0006890313823204699
244,0.0007257013932910908
245,0.0008239952422958222
246,0.0009325371983889494
247,0.0010153966872325274
248,0.0010697198481044014
249,0.001112722814738914
250,0.0011428921652415422
251,0.0011647041063792664
252,0.0012019096211020395
253,0.0012589952327813863
254,0.0013176427304045098
255,0.001365007941313946
256,0.0014014003636460186
257,0.0014243224194169003
258,0.001434535857915607
259,0.001430872263697255
260,0.0014090166569309948
261,0.001369999498466062
262,0.0013093702530863184
263,0.001215627106330218
264,0.001086921946458143
265,0.0009624218825824698
266,0.0008519258896123702
267,0.000751287892126276
268,0.0006388037934921047
269,0.0005106721648563733
270,0.00039077486609412376
271,0.0002999411217799911
272,0.00023788266678932904
273,0.00019952457141004224
274,0.0001934527697937392
275,0.00020759383561081752
276,0.00019381589028158962
277,0.0001473710164659061
278,0.00010508612149582164
279,0.0001174160474049158
280,0.00017606077394007462
281,0.00020778589240006386
282,0.00017659147927150847
