,ri
0,0.0
1,0.0
2,1.1952158347735765e-07
3,9.963040516732633e-06
4,1.627449541673613e-05
5,1.676514811169406e-05
6,1.2444155730867971e-05
7,5.8922700217884605e-06
8,2.602890851416154e-06
9,4.810891374188165e-06
10,5.860980698771678e-07
11,1.1443176616118395e-05
12,2.6235605893868174e-05
13,4.9999119860930765e-05
14,7.227153031379696e-05
15,9.114950122898154e-05
16,0.00010633539091552539
17,0.00011915972922800822
18,0.00012609420654623323
19,0.00013264915636927718
20,0.00014374244639035782
21,0.00015874561626945928
22,0.00017997154375421897
23,0.00021207641416135184
24,0.0002560674404926385
25,0.000293938621183831
26,0.00031060021633140745
27,0.00032037699393880315
28,0.0003399567526109456
29,0.00038654847208432217
30,0.0004353201501547411
31,0.00047067298136417525
32,0.0004889617971253705
33,0.0005126702204365346
34,0.0005597165558070713
35,0.0006187728091301644
36,0.0006721810199242849
37,0.0007057323634408356
38,0.0007355359786015754
39,0.0007729991742793884
40,0.0008202499247930237
41,0.0008710282805328411
42,0.0009221102300930426
43,0.0009734985910496876
44,0.0010249158321609401
45,0.0010756089562249651
46,0.0011266740003288112
47,0.0011790618963924753
48,0.0012330818733884607
49,0.0012887515411671375
50,0.0013494364943312804
51,0.0014126220462480083
52,0.0014708648653627959
53,0.0015142351092488281
54,0.001551536998697249
55,0.0015945120775409712
56,0.0016467231707069175
57,0.0017010981622863684
58,0.001748126324291323
59,0.0017902652874394627
60,0.0018357092673051034
61,0.0018944620676866154
62,0.0019600820053185357
63,0.002018730555385855
64,0.0020666483670315184
65,0.0021138561495102504
66,0.0021761703660306553
67,0.0022524174961640548
68,0.002326069638746885
69,0.0023869771804197084
70,0.002436129794773338
71,0.002477376995098725
72,0.0025150585529211296
73,0.0025527640601400387
74,0.002600856561501375
75,0.0026579103635191582
76,0.002719938596069549
77,0.0027779757321320115
78,0.002828507549966644
79,0.0028678796534245994
80,0.0028968471528897565
81,0.0029117422687269857
82,0.0029188503087304606
83,0.00292347817740778
84,0.0029104109640389897
85,0.0028657474527417617
86,0.002793330817260913
87,0.0027162229176414124
88,0.002641204250669846
89,0.0025631355576141404
90,0.002466294059669662
91,0.0023492364535000593
92,0.0022170766396528725
93,0.002070092149369938
94,0.0019091205071348673
95,0.001751277783113595
96,0.0015996231605124522
97,0.0014552815565730948
98,0.0013242699049700526
99,0.0012082752293688021
100,0.001098732802943236
101,0.0009881570304979398
102,0.0008755011825269016
103,0.0007747108517353832
104,0.0006892476416303786
105,0.0006185977672174835
106,0.000560612544993913
107,0.0005185228189874088
108,0.00048036769706884534
109,0.00043096403668833644
110,0.0003682473998672692
111,0.00031589134241307446
112,0.000282850261920854
113,0.0002663786418390726
114,0.00024193778963130624
115,0.00020684311882830094
116,0.00017022406893783947
117,0.0001420840211218828
118,0.00012419128611521676
119,0.00010654044001323737
120,8.575771724259779e-05
121,6.317695126580718e-05
122,4.6920192490364046e-05
123,3.8464477681988945e-05
124,3.339658815149637e-05
125,2.700925592821725e-05
126,1.88318119753939e-05
127,1.136568623054885e-05
128,5.471584784321877e-06
129,1.0973895235569884e-06
130,4.965773530165179e-06
131,1.4117655031259963e-05
132,2.3073052865862893e-05
133,2.8056457378218836e-05
134,2.8459187612247843e-05
135,2.6783976634399855e-05
136,2.2910323760560864e-05
137,1.6862847561548576e-05
138,1.1830114336335301e-05
139,6.243628800317179e-06
140,3.7798205471257915e-06
141,1.0277749674670647e-05
142,3.1138934894620214e-05
143,4.722673067773023e-05
144,5.341597321616372e-05
145,4.965464301192677e-05
146,4.2829212931134895e-05
147,2.9811849526772946e-05
148,1.7521068548690294e-05
149,1.5191503706841912e-05
150,2.8940387339526986e-05
151,3.840138511008217e-05
152,3.728926670767545e-05
153,2.5000528472235748e-05
154,1.7228075858228954e-05
155,1.4791027533660305e-05
156,1.5858431004006715e-05
157,1.9615999744204574e-05
158,2.9946099982056103e-05
159,3.439939869068445e-05
160,2.782278875168502e-05
161,9.381887278751572e-06
162,9.266021507255031e-07
163,1.0220475397326228e-06
164,6.6831213579792614e-06
165,7.207634273229236e-06
166,6.571432502111759e-07
167,7.431737229041894e-06
168,1.749032879388387e-05
169,2.9827332107218537e-05
170,3.5011186024369724e-05
171,2.852894375153474e-05
172,1.958332994979756e-05
173,1.7818259427479917e-05
174,2.6991413627822043e-05
175,3.5912098925375e-05
176,4.189089670794306e-05
177,4.480527059270939e-05
178,5.039186178782973e-05
179,6.093444952418965e-05
180,7.188996007597293e-05
181,7.872483608050343e-05
182,7.895045348344794e-05
183,7.989842694858287e-05
184,8.330734178326888e-05
185,8.918712994311486e-05
186,9.322612522405083e-05
187,9.415895421786728e-05
188,9.464780366414728e-05
189,9.719728736136035e-05
190,0.00010314476778602982
191,0.0001083236134617357
192,0.00011021751764936258
193,0.00010914775445906654
194,0.00011664525391333135
195,0.00013890833114550127
196,0.0001628159570840544
197,0.00017730055208945073
198,0.00017827015045084038
199,0.00017766711873475925
200,0.00017486285572238845
201,0.0001705643616863955
202,0.0001756893212199682
203,0.00019656734850081193
204,0.0002191137330057395
205,0.0002313017217652405
206,0.00022571108734847518
207,0.00022635835500868655
208,0.00023855831846643943
209,0.00026047265022187556
210,0.00027700548214354425
211,0.00028524914617770016
212,0.0002918348075797899
213,0.0003014485179727565
214,0.00031615915301750627
215,0.000329226295946895
216,0.0003396262509391955
217,0.00034785441830502547
218,0.0003553835450505554
219,0.0003587590716089393
220,0.0003667764842855373
221,0.0003864714818185032
222,0.00042474029293105745
223,0.0004567430262060425
224,0.0004787452663345272
225,0.0004931534345893164
226,0.0005100680480670135
227,0.0005302418222118475
228,0.0005517628907888138
229,0.0005729009803399264
230,0.0005902973288843539
231,0.0006174192455913004
232,0.0006590759805968992
233,0.0007094445198988985
234,0.0007516842113911564
235,0.0007814666947314517
236,0.0008112188891291102
237,0.0008455285128026068
238,0.0008828458989193536
239,0.0009327599632029957
240,0.0010014144302507295
241,0.0010791936173663468
242,0.0011436963860907748
243,0.0011875984474579906
244,0.0012354444109141426
245,0.0012972261055593489
246,0.001375645586834431
247,0.001459341683674475
248,0.001548312987291451
249,0.0016425841514758784
250,0.0017414289459984841
251,0.0018460758340211017
252,0.0019496442948070418
253,0.002041838201041786
254,0.0021191912297784414
255,0.0022286526508923043
256,0.00237862306740403
257,0.0025471704672684107
258,0.0027025590825420754
259,0.0028405294426174523
260,0.0029801128649867502
261,0.003125652643145304
262,0.0032761915056269833
263,0.0034377308894379933
264,0.0036135617234155366
265,0.003795708858523906
266,0.0039731992448003494
267,0.004144843865147862
268,0.004319689251898682
269,0.004499277323551237
270,0.004680974350884142
271,0.004863725151663206
272,0.005047151466302475
273,0.005236696851748422
274,0.005436971566827996
275,0.005647765702124783
276,0.00586716894107061
277,0.006097104279325917
278,0.006335469100756488
279,0.0065680353506571195
