,ri
0,0.0
1,0.0
2,3.4962530770665986e-06
3,1.6319549130325421e-07
4,4.794127920823368e-05
5,7.548185960131475e-05
6,7.683616491633976e-05
7,6.293270393241617e-05
8,4.4992415257220224e-05
9,2.963265409838659e-05
10,1.892287815187436e-05
11,9.38040765985523e-06
12,5.179214499868055e-07
13,1.1355761960602753e-05
14,2.699657067072337e-05
15,5.25277799082764e-05
16,6.698202799010076e-05
17,4.350664742481202e-05
18,2.6856046895079876e-05
19,3.8873670639880874e-05
20,0.00014162635251951074
21,0.00020111722662887867
22,0.00016512553745588496
23,5.914179284851994e-05
24,1.0755119374118122e-05
25,3.549525105650264e-06
26,4.4289759242698424e-05
27,7.596578278324137e-05
28,8.478292554693575e-05
29,8.802533341564847e-05
30,9.099007313676965e-05
31,9.313881684250645e-05
32,9.246676114276537e-05
33,8.032109142058099e-05
34,6.986063005329248e-05
35,7.175326323611033e-05
36,0.0001128414088404196
37,0.0001474844374166488
38,0.00014702431860580766
39,0.00011513637674451695
40,8.414600079110553e-05
41,6.680635470239423e-05
42,5.8661267638440937e-05
43,5.3876421936888725e-05
44,5.1037481446738046e-05
45,5.1786594977996106e-05
46,5.669384193867119e-05
47,6.462021473818146e-05
48,7.339543061426974e-05
49,8.698267596669115e-05
50,9.723120044507969e-05
51,9.918390160017644e-05
52,7.822673383255819e-05
53,5.852072529464527e-05
54,6.291118344404792e-05
55,9.326008544434679e-05
56,0.00012012632625496951
57,0.0001135894082825473
58,8.7356675687755e-05
59,6.68483001581525e-05
60,6.409094812864895e-05
61,7.137473288591633e-05
62,8.74258049182942e-05
63,0.00011267594803640807
64,0.00013455337199386077
65,0.00016834074298166459
66,0.00021312227973465872
67,0.0002411559188405354
68,0.00023161003180851645
69,0.00020059806109412815
70,0.0001624679335398535
71,0.00011647140831758663
72,8.05704059998047e-05
73,7.903365002153008e-05
74,0.00010565282299934199
75,0.00012619068475459483
76,0.00011166277681310111
77,7.827658932114208e-05
78,6.787621449428465e-05
79,8.621883789076008e-05
80,0.00011650427394693242
81,0.00014244121587761257
82,0.00016248265808452652
83,0.00017026510913654568
84,0.0001562154610905659
85,0.00012563874643125938
86,9.793272380231897e-05
87,7.389634365543444e-05
88,5.519899427985049e-05
89,4.452661459181422e-05
90,4.214439494065705e-05
91,4.5427597039693336e-05
92,5.726728218222271e-05
93,7.490726813232851e-05
94,7.921157005564952e-05
95,6.0241101729756375e-05
96,3.457729731753761e-05
97,4.386477137576816e-05
98,8.836078565280165e-05
99,0.00012605354038264677
100,0.00012795296950915985
101,9.718361027106091e-05
102,6.694463173162482e-05
103,3.9025539556501915e-05
104,1.6128129863894858e-05
105,4.655629930581925e-06
106,6.391863567648568e-06
107,1.0962507065735743e-05
108,1.1822695283291295e-05
109,8.918023534449016e-06
110,8.281098778618801e-06
111,1.1334241472234517e-05
112,1.621200220725924e-05
113,1.8795946263621332e-05
114,1.938979290641073e-05
115,1.911214332697136e-05
116,1.794257255791319e-05
117,1.4505236227690776e-05
118,1.692825010917151e-05
119,3.07410428060355e-05
120,4.794807515192892e-05
121,4.440194801812627e-05
122,1.0994240037799001e-05
123,2.240893731339811e-05
124,3.754543501050641e-05
125,3.324904312001098e-05
126,1.412783853477931e-05
127,2.6255385740443075e-05
128,7.373767879511817e-05
129,8.398393795894163e-05
130,4.281984861224575e-05
131,2.5737501408192462e-06
132,2.151027588454059e-06
133,5.451108137815387e-05
134,8.640128855400967e-05
135,8.460272163009905e-05
136,6.092788197417046e-05
137,5.8603464980727114e-05
138,8.875970383408134e-05
139,0.0001145289196461849
140,0.00010570949299977328
141,4.4047222039017754e-05
142,1.642165521344194e-05
143,4.206960242370515e-05
144,0.0001024750323001905
145,0.00013663980098090577
146,0.00013541922349782903
147,0.00012364300429942615
148,0.00011406538429534397
149,0.00010471217897842186
150,0.00010464871303429534
151,0.00011963447447206513
152,0.00014362211321949613
153,0.0001535635204609471
154,0.0001448041617868144
155,0.00013006320286729035
156,0.00011551943772384109
157,9.945702055048565e-05
158,8.877218163234146e-05
159,8.469452257444121e-05
160,8.638656400933667e-05
161,9.233529862538218e-05
162,0.00010865724286165636
163,0.00011997674122106572
164,0.00011619260751271254
165,8.816925516313958e-05
166,6.725741225497505e-05
167,5.5078876903444874e-05
168,5.094341518783081e-05
169,5.385035225123817e-05
170,6.742515694170381e-05
171,8.22749066648081e-05
172,9.35785478222619e-05
173,0.00010060393817389306
174,0.00010581603705694061
175,0.00011134884506431616
176,0.00011474083796693268
177,0.0001072746025464157
178,8.128212327258681e-05
179,5.5541261028851084e-05
180,3.976898980134729e-05
181,3.8320618227415034e-05
182,3.75839639262649e-05
183,3.8900872982813964e-05
184,4.0467096618586765e-05
185,3.5956521092778485e-05
186,1.7335115459581155e-05
187,4.210254232565964e-06
188,7.476447904211993e-06
189,4.0830902424107765e-05
190,5.9433052883501945e-05
191,5.562284948949822e-05
192,3.873767749336753e-05
193,3.319125903044933e-05
194,4.63093243137693e-05
195,6.004843858281175e-05
196,6.694576438890736e-05
197,6.532058686998602e-05
198,6.025809158899446e-05
199,4.9030394173927266e-05
200,3.568226948518674e-05
201,2.9656458469472075e-05
202,3.603586280701272e-05
203,4.1847471619262355e-05
204,4.101108777279229e-05
205,2.8255695637710795e-05
206,2.4189363152635938e-05
207,3.2642737247113656e-05
208,4.7961685607471556e-05
209,5.9876163266952835e-05
210,6.881346054335717e-05
211,7.381022456565715e-05
212,7.393034194206278e-05
213,6.767900215005769e-05
214,6.172347159031696e-05
215,5.5502732113092594e-05
216,4.952111329954912e-05
217,4.528933857861492e-05
218,4.405290389358262e-05
219,4.237332168879508e-05
220,3.780609473070769e-05
221,2.806529780533125e-05
222,2.655572560183756e-05
223,3.742643172323115e-05
224,5.3051383231396227e-05
225,6.273097952721123e-05
226,6.69083681304314e-05
227,6.549399484312748e-05
228,5.6179318441963843e-05
229,3.702864619923399e-05
230,2.530454780398008e-05
231,2.2338675425576365e-05
232,2.5742013469170442e-05
233,3.3497243610104346e-05
234,4.863827193634279e-05
235,6.13494718692531e-05
236,6.97835722217755e-05
237,7.389747631271698e-05
238,7.239132064922308e-05
239,6.226519742995741e-05
240,5.0623820152633165e-05
241,4.743468431250411e-05
242,6.003482812726911e-05
243,5.684795760170514e-05
244,2.5072223083994436e-05
245,3.22925418971353e-05
246,6.161806019043217e-05
247,5.4684470783143155e-05
248,3.3326119519680136e-05
249,1.543681899035061e-05
250,1.6908901908925967e-06
251,7.484376505189765e-06
252,1.2694210073672232e-05
253,1.538128164720187e-05
254,1.4835025178431271e-05
255,7.917311541249974e-06
256,3.3851969589212864e-06
257,1.1487224477985933e-05
258,3.758283126898236e-05
259,5.527720333680218e-05
260,5.529079522419265e-05
261,4.273259686518593e-05
262,3.8972267527918254e-05
263,4.916978529228822e-05
