,ri
0,0.0
1,0.0
2,1.0548467925448338e-06
3,2.5676474238631607e-05
4,0.00011211752776951167
5,0.0001675186548216499
6,0.00015828218245342535
7,0.00011731566663479058
8,8.309348187330993e-05
9,6.372706461558602e-05
10,5.019772171825085e-05
11,4.0076966279078575e-05
12,2.893744473127726e-05
13,2.3861979653917288e-05
14,3.252248575756272e-05
15,4.854396996596833e-05
16,5.9144242745892114e-05
17,6.13733293239155e-05
18,5.672427355054838e-05
19,4.3590506933082305e-05
20,9.525112465603314e-06
21,1.2747382474897831e-05
22,5.394940885836243e-06
23,2.53668435020847e-05
24,5.9037328059192e-05
25,0.00010147982544483462
26,0.00013526970299487565
27,0.00014441761270731645
28,9.19028866289656e-05
29,4.640277430028373e-05
30,5.5885910861498265e-05
31,0.00011438466189625771
32,0.00016904582323916384
33,0.00017713691929425296
34,0.00016787747330021072
35,0.0001754260693491487
36,0.00024164855338381657
37,0.0003104064658771482
38,0.0003365020865296457
39,0.0003184200964781643
40,0.00028383122040494794
41,0.00023244881194716248
42,0.00017976615000757118
43,0.000152824911836818
44,0.00017999706853421128
45,0.0002319174628821977
46,0.0002693927667989393
47,0.0002840023806347242
48,0.0003185684174308119
49,0.00044650088173427236
50,0.0006328065079180221
51,0.0007822597513164123
52,0.0007851447550638341
53,0.0007317169684253536
54,0.000782337136161272
55,0.000988287496346862
56,0.0012186304732032828
57,0.0013028955831235573
58,0.0012621409083177256
59,0.0012174890467416038
60,0.001242503697842469
61,0.0013213849184000636
62,0.0014213226089834306
63,0.001541025409993975
64,0.001671392809936733
65,0.0017815909785958244
66,0.0018753005326548836
67,0.0019995886544207373
68,0.002190554030533498
69,0.0024417245472496477
70,0.002736663985957862
71,0.0030713749357658615
72,0.0034454984169766593
73,0.003851717799987731
74,0.004294286564292575
75,0.004761468008420819
76,0.005205904219502656
77,0.005644286678658498
78,0.00619449023863646
79,0.00684015122911727
80,0.007630911490683608
81,0.008912665158015193
82,0.010805433975910241
83,0.012656936250494395
84,0.013951611574733269
85,0.014680638613707615
86,0.014390797439049285
87,0.012448967166908008
88,0.009127832644357793
89,0.006472207787600122
90,0.00454892032151357
91,0.003186651484868864
92,0.002209941352447229
93,0.0016452184609524862
94,0.0012588918196231346
95,0.0009904338510022042
96,0.0008399278512768697
97,0.0007302993210591062
98,0.0006701833879852078
99,0.0006361010064694927
100,0.0005776074681638661
101,0.00048780907313875245
102,0.00041254505668358795
103,0.00038434822253524995
104,0.0004089552597137121
105,0.00040762547639006574
106,0.00036555955837966873
107,0.00030471491801667595
108,0.0002929981001522745
109,0.00034538764012222227
110,0.00039663172316982116
111,0.00040503845803482896
112,0.0003630872738048314
113,0.0003247884930337801
114,0.0002952968062209337
115,0.00027252121037081535
116,0.00024644719298750776
117,0.00021151062250717917
118,0.00018666858260193156
119,0.00019198414222138977
120,0.0002397002286960494
121,0.0002598256354373667
122,0.00023580032808224143
123,0.0001790196280823163
124,0.00015879714097833306
125,0.00018850077628293371
126,0.0002296536068634631
127,0.0002526352398630202
128,0.00025610087177452924
129,0.00024585154463999126
130,0.00021985098911982473
131,0.00017811959934501868
132,0.00013808919832154485
133,9.093463562739769e-05
134,5.892581864732834e-05
135,7.303044263092879e-05
136,0.0001609619282738047
137,0.0002175202274539719
138,0.0002072197403386657
139,0.00012909020069598316
140,9.982344045824783e-05
141,0.00014112515625591855
142,0.00020638925048279053
143,0.00024297237162567166
144,0.00023341182334985972
145,0.00023373786074830637
146,0.0002626674326464087
147,0.00032512060299296917
148,0.00036156402836903605
149,0.00036021973538697847
150,0.00034445284194421343
151,0.0003449429459616576
152,0.0003689709402905627
153,0.00039382867212268464
154,0.0004118042580124841
155,0.0004206556870380565
156,0.00044088161346847796
157,0.0004902520696993894
158,0.0005378321953007888
159,0.0005344756276550038
160,0.00045273869136418747
161,0.0003703431777999307
162,0.0003121731511373977
163,0.0002867938776946074
164,0.0002502408237883228
165,0.00019572792965858861
166,0.0001337641915860273
167,8.028777072213134e-05
168,2.9622972351729667e-05
169,2.747981519518578e-06
170,5.17911509091758e-06
171,4.053944820606587e-05
172,5.479628925429465e-05
173,1.8323377027967736e-05
174,4.064703463621095e-05
175,6.286443855330389e-05
176,2.3131853642666976e-05
177,1.3495876638907172e-05
178,2.0282191661371425e-05
179,2.1165166176088337e-05
180,4.245759817828536e-05
181,3.615868676461647e-05
182,1.242922059659991e-05
183,5.4041222752419805e-06
184,1.0690823796304641e-05
185,2.031499155030202e-05
186,4.492219800811235e-05
187,0.00010510947023586555
188,0.00013096766988517577
189,0.00010463715398484401
190,4.845801367475102e-05
191,2.385935716750815e-05
192,5.331307972781903e-05
193,8.133671154630808e-05
194,7.932739255373838e-05
195,2.5904106596338918e-05
196,6.62887448080789e-06
197,1.43585161360582e-05
198,1.2575520944965027e-06
199,2.5318956255380267e-05
200,8.218098557767384e-05
201,0.0001270487186272687
202,0.0001354481449235953
203,8.462852312399882e-05
204,5.360762579356587e-05
205,5.296210721269539e-05
206,7.058749980976735e-05
207,6.785001092285909e-05
208,3.196225172446459e-05
209,1.8722215294005567e-06
210,1.665189124873822e-05
211,1.3122612989305927e-05
212,2.475087088489742e-06
213,2.078009596369844e-05
214,5.436333716914788e-05
215,8.51684167655835e-05
216,0.00011343411805189898
217,0.00013134422239068354
218,0.0001328477723086726
219,0.00010921865923738579
220,8.988636654666592e-05
221,7.62015553464288e-05
222,6.829741892694142e-05
223,6.777327095170664e-05
224,7.860709549257475e-05
225,8.966004274518938e-05
226,9.322407163651645e-05
227,8.411815932425465e-05
228,8.410633663962332e-05
229,9.787774900478492e-05
230,0.00012085806538718986
231,0.00013842703153488502
232,0.00015005397012635063
233,0.00015689997627133418
234,0.00015990446974274586
235,0.000160151778809443
236,0.00015201148426444486
237,0.0001317791359666896
238,0.00010403494942130466
239,8.356120339916793e-05
240,6.950577790547649e-05
241,6.45273797559135e-05
242,7.368971851755209e-05
243,0.00010175534773622014
244,0.0001226450104297394
245,0.00013662501256943052
246,0.0001409270456791304
247,0.00011636840089844325
248,4.559326970962918e-05
249,3.164540377634502e-06
250,2.641185059664773e-05
251,0.0001499450670790534
252,0.00024109291407588198
253,0.00028212902251541477
254,0.00028712840593019836
255,0.00028911864740893114
256,0.00028572123776169245
257,0.0002889912848517664
258,0.0003127898116198726
259,0.00036018238645143863
260,0.00038445973194711357
261,0.00036796520600476586
262,0.00033881772053311797
263,0.00037952268632402244
264,0.0005033994324041815
265,0.000620520320309671
266,0.0006608840404305348
267,0.0006236181323804568
268,0.0006239349265891008
269,0.0006769389774624996
270,0.0007662427006147434
271,0.0008638803416425613
272,0.0009706843250229496
273,0.001076137566684209
274,0.001170779231947497
275,0.0012559012178061646
276,0.0013459830885650522
277,0.0014381973417156267
278,0.001543260434784052
279,0.0016913790583059922
280,0.0018829105797941665
