,ri
0,0.0
1,0.0
2,1.857448681201044e-05
3,2.663386456679849e-05
4,4.034678353548261e-06
5,7.013558018181758e-06
6,7.804036077985943e-06
7,3.3711760781997956e-05
8,5.7203664885873844e-05
9,6.937004031030037e-05
10,8.290142814348963e-05
11,0.00010818471250174224
12,0.0001438699362226647
13,0.00017879514577646995
14,0.00020121479766607416
15,0.0002193159226103915
16,0.0002447653151584012
17,0.0002895099363501996
18,0.00033923514762816025
19,0.00037993109235572584
20,0.00041166538636123036
21,0.0004394173940662739
22,0.0004625556939440297
23,0.0004846751601546718
24,0.0005138106367340066
25,0.0005570485076243252
26,0.0006084315323610249
27,0.0006606968313048955
28,0.0007124405078389465
29,0.0007644504599990793
30,0.0008221832442763432
31,0.000883155255713391
32,0.000936342152269128
33,0.0009657360397936054
34,0.0009844127163884677
35,0.0010204829009205533
36,0.0010821198353824545
37,0.0011534167429505828
38,0.0012141136948321883
39,0.0012651268752873223
40,0.0013154741113304681
41,0.0013700468259509066
42,0.001428135155089847
43,0.001491026046537328
44,0.0015609236537305732
45,0.0016333328518886633
46,0.001698038748274952
47,0.0017565386964292777
48,0.0018212874910752345
49,0.0018913352421773175
50,0.0019653316759431216
51,0.002034099628965111
52,0.0020973265567799907
53,0.0021470313403152523
54,0.002178460443844833
55,0.0021958679447858054
56,0.0021994182864668956
57,0.002189270805281156
58,0.0021653723890975693
59,0.0021281550846742204
60,0.0020784564294617685
61,0.002015508340334731
62,0.0019339750909001222
63,0.0018307302151378574
64,0.0017146342464436379
65,0.0015916592353955223
66,0.0014613190017172743
67,0.0013416154936624072
68,0.0012482188326553415
69,0.0011806142395800613
70,0.001099097332339612
71,0.0009985341085001615
72,0.0008919776913689584
73,0.0008037185055119831
74,0.000741172434361262
75,0.0006959924979725475
76,0.0006485374217407293
77,0.0005972980040352037
78,0.0005499516033945442
79,0.0005124151154915228
80,0.0004837764416146283
81,0.0004428386324135062
82,0.00038966266470011324
83,0.0003360763036358969
84,0.00028816333955148006
85,0.000245971266948638
86,0.00020959333847279173
87,0.00018113013890568174
88,0.00015842327295372926
89,0.00013156344691106557
90,9.923563505531231e-05
91,6.642906840779344e-05
92,3.5339096048630185e-05
93,3.918476160592006e-06
94,1.6714244636995306e-05
95,2.1885517487381507e-05
96,1.3160338314804214e-05
97,7.225516276426816e-06
98,4.120957988998988e-06
99,3.7289608418632303e-06
100,7.37862425073026e-06
101,1.770869779319777e-05
102,2.3948239448029352e-05
103,2.401107518457154e-05
104,1.7895223511782545e-05
105,5.45305006901511e-06
106,1.3425653836979117e-05
107,3.8612723527119344e-05
108,6.976352970404029e-05
109,0.00010562082651558793
110,0.00015003819526934802
111,0.00020953501726738604
112,0.0002892081164518216
113,0.00034554160035420243
114,0.00037254697406359673
115,0.00038201574349816113
116,0.0003906516738628864
117,0.0003946917706751856
118,0.00040574154525594087
119,0.0004326337492707825
120,0.00048552597563808605
121,0.0005154284118170557
122,0.0005238214563210895
123,0.0005089081827636682
124,0.00046277120662950436
125,0.0003679353090105789
126,0.0002723742265258381
127,0.00019483010668549464
128,0.00013689478133936995
129,9.114583017777408e-05
130,5.606258139257779e-05
131,3.307787771217594e-05
132,2.8379895232383393e-05
133,5.5895513098913834e-05
134,8.069556898974972e-05
135,8.445146483174876e-05
136,5.28777328838586e-05
137,3.2137292513470796e-05
138,2.7993882392471314e-05
139,3.58592680887181e-05
140,3.908151979431921e-05
141,3.5556038676093805e-05
142,3.0072568634038445e-05
143,2.6603948137615775e-05
144,3.2451981889749234e-05
145,2.4122794509392498e-05
146,7.410044161775627e-06
147,5.6337375387365045e-05
148,8.757396786975054e-05
149,9.449576548911542e-05
150,9.188245457950083e-05
151,8.908460965621461e-05
152,8.851007939280459e-05
153,8.273784277995585e-05
154,6.759458348135753e-05
155,4.498691464795153e-05
156,3.216670846295739e-05
157,3.574356535407083e-05
158,4.161154679694989e-05
159,3.8655611572915935e-05
160,2.125163441755949e-05
161,5.6515423592729725e-06
162,5.45953383454778e-06
163,1.2161891534904091e-05
164,1.9178933504603165e-05
165,2.2541830218687048e-05
166,3.039574573740833e-05
167,5.184387461198971e-05
168,9.993285434137265e-05
169,0.00013668927824781778
170,0.00015254723276635545
171,0.00014703582778615918
172,0.0001474826846577003
173,0.00015738288801806806
174,0.00016982951164458247
175,0.000177592666702492
176,0.00017625209608786865
177,0.00017828945700595563
178,0.00018457129430204556
179,0.0001946929343932707
180,0.00021774850191309548
181,0.00026093949113391974
182,0.0003102448101607019
183,0.0003505167770885494
184,0.00037889918493328476
185,0.000403426979869428
186,0.0004227160801904071
187,0.0004349423906119125
188,0.00046354163894539804
189,0.0005154424048208046
190,0.0005766578128121113
191,0.0006308990873072583
192,0.0006773691377861297
193,0.0007186496223710278
194,0.0007558050307339989
195,0.0007891253346826554
196,0.00081604246054359
197,0.000833742691037439
198,0.0008478350757545001
199,0.0008678663159677346
200,0.0009035435728690044
201,0.0009241872368083557
202,0.0009218357993462711
203,0.0008956143402629519
204,0.0008485702702142379
205,0.0007698869973022836
206,0.0006819724274646409
207,0.0006164590224094598
208,0.0005823736994967248
209,0.0005494025056707946
210,0.0005081456151287137
211,0.0004568392965658487
212,0.00040756533412410954
213,0.0003572810155284767
214,0.0003110229028801077
215,0.0002791244719620166
216,0.00026669224989410493
217,0.0002575222361965138
218,0.00024583062194015524
219,0.0002308250149857343
220,0.00021835745292295337
221,0.0002061037693262312
222,0.0001987450835737623
223,0.00020430388091702034
224,0.000225188387942793
225,0.00025248812542448014
226,0.0002826599013909364
227,0.00031524358093786627
228,0.00035375304222564204
229,0.00040052940670628524
230,0.0004498137872968009
231,0.0004927185838424119
232,0.0005285368943070184
233,0.0005612501878813737
234,0.0005903832131315845
235,0.0006158276008826329
236,0.0006482980085962968
237,0.0006903959093052962
238,0.0007351743384112616
239,0.0007681440001564895
240,0.0007870839903547422
241,0.0008125783239366898
242,0.0008574973980511379
243,0.0009220816472296539
244,0.0009726513413907921
245,0.0010063376083499016
246,0.0010323660252647153
247,0.0010649492962567912
248,0.001104846720522252
249,0.0011413388400797857
250,0.0011699162307285834
251,0.0011908689664149707
252,0.0012096961954735246
253,0.001228269099135476
254,0.0012395544055895508
255,0.0012297296827384562
256,0.0011989787802664826
257,0.0011666906901564075
258,0.0011464682462715102
259,0.0011338459440577843
260,0.0010968349598356952
261,0.0010298248140729568
262,0.0009588621043753844
263,0.000918369619965101
264,0.0009071258839674185
265,0.0009062786433389765
266,0.0009143046013067091
267,0.0009246565641968657
268,0.0009180379755623823
269,0.0008921761468892793
270,0.0008695944008613585
271,0.0008766783334745254
272,0.0009107282142536776
273,0.000957596809992607
274,0.0010192386471127557
275,0.0010900968689064225
276,0.001150005309919846
277,0.0011963436014583086
278,0.0012468552808301816
279,0.0013218210109870545
280,0.001417606696502771
